;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENST00000566327_90_90;0.588;0.688;0.312;0.312;0.429;0.0;0.769;0.2;0.188;0.0;1.0;0.158;0.158;0.158;0.769;0.357;0.0;0.0;0.529;0.529;0.45;0.533;0.167;0.143
ENST00000567094_90_90;0.35;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.3;0.3;0.381;0.353;0.615;0.455
ENST00000568331_90_90;0.35;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.3;0.3;0.381;0.353;0.615;0.455
ENST00000568451_90_90;0.35;0.286;0.4;0.4;0.429;0.083;0.095;0.286;0.462;0.083;0.158;1.0;1.0;1.0;0.095;0.462;0.083;0.083;0.3;0.3;0.381;0.353;0.615;0.455
ENST00000568841_90_90;0.556;0.647;0.294;0.294;0.312;0.0;0.846;0.188;0.111;0.0;0.769;0.095;0.095;0.095;1.0;0.25;0.0;0.0;0.5;0.5;0.429;0.412;0.1;0.062
ENST00000568859_90_90;0.412;0.5;0.5;0.5;0.889;0.111;0.25;0.364;0.6;0.111;0.357;0.462;0.462;0.462;0.25;1.0;0.111;0.111;0.438;0.438;0.368;0.538;0.5;0.625
ENST00000626061_90_90;0.059;0.059;0.091;0.091;0.1;1.0;0.0;0.0;0.111;0.333;0.0;0.083;0.083;0.083;0.0;0.111;1.0;0.333;0.062;0.062;0.053;0.077;0.091;0.167
ENST00000627440_90_90;0.059;0.059;0.091;0.091;0.1;0.333;0.0;0.0;0.111;1.0;0.0;0.083;0.083;0.083;0.0;0.111;0.333;1.0;0.062;0.062;0.053;0.077;0.091;0.167
ENSMUST00000028743_90_90;0.824;0.824;0.667;0.667;0.5;0.062;0.5;0.222;0.438;0.062;0.529;0.3;0.3;0.3;0.5;0.438;0.062;0.062;1.0;1.0;0.833;0.8;0.316;0.333
ENSMUST00000110711_90_90;0.824;0.824;0.667;0.667;0.5;0.062;0.5;0.222;0.438;0.062;0.529;0.3;0.3;0.3;0.5;0.438;0.062;0.062;1.0;1.0;0.833;0.8;0.316;0.333
ENSMUST00000116437_90_90;0.789;0.7;0.556;0.556;0.421;0.053;0.429;0.19;0.368;0.053;0.45;0.381;0.381;0.381;0.429;0.368;0.053;0.053;0.833;0.833;1.0;0.667;0.273;0.278
ENSMUST00000142278_90_90;0.647;0.647;0.467;0.467;0.615;0.077;0.412;0.267;0.429;0.077;0.533;0.353;0.353;0.353;0.412;0.538;0.077;0.077;0.8;0.8;0.667;1.0;0.375;0.417
ENSMUST00000150611_90_90;0.3;0.3;0.429;0.429;0.462;0.091;0.1;0.308;0.5;0.091;0.167;0.615;0.615;0.615;0.1;0.5;0.091;0.091;0.316;0.316;0.273;0.375;1.0;0.5
ENSMUST00000153580_90_90;0.312;0.312;0.5;0.5;0.556;0.167;0.062;0.333;0.625;0.167;0.143;0.455;0.455;0.455;0.062;0.625;0.167;0.167;0.333;0.333;0.278;0.417;0.5;1.0
