;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENST00000531959_90_90;0.304;0.324;0.321;0.978;0.274;0.0;0.151;0.727;0.386;0.0;1.0;0.077;0.0;0.375;0.43;0.308;0.322;0.31;0.324;0.308;0.322;0.31;0.317;0.32;0.13;0.191;0.7;0.064;0.176;0.0;0.547;0.306;0.103
ENST00000532010_90_90;0.028;0.028;0.028;0.075;0.294;0.0;0.597;0.107;0.0;0.0;0.077;1.0;0.0;0.132;0.179;0.032;0.033;0.028;0.029;0.032;0.033;0.028;0.028;0.03;0.685;0.481;0.039;0.0;0.0;0.0;0.135;0.278;0.816
ENST00000532028_90_90;0.217;0.201;0.217;0.0;0.0;0.474;0.0;0.0;0.0;0.354;0.0;0.0;1.0;0.0;0.0;0.232;0.22;0.206;0.215;0.232;0.22;0.206;0.192;0.203;0.0;0.0;0.0;0.0;0.276;0.149;0.0;0.0;0.0
ENST00000532883_90_90;0.166;0.148;0.148;0.366;0.47;0.0;0.262;0.498;0.245;0.0;0.375;0.132;0.0;1.0;0.734;0.186;0.194;0.166;0.174;0.186;0.194;0.166;0.169;0.179;0.266;0.388;0.374;0.0;0.044;0.0;0.791;0.635;0.214
ENST00000533757_90_90;0.154;0.154;0.154;0.419;0.625;0.0;0.339;0.595;0.306;0.0;0.43;0.179;0.0;0.734;1.0;0.174;0.18;0.154;0.161;0.174;0.18;0.154;0.158;0.168;0.283;0.413;0.35;0.0;0.03;0.0;0.749;0.673;0.228
ENSMUST00000044036_90_90;0.873;0.791;0.863;0.304;0.117;0.127;0.069;0.263;0.123;0.152;0.308;0.032;0.232;0.186;0.174;1.0;0.893;0.887;0.845;1.0;0.893;0.887;0.805;0.772;0.055;0.082;0.311;0.106;0.838;0.304;0.2;0.127;0.043
ENSMUST00000068702_90_90;0.81;0.857;0.788;0.317;0.122;0.134;0.071;0.274;0.13;0.16;0.322;0.033;0.22;0.194;0.18;0.893;1.0;0.794;0.754;0.893;1.0;0.794;0.871;0.837;0.057;0.084;0.323;0.1;0.758;0.362;0.208;0.132;0.044
ENSMUST00000090586_90_90;0.989;0.903;0.977;0.321;0.105;0.112;0.061;0.233;0.11;0.135;0.31;0.028;0.206;0.166;0.154;0.887;0.794;1.0;0.958;0.887;0.794;1.0;0.915;0.863;0.049;0.073;0.377;0.207;0.743;0.271;0.179;0.114;0.038
ENSMUST00000111290_90_90;0.946;0.861;0.934;0.335;0.11;0.117;0.064;0.243;0.114;0.14;0.324;0.029;0.215;0.174;0.161;0.845;0.754;0.958;1.0;0.845;0.754;0.958;0.875;0.901;0.051;0.076;0.393;0.216;0.702;0.23;0.187;0.119;0.04
ENSMUST00000111291_90_90;0.873;0.791;0.863;0.304;0.117;0.127;0.069;0.263;0.123;0.152;0.308;0.032;0.232;0.186;0.174;1.0;0.893;0.887;0.845;1.0;0.893;0.887;0.805;0.772;0.055;0.082;0.311;0.106;0.838;0.304;0.2;0.127;0.043
ENSMUST00000111292_90_90;0.81;0.857;0.788;0.317;0.122;0.134;0.071;0.274;0.13;0.16;0.322;0.033;0.22;0.194;0.18;0.893;1.0;0.794;0.754;0.893;1.0;0.794;0.871;0.837;0.057;0.084;0.323;0.1;0.758;0.362;0.208;0.132;0.044
ENSMUST00000111293_90_90;0.989;0.903;0.977;0.321;0.105;0.112;0.061;0.233;0.11;0.135;0.31;0.028;0.206;0.166;0.154;0.887;0.794;1.0;0.958;0.887;0.794;1.0;0.915;0.863;0.049;0.073;0.377;0.207;0.743;0.271;0.179;0.114;0.038
ENSMUST00000111294_90_90;0.938;0.988;0.892;0.328;0.106;0.116;0.062;0.239;0.113;0.14;0.317;0.028;0.192;0.169;0.158;0.805;0.871;0.915;0.875;0.805;0.871;0.915;1.0;0.946;0.05;0.073;0.386;0.217;0.666;0.316;0.182;0.115;0.038
ENSMUST00000111297_90_90;0.883;0.933;0.839;0.331;0.113;0.123;0.067;0.254;0.119;0.148;0.32;0.03;0.203;0.179;0.168;0.772;0.837;0.863;0.901;0.772;0.837;0.863;0.946;1.0;0.053;0.078;0.409;0.229;0.633;0.275;0.194;0.122;0.041
ENSMUST00000128781_90_90;0.051;0.051;0.052;0.126;0.444;0.0;0.856;0.185;0.0;0.0;0.13;0.685;0.0;0.266;0.283;0.055;0.057;0.049;0.051;0.055;0.057;0.049;0.05;0.053;1.0;0.694;0.083;0.0;0.0;0.0;0.215;0.413;0.827
ENSMUST00000138995_90_90;0.075;0.076;0.077;0.184;0.643;0.0;0.812;0.272;0.0;0.0;0.191;0.481;0.0;0.388;0.413;0.082;0.084;0.073;0.076;0.082;0.084;0.073;0.073;0.078;0.694;1.0;0.135;0.0;0.0;0.0;0.315;0.599;0.576
ENSMUST00000159366_90_90;0.361;0.365;0.361;0.72;0.217;0.0;0.11;0.572;0.307;0.0;0.7;0.039;0.0;0.374;0.35;0.311;0.323;0.377;0.393;0.311;0.323;0.377;0.386;0.409;0.083;0.135;1.0;0.2;0.197;0.0;0.396;0.23;0.059
ENSMUST00000159727_90_90;0.212;0.222;0.2;0.083;0.0;0.0;0.0;0.0;0.0;0.0;0.064;0.0;0.0;0.0;0.0;0.106;0.1;0.207;0.216;0.106;0.1;0.207;0.217;0.229;0.0;0.0;0.2;1.0;0.103;0.0;0.0;0.0;0.0
ENSMUST00000159961_90_90;0.731;0.656;0.742;0.174;0.0;0.151;0.0;0.121;0.092;0.181;0.176;0.0;0.276;0.044;0.03;0.838;0.758;0.743;0.702;0.838;0.758;0.743;0.666;0.633;0.0;0.0;0.197;0.103;1.0;0.349;0.063;0.0;0.0
ENSMUST00000161067_90_90;0.283;0.324;0.28;0.0;0.0;0.107;0.0;0.0;0.0;0.302;0.0;0.0;0.149;0.0;0.0;0.304;0.362;0.271;0.23;0.304;0.362;0.271;0.316;0.275;0.0;0.0;0.0;0.0;0.349;1.0;0.0;0.0;0.0
ENSMUST00000162146_90_90;0.189;0.174;0.174;0.534;0.471;0.0;0.258;0.647;0.386;0.0;0.547;0.135;0.0;0.791;0.749;0.2;0.208;0.179;0.187;0.2;0.208;0.179;0.182;0.194;0.215;0.315;0.396;0.0;0.063;0.0;1.0;0.51;0.172
ENSMUST00000162188_90_90;0.118;0.119;0.12;0.297;0.939;0.0;0.488;0.434;0.101;0.0;0.306;0.278;0.0;0.635;0.673;0.127;0.132;0.114;0.119;0.127;0.132;0.114;0.115;0.122;0.413;0.599;0.23;0.0;0.0;0.0;0.51;1.0;0.34
ENSMUST00000162497_90_90;0.04;0.04;0.041;0.1;0.362;0.0;0.712;0.147;0.0;0.0;0.103;0.816;0.0;0.214;0.228;0.043;0.044;0.038;0.04;0.043;0.044;0.038;0.038;0.041;0.827;0.576;0.059;0.0;0.0;0.0;0.172;0.34;1.0
