;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript8_MGP-CAROLIEiJ-G0020234;0.319;0.313;0.656;0.642;0.39;0.367;0.39;0.376;0.45;0.656;0.45;0.642;0.931;0.986;0.944;1.0;0.824;0.662;0.744;0.693;0.588;0.626;0.824;0.793;0.803;0.894;0.817;0.821;0.821;0.903;0.903
transcript32_MGP-CAROLIEiJ-G0020234;0.223;0.255;0.507;0.493;0.237;0.195;0.237;0.456;0.298;0.507;0.298;0.493;0.765;0.812;0.778;0.824;1.0;0.606;0.894;0.84;0.643;0.753;1.0;0.624;0.641;0.736;0.653;0.656;0.656;0.744;0.744
transcript32_ENSRNOG00000031503;0.323;0.235;0.667;0.65;0.364;0.276;0.364;0.345;0.437;0.667;0.437;0.65;0.673;0.668;0.677;0.662;0.606;1.0;0.603;0.548;0.872;0.553;0.606;0.842;0.756;0.655;0.772;0.776;0.776;0.656;0.656
transcript32_ENSMUGG00000013592;0.192;0.247;0.47;0.456;0.201;0.161;0.201;0.428;0.26;0.47;0.26;0.456;0.77;0.734;0.758;0.744;0.894;0.603;1.0;0.753;0.667;0.841;0.894;0.599;0.646;0.74;0.658;0.661;0.661;0.749;0.749
transcript33_MGP-CAROLIEiJ-G0020234;0.251;0.209;0.485;0.469;0.245;0.217;0.245;0.542;0.314;0.485;0.314;0.469;0.641;0.683;0.653;0.693;0.84;0.548;0.753;1.0;0.591;0.887;0.84;0.498;0.52;0.617;0.53;0.532;0.532;0.626;0.626
transcript33_ENSRNOG00000031503;0.247;0.21;0.559;0.542;0.254;0.171;0.254;0.38;0.328;0.559;0.328;0.542;0.585;0.579;0.59;0.588;0.643;0.872;0.667;0.591;1.0;0.615;0.643;0.734;0.66;0.571;0.674;0.677;0.677;0.573;0.573
transcript33_ENSMUGG00000013592;0.222;0.201;0.452;0.437;0.211;0.184;0.211;0.507;0.277;0.452;0.277;0.437;0.645;0.618;0.642;0.626;0.753;0.553;0.841;0.887;0.615;1.0;0.753;0.481;0.525;0.621;0.534;0.537;0.537;0.63;0.63
transcript42_MGP-CAROLIEiJ-G0020234;0.223;0.255;0.507;0.493;0.237;0.195;0.237;0.456;0.298;0.507;0.298;0.493;0.765;0.812;0.778;0.824;1.0;0.606;0.894;0.84;0.643;0.753;1.0;0.624;0.641;0.736;0.653;0.656;0.656;0.744;0.744
transcript9_ENSRNOG00000031503;0.339;0.297;0.718;0.702;0.419;0.356;0.419;0.303;0.487;0.718;0.487;0.702;0.802;0.799;0.806;0.793;0.624;0.842;0.599;0.498;0.734;0.481;0.624;1.0;0.898;0.779;0.917;0.922;0.922;0.78;0.78
transcript18_ENSRNOG00000031503;0.306;0.293;0.657;0.643;0.379;0.354;0.379;0.299;0.447;0.657;0.447;0.643;0.843;0.808;0.831;0.803;0.641;0.756;0.646;0.52;0.66;0.525;0.641;0.898;1.0;0.867;0.98;0.975;0.975;0.868;0.868
transcript18_ENSMUGG00000013592;0.308;0.297;0.634;0.621;0.374;0.352;0.374;0.33;0.436;0.634;0.436;0.621;0.934;0.899;0.921;0.894;0.736;0.655;0.74;0.617;0.571;0.621;0.736;0.779;0.867;1.0;0.85;0.845;0.845;0.991;0.991
transcript19_ENSRNOG00000031503;0.312;0.299;0.67;0.655;0.386;0.361;0.386;0.304;0.455;0.67;0.455;0.655;0.858;0.823;0.846;0.817;0.653;0.772;0.658;0.53;0.674;0.534;0.653;0.917;0.98;0.85;1.0;0.995;0.995;0.85;0.85
transcript21_ENSRNOG00000031503;0.313;0.3;0.665;0.65;0.388;0.363;0.388;0.306;0.45;0.665;0.45;0.65;0.862;0.826;0.85;0.821;0.656;0.776;0.661;0.532;0.677;0.537;0.656;0.922;0.975;0.845;0.995;1.0;1.0;0.846;0.846
transcript23_ENSRNOG00000031503;0.313;0.3;0.665;0.65;0.388;0.363;0.388;0.306;0.45;0.665;0.45;0.65;0.862;0.826;0.85;0.821;0.656;0.776;0.661;0.532;0.677;0.537;0.656;0.922;0.975;0.845;0.995;1.0;1.0;0.846;0.846
transcript34_ENSMUGG00000013592;0.317;0.306;0.643;0.63;0.383;0.361;0.383;0.339;0.445;0.643;0.445;0.63;0.943;0.908;0.93;0.903;0.744;0.656;0.749;0.626;0.573;0.63;0.744;0.78;0.868;0.991;0.85;0.846;0.846;1.0;1.0
transcript35_ENSMUGG00000013592;0.317;0.306;0.643;0.63;0.383;0.361;0.383;0.339;0.445;0.643;0.445;0.63;0.943;0.908;0.93;0.903;0.744;0.656;0.749;0.626;0.573;0.63;0.744;0.78;0.868;0.991;0.85;0.846;0.846;1.0;1.0
