;ENSCAFT00000014853_90_90;ENST00000323180_90_90;ENST00000418153_90_90;ENST00000524497_90_90;ENST00000525438_90_90;ENST00000525676_90_90;ENST00000527782_90_90;ENST00000529734_90_90;ENST00000529782_90_90;ENST00000530587_90_90;ENST00000531959_90_90;ENST00000532010_90_90;ENST00000532028_90_90;ENST00000532883_90_90;ENST00000533757_90_90;ENSMUST00000044036_90_90;ENSMUST00000068702_90_90;ENSMUST00000090586_90_90;ENSMUST00000111290_90_90;ENSMUST00000111291_90_90;ENSMUST00000111292_90_90;ENSMUST00000111293_90_90;ENSMUST00000111294_90_90;ENSMUST00000111297_90_90;ENSMUST00000128781_90_90;ENSMUST00000138995_90_90;ENSMUST00000159366_90_90;ENSMUST00000159727_90_90;ENSMUST00000159961_90_90;ENSMUST00000161067_90_90;ENSMUST00000162146_90_90;ENSMUST00000162188_90_90;ENSMUST00000162497_90_90
ENST00000531959_90_90;0.164;0.198;0.184;0.998;0.2;0.0;0.085;0.758;0.469;0.0;1.0;0.067;0.0;0.31;0.382;0.185;0.2;0.174;0.181;0.185;0.2;0.174;0.186;0.193;0.081;0.112;0.589;0.054;0.138;0.0;0.41;0.211;0.073
ENST00000532010_90_90;0.013;0.014;0.013;0.067;0.338;0.0;0.794;0.089;0.0;0.0;0.067;1.0;0.0;0.11;0.176;0.015;0.016;0.013;0.014;0.015;0.016;0.013;0.014;0.015;0.871;0.628;0.033;0.0;0.0;0.0;0.126;0.333;0.964
ENST00000532028_90_90;0.221;0.218;0.221;0.0;0.0;0.492;0.0;0.0;0.0;0.291;0.0;0.0;1.0;0.0;0.0;0.247;0.246;0.217;0.227;0.247;0.246;0.217;0.214;0.224;0.0;0.0;0.0;0.0;0.26;0.139;0.0;0.0;0.0
ENST00000532883_90_90;0.092;0.077;0.072;0.309;0.325;0.0;0.138;0.385;0.24;0.0;0.31;0.11;0.0;1.0;0.622;0.105;0.114;0.092;0.096;0.105;0.114;0.092;0.099;0.104;0.163;0.226;0.318;0.0;0.057;0.0;0.884;0.426;0.147
ENST00000533757_90_90;0.074;0.08;0.075;0.381;0.523;0.0;0.222;0.503;0.327;0.0;0.382;0.176;0.0;0.622;1.0;0.084;0.092;0.074;0.077;0.084;0.092;0.074;0.08;0.084;0.203;0.281;0.253;0.0;0.036;0.0;0.712;0.529;0.183
ENSMUST00000044036_90_90;0.875;0.77;0.857;0.185;0.044;0.133;0.019;0.158;0.094;0.159;0.185;0.015;0.247;0.105;0.084;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000068702_90_90;0.793;0.846;0.77;0.2;0.048;0.144;0.02;0.172;0.102;0.173;0.2;0.016;0.246;0.114;0.092;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000090586_90_90;0.999;0.891;0.979;0.174;0.039;0.116;0.016;0.139;0.082;0.14;0.174;0.013;0.217;0.092;0.074;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111290_90_90;0.956;0.849;0.937;0.182;0.04;0.121;0.017;0.145;0.086;0.146;0.181;0.014;0.227;0.096;0.077;0.836;0.747;0.958;1.0;0.836;0.747;0.958;0.869;0.905;0.016;0.022;0.286;0.28;0.791;0.279;0.097;0.041;0.014
ENSMUST00000111291_90_90;0.875;0.77;0.857;0.185;0.044;0.133;0.019;0.158;0.094;0.159;0.185;0.015;0.247;0.105;0.084;1.0;0.896;0.878;0.836;1.0;0.896;0.878;0.79;0.749;0.017;0.024;0.188;0.148;0.949;0.365;0.106;0.045;0.015
ENSMUST00000111292_90_90;0.793;0.846;0.77;0.2;0.048;0.144;0.02;0.172;0.102;0.173;0.2;0.016;0.246;0.114;0.092;0.896;1.0;0.788;0.747;0.896;1.0;0.788;0.867;0.823;0.019;0.026;0.202;0.157;0.849;0.415;0.115;0.049;0.017
ENSMUST00000111293_90_90;0.999;0.891;0.979;0.174;0.039;0.116;0.016;0.139;0.082;0.14;0.174;0.013;0.217;0.092;0.074;0.878;0.788;1.0;0.958;0.878;0.788;1.0;0.91;0.867;0.015;0.021;0.274;0.268;0.833;0.321;0.093;0.039;0.014
ENSMUST00000111294_90_90;0.919;0.979;0.889;0.187;0.042;0.125;0.018;0.149;0.088;0.15;0.186;0.014;0.214;0.099;0.08;0.79;0.867;0.91;0.869;0.79;0.867;0.91;1.0;0.953;0.016;0.022;0.294;0.288;0.745;0.36;0.1;0.042;0.015
ENSMUST00000111297_90_90;0.874;0.932;0.846;0.194;0.044;0.131;0.019;0.156;0.093;0.157;0.193;0.015;0.224;0.104;0.084;0.749;0.823;0.867;0.905;0.749;0.823;0.867;0.953;1.0;0.017;0.023;0.308;0.302;0.705;0.315;0.105;0.044;0.015
ENSMUST00000128781_90_90;0.015;0.016;0.015;0.081;0.388;0.0;0.912;0.108;0.0;0.0;0.081;0.871;0.0;0.163;0.203;0.017;0.019;0.015;0.016;0.017;0.019;0.015;0.016;0.017;1.0;0.721;0.04;0.0;0.0;0.0;0.144;0.383;0.903
ENSMUST00000138995_90_90;0.021;0.023;0.021;0.112;0.537;0.0;0.791;0.15;0.0;0.0;0.112;0.628;0.0;0.226;0.281;0.024;0.026;0.021;0.022;0.024;0.026;0.021;0.022;0.023;0.721;1.0;0.061;0.0;0.0;0.0;0.2;0.531;0.651
ENSMUST00000159366_90_90;0.264;0.272;0.254;0.591;0.126;0.0;0.045;0.486;0.301;0.0;0.589;0.033;0.0;0.318;0.253;0.188;0.202;0.274;0.286;0.188;0.202;0.274;0.294;0.308;0.04;0.061;1.0;0.245;0.149;0.0;0.313;0.127;0.035
ENSMUST00000159727_90_90;0.272;0.295;0.273;0.055;0.0;0.0;0.0;0.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.148;0.157;0.268;0.28;0.148;0.157;0.268;0.288;0.302;0.0;0.0;0.245;1.0;0.153;0.0;0.0;0.0;0.0
ENSMUST00000159961_90_90;0.832;0.726;0.814;0.138;0.0;0.139;0.0;0.11;0.087;0.167;0.138;0.0;0.26;0.057;0.036;0.949;0.849;0.833;0.791;0.949;0.849;0.833;0.745;0.705;0.0;0.0;0.149;0.153;1.0;0.383;0.058;0.0;0.0
ENSMUST00000161067_90_90;0.328;0.368;0.328;0.0;0.0;0.09;0.0;0.0;0.0;0.337;0.0;0.0;0.139;0.0;0.0;0.365;0.415;0.321;0.279;0.365;0.415;0.321;0.36;0.315;0.0;0.0;0.0;0.0;0.383;1.0;0.0;0.0;0.0
ENSMUST00000162146_90_90;0.095;0.079;0.074;0.409;0.372;0.0;0.158;0.44;0.279;0.0;0.41;0.126;0.0;0.884;0.712;0.106;0.115;0.093;0.097;0.106;0.115;0.093;0.1;0.105;0.144;0.2;0.313;0.0;0.058;0.0;1.0;0.377;0.13
ENSMUST00000162188_90_90;0.039;0.043;0.04;0.211;0.988;0.0;0.42;0.283;0.05;0.0;0.211;0.333;0.0;0.426;0.529;0.045;0.049;0.039;0.041;0.045;0.049;0.039;0.042;0.044;0.383;0.531;0.127;0.0;0.0;0.0;0.377;1.0;0.346
ENSMUST00000162497_90_90;0.013;0.015;0.014;0.073;0.35;0.0;0.824;0.098;0.0;0.0;0.073;0.964;0.0;0.147;0.183;0.015;0.017;0.014;0.014;0.015;0.017;0.014;0.015;0.015;0.903;0.651;0.035;0.0;0.0;0.0;0.13;0.346;1.0
