;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript20_ENSMPUG00000020072;0.693;0.737;0.586;0.041;0.434;0.73;0.662;0.703;0.771;0.775;0.775;0.607;0.041;0.53;0.994;1.0;1.0;0.935;0.988;0.849;0.796;0.49;0.839;0.839;0.668;0.712;0.047;0.404;0.662;0.698;0.038
transcript23_ENSMPUG00000020072;0.735;0.702;0.548;0.044;0.463;0.68;0.613;0.646;0.718;0.722;0.722;0.556;0.044;0.566;0.929;0.935;0.935;1.0;0.923;0.784;0.731;0.522;0.784;0.784;0.611;0.658;0.05;0.422;0.622;0.658;0.041
transcript25_ENSMPUG00000020072;0.683;0.727;0.576;0.042;0.439;0.724;0.656;0.693;0.76;0.764;0.764;0.614;0.042;0.536;0.982;0.988;0.988;0.923;1.0;0.837;0.784;0.496;0.829;0.829;0.675;0.702;0.047;0.408;0.652;0.687;0.039
transcript24_ENSMPUG00000020072;0.607;0.653;0.493;0.048;0.336;0.637;0.765;0.57;0.682;0.685;0.685;0.51;0.048;0.387;0.844;0.849;0.849;0.784;0.837;1.0;0.645;0.358;0.712;0.712;0.536;0.815;0.055;0.294;0.566;0.603;0.045
transcript22_ENSMPUG00000020072;0.515;0.559;0.721;0.052;0.363;0.588;0.52;0.851;0.625;0.628;0.628;0.46;0.052;0.431;0.791;0.796;0.796;0.731;0.784;0.645;1.0;0.397;0.667;0.667;0.49;0.541;0.059;0.351;0.542;0.581;0.048
transcript7_ENSCPOG00000024843;0.483;0.461;0.342;0.078;0.845;0.51;0.372;0.407;0.485;0.488;0.488;0.606;0.078;0.869;0.488;0.49;0.49;0.522;0.496;0.358;0.397;1.0;0.511;0.511;0.673;0.392;0.092;0.788;0.488;0.458;0.068
transcript17_ENSCPOG00000024843;0.792;0.834;0.618;0.04;0.432;0.767;0.725;0.784;0.849;0.844;0.844;0.633;0.04;0.444;0.844;0.839;0.839;0.784;0.829;0.712;0.667;0.511;1.0;1.0;0.759;0.873;0.047;0.412;0.737;0.792;0.035
transcript33_ENSCPOG00000024843;0.792;0.834;0.618;0.04;0.432;0.767;0.725;0.784;0.849;0.844;0.844;0.633;0.04;0.444;0.844;0.839;0.839;0.784;0.829;0.712;0.667;0.511;1.0;1.0;0.759;0.873;0.047;0.412;0.737;0.792;0.035
transcript18_ENSCPOG00000024843;0.636;0.681;0.453;0.052;0.569;0.602;0.557;0.543;0.679;0.674;0.674;0.833;0.052;0.585;0.674;0.668;0.668;0.611;0.675;0.536;0.49;0.673;0.759;0.759;1.0;0.633;0.062;0.542;0.579;0.636;0.046
transcript24_ENSCPOG00000024843;0.712;0.755;0.533;0.045;0.345;0.682;0.83;0.658;0.766;0.761;0.761;0.545;0.045;0.324;0.717;0.712;0.712;0.658;0.702;0.815;0.541;0.392;0.873;0.873;0.633;1.0;0.054;0.315;0.647;0.703;0.04
transcript9_ENSCPOG00000024843;0.05;0.047;0.063;0.842;0.09;0.051;0.054;0.06;0.049;0.05;0.05;0.062;0.842;0.088;0.047;0.047;0.047;0.05;0.047;0.055;0.059;0.092;0.047;0.047;0.062;0.054;1.0;0.082;0.046;0.043;0.737
transcript7_ENSSTOG00000019743;0.394;0.379;0.305;0.077;0.692;0.422;0.305;0.35;0.396;0.398;0.398;0.504;0.077;0.708;0.402;0.404;0.404;0.422;0.408;0.294;0.351;0.788;0.412;0.412;0.542;0.315;0.082;1.0;0.559;0.52;0.084
transcript26_ENSSTOG00000019743;0.617;0.648;0.488;0.043;0.423;0.697;0.575;0.588;0.655;0.65;0.65;0.508;0.043;0.434;0.668;0.662;0.662;0.622;0.652;0.566;0.542;0.488;0.737;0.737;0.579;0.647;0.046;0.559;1.0;0.931;0.047
transcript17_ENSSTOG00000019743;0.675;0.706;0.548;0.04;0.397;0.657;0.621;0.645;0.686;0.681;0.681;0.556;0.04;0.407;0.703;0.698;0.698;0.658;0.687;0.603;0.581;0.458;0.792;0.792;0.636;0.703;0.043;0.52;0.931;1.0;0.044
transcript9_ENSSTOG00000019743;0.041;0.039;0.052;0.765;0.074;0.042;0.044;0.044;0.038;0.038;0.038;0.051;0.765;0.072;0.038;0.038;0.038;0.041;0.039;0.045;0.048;0.068;0.035;0.035;0.046;0.04;0.737;0.084;0.047;0.044;1.0
