;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript20_ENSMPUG00000020072;0.546;0.651;0.664;0.651;0.995;0.852;1.0;0.856;0.864;0.919;1.0;0.781;0.78;0.938;0.885;0.843;0.857;0.981;0.856;0.094;0.102;0.108;0.093;0.889;0.862;0.819;0.849;0.78;0.767;0.908;0.919
transcript22_ENSMPUG00000020072;0.423;0.481;0.483;0.478;0.777;0.681;0.781;0.684;0.679;0.718;0.781;1.0;0.884;0.719;0.665;0.64;0.644;0.762;0.684;0.119;0.113;0.113;0.095;0.676;0.642;0.628;0.652;0.566;0.549;0.923;0.718
transcript22_ENSMLUG00000027828;0.413;0.526;0.526;0.522;0.777;0.783;0.78;0.786;0.784;0.829;0.78;0.884;1.0;0.721;0.671;0.75;0.765;0.76;0.786;0.129;0.113;0.108;0.096;0.866;0.828;0.714;0.734;0.655;0.637;0.95;0.829
transcript23_ENSMPUG00000020072;0.582;0.688;0.701;0.651;0.933;0.801;0.938;0.805;0.812;0.863;0.938;0.719;0.721;1.0;0.823;0.784;0.797;0.919;0.805;0.099;0.113;0.119;0.093;0.839;0.886;0.766;0.792;0.718;0.706;0.836;0.863
transcript24_ENSMPUG00000020072;0.434;0.515;0.539;0.517;0.881;0.766;0.885;0.77;0.767;0.814;0.885;0.665;0.671;0.823;1.0;0.885;0.91;0.866;0.77;0.105;0.109;0.121;0.104;0.797;0.767;0.719;0.752;0.674;0.653;0.774;0.814
transcript24_ENSCCNG00000000226;0.431;0.597;0.635;0.598;0.848;0.87;0.843;0.864;0.875;0.925;0.843;0.64;0.75;0.784;0.885;1.0;0.972;0.824;0.864;0.111;0.123;0.137;0.112;0.895;0.869;0.825;0.897;0.813;0.749;0.891;0.925
transcript24_ENSCPOG00000024843;0.42;0.586;0.601;0.582;0.862;0.88;0.857;0.875;0.891;0.942;0.857;0.644;0.765;0.797;0.91;0.972;1.0;0.838;0.875;0.113;0.122;0.129;0.113;0.915;0.888;0.833;0.859;0.775;0.748;0.908;0.942
transcript25_ENSMPUG00000020072;0.557;0.651;0.664;0.662;0.976;0.834;0.981;0.838;0.845;0.902;0.981;0.762;0.76;0.919;0.866;0.824;0.838;1.0;0.838;0.095;0.102;0.108;0.095;0.873;0.845;0.799;0.83;0.78;0.778;0.886;0.902
transcript12_ENSECAG00000007947;0.496;0.657;0.668;0.653;0.852;0.995;0.856;1.0;0.866;0.92;0.856;0.684;0.786;0.805;0.77;0.864;0.875;0.838;1.0;0.094;0.104;0.107;0.094;0.897;0.869;0.824;0.851;0.795;0.772;0.906;0.92
transcript9_ENSMLUG00000027828;0.168;0.159;0.162;0.17;0.104;0.104;0.094;0.094;0.098;0.101;0.094;0.119;0.129;0.099;0.105;0.111;0.113;0.095;0.094;1.0;0.915;0.934;1.0;0.099;0.115;0.106;0.109;0.129;0.131;0.129;0.101
transcript9_ENSSTOG00000019743;0.189;0.223;0.194;0.198;0.115;0.116;0.102;0.104;0.132;0.115;0.102;0.113;0.113;0.113;0.109;0.123;0.122;0.102;0.104;0.915;1.0;0.919;0.923;0.101;0.124;0.152;0.133;0.148;0.146;0.127;0.115
transcript9_ENSCCNG00000000226;0.21;0.212;0.222;0.212;0.12;0.118;0.108;0.107;0.119;0.116;0.108;0.113;0.108;0.119;0.121;0.137;0.129;0.108;0.107;0.934;0.919;1.0;0.94;0.103;0.126;0.137;0.142;0.169;0.159;0.121;0.116
transcript9_ENSCPOG00000024843;0.176;0.169;0.169;0.181;0.102;0.104;0.093;0.094;0.1;0.101;0.093;0.095;0.096;0.093;0.104;0.112;0.113;0.095;0.094;1.0;0.923;0.94;1.0;0.093;0.103;0.112;0.113;0.145;0.148;0.104;0.101
transcript13_ENSMLUG00000027828;0.493;0.666;0.673;0.661;0.887;0.895;0.889;0.897;0.909;0.962;0.889;0.676;0.866;0.839;0.797;0.895;0.915;0.873;0.897;0.099;0.101;0.103;0.093;1.0;0.971;0.852;0.876;0.82;0.806;0.933;0.962
transcript14_ENSMLUG00000027828;0.521;0.699;0.707;0.661;0.867;0.874;0.862;0.869;0.889;0.938;0.862;0.642;0.828;0.886;0.767;0.869;0.888;0.845;0.869;0.115;0.124;0.126;0.103;0.971;1.0;0.829;0.85;0.789;0.775;0.901;0.938
transcript26_ENSSTOG00000019743;0.525;0.794;0.718;0.708;0.824;0.829;0.819;0.824;0.945;0.891;0.819;0.628;0.714;0.766;0.719;0.825;0.833;0.799;0.824;0.106;0.152;0.137;0.112;0.852;0.829;1.0;0.921;0.75;0.722;0.856;0.891
transcript26_ENSCCNG00000000226;0.547;0.728;0.771;0.731;0.854;0.856;0.849;0.851;0.869;0.914;0.849;0.652;0.734;0.792;0.752;0.897;0.859;0.83;0.851;0.109;0.133;0.142;0.113;0.876;0.85;0.921;1.0;0.805;0.744;0.879;0.914
transcript18_ENSCCNG00000000226;0.645;0.772;0.845;0.85;0.786;0.8;0.78;0.795;0.805;0.84;0.78;0.566;0.655;0.718;0.674;0.813;0.775;0.78;0.795;0.129;0.148;0.169;0.145;0.82;0.789;0.75;0.805;1.0;0.973;0.779;0.84
transcript18_ENSCPOG00000024843;0.649;0.779;0.818;0.859;0.772;0.777;0.767;0.772;0.784;0.82;0.767;0.549;0.637;0.706;0.653;0.749;0.748;0.778;0.772;0.131;0.146;0.159;0.148;0.806;0.775;0.722;0.744;0.973;1.0;0.75;0.82
transcript32_ENSCPOG00000024843;0.466;0.615;0.613;0.61;0.914;0.912;0.908;0.906;0.925;0.984;0.908;0.923;0.95;0.836;0.774;0.891;0.908;0.886;0.906;0.129;0.127;0.121;0.104;0.933;0.901;0.856;0.879;0.779;0.75;1.0;0.984
transcript33_ENSCPOG00000024843;0.502;0.68;0.687;0.675;0.924;0.924;0.919;0.92;0.944;1.0;0.919;0.718;0.829;0.863;0.814;0.925;0.942;0.902;0.92;0.101;0.115;0.116;0.101;0.962;0.938;0.891;0.914;0.84;0.82;0.984;1.0
