;ENSCAFT00000006204_90_90;ENST00000361556_90_90;ENST00000371714_90_90;ENST00000428468_90_90;ENST00000435274_90_90;ENST00000447887_90_90;ENST00000453295_90_90;ENST00000462759_90_90;ENST00000481937_90_90;ENST00000486942_90_90;ENST00000489990_90_90;ENST00000495776_90_90;ENST00000526917_90_90;ENST00000527631_90_90;ENST00000528603_90_90;ENST00000531061_90_90;ENST00000531828_90_90;ENST00000532975_90_90;ENST00000533884_90_90;ENST00000534040_90_90;ENST00000625138_90_90;ENSMUST00000030288_90_90;ENSMUST00000084366_90_90;ENSMUST00000159545_90_90;ENSMUST00000160271_90_90;ENSMUST00000160774_90_90;ENSMUST00000161363_90_90;ENSMUST00000162787_90_90;ENSMUST00000194478_90_90
ENST00000489990_90_90;0.417;0.208;0.478;0.458;0.214;0.458;0.417;0.136;0.154;0.136;1.0;0.308;0.071;0.143;0.077;0.062;0.13;0.2;0.071;0.167;0.0;0.458;0.208;0.333;0.217;0.417;0.364;0.478;0.458
ENST00000495776_90_90;0.167;0.0;0.208;0.2;0.333;0.2;0.16;0.0;0.0;0.0;0.308;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208;0.0;1.0;0.0;0.167;0.091;0.217;0.208
ENST00000526917_90_90;0.042;0.158;0.038;0.037;0.0;0.037;0.038;0.0;0.0;0.0;0.071;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.04;0.111;0.0;0.118;0.042;0.05;0.042;0.04
ENST00000527631_90_90;0.208;0.211;0.167;0.208;0.0;0.16;0.217;0.267;0.5;0.267;0.143;0.0;0.0;1.0;0.333;0.1;0.333;0.5;0.0;0.333;0.0;0.208;0.278;0.0;0.222;0.217;0.2;0.167;0.16
ENST00000528603_90_90;0.083;0.05;0.04;0.08;0.0;0.038;0.083;0.062;0.4;0.062;0.077;0.0;0.0;0.333;1.0;0.0;0.125;0.111;0.0;0.2;0.0;0.083;0.111;0.0;0.056;0.087;0.05;0.042;0.04
ENST00000531061_90_90;0.25;0.333;0.261;0.25;0.0;0.25;0.261;0.429;0.0;0.429;0.062;0.0;0.0;0.1;0.0;1.0;0.4;0.444;0.0;0.0;0.0;0.25;0.333;0.0;0.353;0.261;0.316;0.261;0.25
ENST00000531828_90_90;0.625;0.737;0.583;0.625;0.0;0.56;0.652;0.933;0.188;0.933;0.13;0.0;0.0;0.333;0.125;0.4;1.0;0.467;0.0;0.125;0.133;0.625;0.833;0.0;0.778;0.652;0.7;0.583;0.56
ENST00000532975_90_90;0.292;0.389;0.304;0.292;0.0;0.292;0.304;0.5;0.222;0.5;0.2;0.0;0.0;0.5;0.111;0.444;0.467;1.0;0.0;0.25;0.0;0.292;0.389;0.0;0.412;0.304;0.368;0.304;0.292
ENST00000533884_90_90;0.042;0.158;0.038;0.037;0.0;0.037;0.038;0.0;0.0;0.0;0.071;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.04;0.111;0.0;0.118;0.042;0.05;0.042;0.04
ENST00000534040_90_90;0.083;0.105;0.083;0.08;0.0;0.08;0.083;0.133;0.4;0.133;0.167;0.0;0.0;0.333;0.2;0.0;0.125;0.25;0.0;1.0;0.0;0.083;0.111;0.0;0.118;0.087;0.105;0.087;0.083
ENST00000625138_90_90;0.083;0.111;0.087;0.083;0.0;0.083;0.087;0.143;0.0;0.143;0.0;0.0;0.0;0.0;0.0;0.0;0.133;0.0;0.0;0.0;1.0;0.083;0.111;0.0;0.118;0.087;0.105;0.087;0.083
ENSMUST00000030288_90_90;1.0;0.64;0.958;1.0;0.167;0.92;0.958;0.583;0.125;0.583;0.458;0.208;0.04;0.208;0.083;0.25;0.625;0.292;0.04;0.083;0.083;1.0;0.654;0.208;0.615;0.958;0.76;0.958;0.92
ENSMUST00000084366_90_90;0.739;0.944;0.64;0.68;0.0;0.615;0.708;0.778;0.167;0.778;0.208;0.0;0.111;0.278;0.111;0.333;0.833;0.389;0.111;0.111;0.111;0.654;1.0;0.0;0.947;0.68;0.696;0.615;0.593
ENSMUST00000159545_90_90;0.174;0.0;0.217;0.208;0.5;0.208;0.167;0.0;0.0;0.0;0.333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.208;0.0;1.0;0.0;0.167;0.087;0.217;0.208
ENSMUST00000160271_90_90;0.696;1.0;0.667;0.64;0.0;0.64;0.667;0.824;0.111;0.824;0.217;0.0;0.118;0.222;0.056;0.353;0.778;0.412;0.118;0.118;0.118;0.615;0.947;0.0;1.0;0.64;0.727;0.64;0.615
ENSMUST00000160774_90_90;0.957;0.667;0.917;0.958;0.125;0.88;1.0;0.609;0.13;0.609;0.417;0.167;0.042;0.217;0.087;0.261;0.652;0.304;0.042;0.087;0.087;0.958;0.68;0.167;0.64;1.0;0.792;0.917;0.88
ENSMUST00000161363_90_90;0.783;0.8;0.826;0.792;0.0;0.792;0.826;0.737;0.1;0.737;0.364;0.091;0.05;0.2;0.05;0.316;0.7;0.368;0.05;0.105;0.105;0.76;0.696;0.087;0.727;0.792;1.0;0.792;0.76
ENSMUST00000162787_90_90;0.957;0.667;1.0;0.958;0.174;0.958;0.917;0.609;0.083;0.609;0.478;0.217;0.042;0.167;0.042;0.261;0.583;0.304;0.042;0.087;0.087;0.958;0.615;0.217;0.64;0.917;0.792;1.0;0.958
ENSMUST00000194478_90_90;0.957;0.64;0.958;0.92;0.167;1.0;0.88;0.583;0.08;0.583;0.458;0.208;0.04;0.16;0.04;0.25;0.56;0.292;0.04;0.083;0.083;0.92;0.593;0.208;0.615;0.88;0.76;0.958;1.0
