;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000435861_90_90;0.195;0.211;0.211;0.235;0.235;0.667;0.667;0.727;0.235;0.0;1.0;1.0;0.222;0.0;0.258;0.444;0.333;0.556;0.25;0.242;0.258;0.258;0.348;0.111;0.615
ENST00000438930_90_90;0.195;0.211;0.211;0.235;0.235;0.667;0.667;0.727;0.235;0.0;1.0;1.0;0.222;0.0;0.258;0.444;0.333;0.556;0.25;0.242;0.258;0.258;0.348;0.111;0.615
ENST00000442516_90_90;0.05;0.054;0.054;0.061;0.061;0.182;0.333;0.2;0.061;0.0;0.222;0.222;1.0;0.0;0.067;0.5;0.667;0.4;0.065;0.062;0.067;0.067;0.091;0.5;0.167
ENST00000446600_90_90;0.488;0.419;0.419;0.727;0.727;0.061;0.0;0.03;0.727;0.32;0.0;0.0;0.0;1.0;0.636;0.0;0.0;0.0;0.447;0.474;0.459;0.459;0.278;0.0;0.091
ENST00000446820_90_90;0.591;0.634;0.634;0.909;0.909;0.367;0.2;0.333;0.909;0.258;0.258;0.258;0.067;0.636;1.0;0.133;0.1;0.167;0.649;0.676;0.714;0.714;0.444;0.033;0.355
ENST00000451769_90_90;0.1;0.108;0.108;0.121;0.121;0.364;0.667;0.4;0.121;0.0;0.444;0.444;0.5;0.0;0.133;1.0;0.75;0.8;0.129;0.125;0.133;0.133;0.182;0.25;0.333
ENST00000456590_90_90;0.075;0.081;0.081;0.091;0.091;0.273;0.5;0.3;0.091;0.0;0.333;0.333;0.667;0.0;0.1;0.75;1.0;0.6;0.097;0.094;0.1;0.1;0.136;0.333;0.25
ENST00000457529_90_90;0.125;0.135;0.135;0.152;0.152;0.455;0.833;0.5;0.152;0.0;0.556;0.556;0.4;0.0;0.167;0.8;0.6;1.0;0.161;0.156;0.167;0.167;0.227;0.2;0.417
ENSMUST00000005072_90_90;0.651;0.659;0.659;0.641;0.641;0.312;0.194;0.281;0.641;0.176;0.25;0.25;0.065;0.447;0.649;0.129;0.097;0.161;1.0;0.969;0.906;0.906;0.514;0.032;0.387
ENSMUST00000111142_90_90;0.674;0.683;0.683;0.667;0.667;0.303;0.188;0.273;0.667;0.206;0.242;0.242;0.062;0.474;0.676;0.125;0.094;0.156;0.969;1.0;0.938;0.938;0.5;0.031;0.375
ENSMUST00000111144_90_90;0.667;0.718;0.718;0.658;0.658;0.323;0.2;0.29;0.658;0.219;0.258;0.258;0.067;0.459;0.714;0.133;0.1;0.167;0.906;0.938;1.0;1.0;0.529;0.033;0.4
ENSMUST00000111145_90_90;0.667;0.718;0.718;0.658;0.658;0.323;0.2;0.29;0.658;0.219;0.258;0.258;0.067;0.459;0.714;0.133;0.1;0.167;0.906;0.938;1.0;1.0;0.529;0.033;0.4
ENSMUST00000125827_90_90;0.442;0.405;0.405;0.486;0.486;0.435;0.273;0.391;0.486;0.107;0.348;0.348;0.091;0.278;0.444;0.182;0.136;0.227;0.514;0.5;0.529;0.529;1.0;0.045;0.545
ENSMUST00000130345_90_90;0.025;0.027;0.027;0.03;0.03;0.091;0.167;0.1;0.03;0.0;0.111;0.111;0.5;0.0;0.033;0.25;0.333;0.2;0.032;0.031;0.033;0.033;0.045;1.0;0.083
ENSMUST00000199239_90_90;0.3;0.324;0.324;0.324;0.324;0.769;0.5;0.692;0.324;0.0;0.615;0.615;0.167;0.091;0.355;0.333;0.25;0.417;0.387;0.375;0.4;0.4;0.545;0.083;1.0
