;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENST00000425919_90_90;0.182;0.167;0.167;0.182;0.167;0.167;0.167;0.571;0.5;0.25;1.0;0.5;0.333;0.444;0.75;0.0;0.8;0.333;0.267;0.667;0.167;0.182;0.4;0.19;0.235
ENST00000430102_90_90;0.364;0.333;0.333;0.364;0.333;0.333;0.333;0.875;0.25;0.125;0.5;1.0;0.667;0.889;0.375;0.0;0.625;0.667;0.533;0.75;0.333;0.364;0.8;0.381;0.471
ENST00000433016_90_90;0.478;0.44;0.5;0.545;0.5;0.5;0.5;0.583;0.167;0.083;0.333;0.667;1.0;0.75;0.25;0.0;0.417;0.714;0.8;0.5;0.44;0.478;0.692;0.5;0.611
ENST00000440209_90_90;0.409;0.375;0.375;0.409;0.375;0.375;0.375;0.778;0.222;0.111;0.444;0.889;0.75;1.0;0.333;0.0;0.556;0.75;0.6;0.667;0.375;0.409;0.9;0.429;0.529
ENST00000444960_90_90;0.136;0.125;0.125;0.136;0.125;0.125;0.125;0.429;0.667;0.333;0.75;0.375;0.25;0.333;1.0;0.0;0.6;0.25;0.2;0.5;0.125;0.136;0.3;0.143;0.176
ENST00000445516_90_90;0.167;0.25;0.25;0.167;0.25;0.25;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.05;0.0;0.2;0.217;0.0;0.125;0.15
ENST00000452773_90_90;0.227;0.208;0.208;0.227;0.208;0.208;0.208;0.714;0.4;0.2;0.8;0.625;0.417;0.556;0.6;0.0;1.0;0.417;0.333;0.833;0.208;0.227;0.5;0.238;0.294
ENST00000454017_90_90;0.478;0.44;0.385;0.417;0.385;0.385;0.385;0.583;0.167;0.083;0.333;0.667;0.714;0.75;0.25;0.0;0.417;1.0;0.588;0.5;0.44;0.478;0.692;0.5;0.611
ENST00000458177_90_90;0.609;0.56;0.625;0.682;0.625;0.625;0.625;0.467;0.133;0.067;0.267;0.533;0.8;0.6;0.2;0.05;0.333;0.588;1.0;0.4;0.56;0.609;0.562;0.636;0.778
ENST00000458493_90_90;0.273;0.25;0.25;0.273;0.25;0.25;0.25;0.857;0.333;0.167;0.667;0.75;0.5;0.667;0.5;0.0;0.833;0.5;0.4;1.0;0.25;0.273;0.6;0.286;0.353
ENSMUST00000080085_90_90;0.84;0.92;0.846;0.769;0.846;0.846;0.846;0.292;0.083;0.042;0.167;0.333;0.44;0.375;0.125;0.2;0.208;0.44;0.56;0.25;1.0;0.917;0.36;0.8;0.708
ENSMUST00000171023_90_90;0.76;0.84;0.769;0.692;0.769;0.769;0.769;0.318;0.091;0.045;0.182;0.364;0.478;0.409;0.136;0.217;0.227;0.478;0.609;0.273;0.917;1.0;0.391;0.792;0.773
ENSMUST00000198079_90_90;0.391;0.36;0.36;0.391;0.36;0.36;0.36;0.7;0.2;0.1;0.4;0.8;0.692;0.9;0.3;0.0;0.5;0.692;0.562;0.6;0.36;0.391;1.0;0.409;0.5
ENSMUST00000200386_90_90;0.792;0.731;0.667;0.72;0.667;0.667;0.667;0.333;0.095;0.048;0.19;0.381;0.5;0.429;0.143;0.125;0.238;0.5;0.636;0.286;0.8;0.792;0.409;1.0;0.727
ENSMUST00000200577_90_90;0.696;0.708;0.64;0.625;0.64;0.64;0.64;0.412;0.118;0.059;0.235;0.471;0.611;0.529;0.176;0.15;0.294;0.611;0.778;0.353;0.708;0.773;0.5;0.727;1.0
