;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENST00000433016_90_90;0.395;0.356;0.385;0.429;0.385;0.385;0.385;0.457;0.145;0.07;0.257;0.573;1.0;0.65;0.208;0.0;0.35;0.794;0.786;0.409;0.356;0.382;0.596;0.414;0.595
ENST00000440209_90_90;0.286;0.256;0.256;0.286;0.256;0.256;0.256;0.699;0.223;0.107;0.392;0.881;0.65;1.0;0.319;0.0;0.537;0.754;0.512;0.627;0.256;0.276;0.874;0.301;0.42
ENST00000444960_90_90;0.092;0.083;0.083;0.092;0.083;0.083;0.083;0.46;0.701;0.338;0.823;0.361;0.208;0.319;1.0;0.0;0.593;0.241;0.164;0.509;0.083;0.089;0.279;0.098;0.135
ENST00000445516_90_90;0.14;0.232;0.232;0.14;0.232;0.232;0.232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.03;0.0;0.208;0.222;0.0;0.147;0.184
ENST00000452773_90_90;0.155;0.14;0.14;0.155;0.14;0.14;0.14;0.775;0.415;0.201;0.728;0.609;0.35;0.537;0.593;0.0;1.0;0.406;0.275;0.858;0.14;0.15;0.47;0.164;0.227
ENST00000454017_90_90;0.368;0.331;0.302;0.335;0.302;0.302;0.302;0.531;0.168;0.081;0.299;0.664;0.794;0.754;0.241;0.0;0.406;1.0;0.625;0.475;0.331;0.355;0.682;0.388;0.552
ENST00000458177_90_90;0.502;0.453;0.485;0.54;0.485;0.485;0.485;0.361;0.114;0.055;0.203;0.451;0.786;0.512;0.164;0.03;0.275;0.625;1.0;0.323;0.453;0.486;0.478;0.528;0.762
ENST00000458493_90_90;0.184;0.164;0.164;0.184;0.164;0.164;0.164;0.902;0.357;0.172;0.623;0.711;0.409;0.627;0.509;0.0;0.858;0.475;0.323;1.0;0.164;0.177;0.548;0.194;0.267
ENSMUST00000080085_90_90;0.907;0.961;0.924;0.871;0.924;0.924;0.924;0.187;0.057;0.028;0.106;0.227;0.356;0.256;0.083;0.208;0.14;0.331;0.453;0.164;1.0;0.933;0.247;0.815;0.584
ENSMUST00000171023_90_90;0.841;0.896;0.861;0.805;0.861;0.861;0.861;0.202;0.061;0.03;0.114;0.244;0.382;0.276;0.089;0.222;0.15;0.355;0.486;0.177;0.933;1.0;0.266;0.817;0.627
ENSMUST00000198079_90_90;0.275;0.247;0.247;0.275;0.247;0.247;0.247;0.613;0.195;0.094;0.344;0.77;0.596;0.874;0.279;0.0;0.47;0.682;0.478;0.548;0.247;0.266;1.0;0.288;0.397
ENSMUST00000200386_90_90;0.895;0.815;0.781;0.855;0.781;0.781;0.781;0.22;0.067;0.033;0.124;0.266;0.414;0.301;0.098;0.147;0.164;0.388;0.528;0.194;0.815;0.817;0.288;1.0;0.59
ENSMUST00000200577_90_90;0.561;0.584;0.55;0.524;0.55;0.55;0.55;0.3;0.093;0.045;0.169;0.37;0.595;0.42;0.135;0.184;0.227;0.552;0.762;0.267;0.584;0.627;0.397;0.59;1.0
