;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript54_ENSCGRG00015005362;0.716;1.0;0.92;0.99;0.97;0.97;0.857;0.798;0.8;0.772;1.0;0.754;0.772;0.742;0.72;0.731;1.0;0.742;0.67;0.74;0.74;0.922;0.662;0.73;0.639;0.69;0.66;0.425;0.634;0.855;0.855;0.855;0.837;0.78;0.921;0.855
transcript8_ENSCGRG00000018457;0.906;0.754;0.684;0.745;0.756;0.731;0.664;0.948;0.95;0.98;0.754;1.0;0.98;0.889;0.923;0.877;0.754;0.889;0.785;0.88;0.88;0.695;0.798;0.869;0.81;0.828;0.797;0.582;0.752;0.897;0.897;0.897;0.879;0.931;0.788;0.897
transcript38_ENSCGRG00000018457;0.921;0.772;0.704;0.764;0.775;0.748;0.651;0.968;0.97;1.0;0.772;0.98;1.0;0.909;0.943;0.897;0.772;0.909;0.805;0.899;0.899;0.714;0.819;0.889;0.794;0.847;0.817;0.59;0.758;0.916;0.916;0.916;0.897;0.95;0.807;0.916
transcript52_ENSCGRG00000018457;0.833;0.742;0.673;0.734;0.745;0.719;0.621;0.938;0.94;0.909;0.742;0.889;0.909;1.0;0.855;0.986;0.742;1.0;0.779;0.875;0.875;0.689;0.793;0.863;0.768;0.923;0.791;0.536;0.756;0.887;0.887;0.887;0.867;0.919;0.778;0.887
transcript56_ENSCGRG00000018457;0.864;0.72;0.651;0.712;0.723;0.698;0.6;0.913;0.915;0.943;0.72;0.923;0.943;0.855;1.0;0.842;0.72;0.855;0.759;0.854;0.854;0.67;0.772;0.843;0.748;0.801;0.771;0.559;0.732;0.864;0.864;0.864;0.845;0.895;0.754;0.864
transcript65_ENSCGRG00000018457;0.822;0.731;0.661;0.722;0.734;0.707;0.609;0.925;0.927;0.897;0.731;0.877;0.897;0.986;0.842;1.0;0.731;0.986;0.769;0.864;0.864;0.678;0.782;0.853;0.758;0.912;0.78;0.543;0.748;0.875;0.875;0.875;0.855;0.907;0.765;0.875
transcript37_ENSCGRG00001010245;0.716;1.0;0.92;0.99;0.97;0.97;0.857;0.798;0.8;0.772;1.0;0.754;0.772;0.742;0.72;0.731;1.0;0.742;0.67;0.74;0.74;0.922;0.662;0.73;0.639;0.69;0.66;0.425;0.634;0.855;0.855;0.855;0.837;0.78;0.921;0.855
transcript52_ENSCGRG00001010245;0.833;0.742;0.673;0.734;0.745;0.719;0.621;0.938;0.94;0.909;0.742;0.889;0.909;1.0;0.855;0.986;0.742;1.0;0.779;0.875;0.875;0.689;0.793;0.863;0.768;0.923;0.791;0.536;0.756;0.887;0.887;0.887;0.867;0.919;0.778;0.887
transcript8_ENSPEMG00000024651;0.745;0.67;0.599;0.663;0.674;0.645;0.546;0.824;0.825;0.805;0.67;0.785;0.805;0.779;0.759;0.769;0.67;0.779;1.0;0.897;0.897;0.722;0.985;0.885;0.782;0.841;0.983;0.483;0.665;0.777;0.777;0.777;0.762;0.809;0.689;0.777
transcript9_ENSPEMG00000024651;0.828;0.74;0.67;0.734;0.745;0.716;0.617;0.918;0.919;0.899;0.74;0.88;0.899;0.875;0.854;0.864;0.74;0.875;0.897;1.0;1.0;0.798;0.911;0.988;0.885;0.943;0.909;0.545;0.722;0.866;0.866;0.866;0.851;0.903;0.778;0.866
transcript33_ENSPEMG00000024651;0.828;0.74;0.67;0.734;0.745;0.716;0.617;0.918;0.919;0.899;0.74;0.88;0.899;0.875;0.854;0.864;0.74;0.875;0.897;1.0;1.0;0.798;0.911;0.988;0.885;0.943;0.909;0.545;0.722;0.866;0.866;0.866;0.851;0.903;0.778;0.866
transcript37_ENSPEMG00000024651;0.659;0.922;0.842;0.914;0.895;0.894;0.781;0.731;0.732;0.714;0.922;0.695;0.714;0.689;0.67;0.678;0.922;0.689;0.722;0.798;0.798;1.0;0.714;0.786;0.688;0.744;0.712;0.403;0.575;0.788;0.788;0.788;0.772;0.717;0.849;0.788
transcript39_ENSPEMG00000024651;0.758;0.662;0.593;0.655;0.665;0.637;0.539;0.837;0.839;0.819;0.662;0.798;0.819;0.793;0.772;0.782;0.662;0.793;0.985;0.911;0.911;0.714;1.0;0.899;0.795;0.854;0.998;0.497;0.679;0.79;0.79;0.79;0.774;0.823;0.701;0.79
transcript56_ENSPEMG00000024651;0.819;0.73;0.659;0.723;0.734;0.716;0.617;0.907;0.908;0.889;0.73;0.869;0.889;0.863;0.843;0.853;0.73;0.863;0.885;0.988;0.988;0.786;0.899;1.0;0.873;0.931;0.897;0.537;0.714;0.855;0.855;0.855;0.84;0.893;0.768;0.855
transcript57_ENSPEMG00000024651;0.742;0.639;0.569;0.632;0.642;0.619;0.688;0.812;0.815;0.794;0.639;0.81;0.794;0.768;0.748;0.758;0.639;0.768;0.782;0.885;0.885;0.688;0.795;0.873;1.0;0.828;0.794;0.484;0.668;0.766;0.766;0.766;0.75;0.798;0.677;0.766
transcript58_ENSPEMG00000024651;0.776;0.69;0.621;0.683;0.694;0.667;0.569;0.865;0.867;0.847;0.69;0.828;0.847;0.923;0.801;0.912;0.69;0.923;0.841;0.943;0.943;0.744;0.854;0.931;0.828;1.0;0.853;0.515;0.694;0.817;0.817;0.817;0.802;0.851;0.729;0.817
transcript59_ENSPEMG00000024651;0.756;0.66;0.591;0.654;0.664;0.636;0.538;0.835;0.837;0.817;0.66;0.797;0.817;0.791;0.771;0.78;0.66;0.791;0.983;0.909;0.909;0.712;0.998;0.897;0.794;0.853;1.0;0.495;0.677;0.788;0.788;0.788;0.772;0.821;0.699;0.788
transcript8_ENSNGAG00000018584;0.556;0.425;0.382;0.429;0.436;0.414;0.358;0.571;0.572;0.59;0.425;0.582;0.59;0.536;0.559;0.543;0.425;0.536;0.483;0.545;0.545;0.403;0.497;0.537;0.484;0.515;0.495;1.0;0.723;0.535;0.535;0.535;0.546;0.584;0.49;0.535
transcript33_ENSNGAG00000018584;0.688;0.634;0.595;0.626;0.637;0.615;0.566;0.785;0.788;0.758;0.634;0.752;0.758;0.756;0.732;0.748;0.634;0.756;0.665;0.722;0.722;0.575;0.679;0.714;0.668;0.694;0.677;0.723;1.0;0.739;0.739;0.739;0.726;0.774;0.676;0.739
transcript8_ENSSTOG00000019743;0.842;0.855;0.787;0.847;0.832;0.83;0.733;0.943;0.945;0.916;0.855;0.897;0.916;0.887;0.864;0.875;0.855;0.887;0.777;0.866;0.866;0.788;0.79;0.855;0.766;0.817;0.788;0.535;0.739;1.0;1.0;1.0;0.981;0.925;0.891;1.0
transcript26_ENSSTOG00000019743;0.842;0.855;0.787;0.847;0.832;0.83;0.733;0.943;0.945;0.916;0.855;0.897;0.916;0.887;0.864;0.875;0.855;0.887;0.777;0.866;0.866;0.788;0.79;0.855;0.766;0.817;0.788;0.535;0.739;1.0;1.0;1.0;0.981;0.925;0.891;1.0
transcript29_ENSSTOG00000019743;0.842;0.855;0.787;0.847;0.832;0.83;0.733;0.943;0.945;0.916;0.855;0.897;0.916;0.887;0.864;0.875;0.855;0.887;0.777;0.866;0.866;0.788;0.79;0.855;0.766;0.817;0.788;0.535;0.739;1.0;1.0;1.0;0.981;0.925;0.891;1.0
transcript37_ENSSTOG00000019743;0.827;0.837;0.768;0.828;0.812;0.815;0.717;0.923;0.925;0.897;0.837;0.879;0.897;0.867;0.845;0.855;0.837;0.867;0.762;0.851;0.851;0.772;0.774;0.84;0.75;0.802;0.772;0.546;0.726;0.981;0.981;0.981;1.0;0.944;0.908;0.981
transcript38_ENSSTOG00000019743;0.877;0.78;0.712;0.772;0.784;0.758;0.661;0.978;0.98;0.95;0.78;0.931;0.95;0.919;0.895;0.907;0.78;0.919;0.809;0.903;0.903;0.717;0.823;0.893;0.798;0.851;0.821;0.584;0.774;0.925;0.925;0.925;0.944;1.0;0.851;0.925
transcript39_ENSSTOG00000019743;0.754;0.921;0.845;0.911;0.894;0.896;0.788;0.834;0.835;0.807;0.921;0.788;0.807;0.778;0.754;0.765;0.921;0.778;0.689;0.778;0.778;0.849;0.701;0.768;0.677;0.729;0.699;0.49;0.676;0.891;0.891;0.891;0.908;0.851;1.0;0.891
transcript40_ENSSTOG00000019743;0.842;0.855;0.787;0.847;0.832;0.83;0.733;0.943;0.945;0.916;0.855;0.897;0.916;0.887;0.864;0.875;0.855;0.887;0.777;0.866;0.866;0.788;0.79;0.855;0.766;0.817;0.788;0.535;0.739;1.0;1.0;1.0;0.981;0.925;0.891;1.0
