;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript27_ENSAPOG00000023408;0.991;1.0;0.665;0.996;0.956;0.96;0.969;0.942;0.991;0.88;1.0;0.647;0.665;0.654;0.614;0.484;0.656;0.982;0.862;1.0;0.978;0.915;0.964;0.946;0.991
transcript30_ENSAPOG00000023408;0.638;0.647;0.919;0.644;0.652;0.673;0.667;0.664;0.638;0.624;0.647;1.0;0.919;0.904;0.839;0.658;0.907;0.636;0.628;0.647;0.642;0.622;0.655;0.652;0.641
transcript32_ENSAPOG00000023408;0.656;0.665;1.0;0.662;0.671;0.693;0.687;0.684;0.656;0.643;0.665;0.919;1.0;0.873;0.913;0.72;0.987;0.654;0.648;0.665;0.661;0.639;0.674;0.671;0.659
transcript40_ENSAPOG00000023408;0.645;0.654;0.873;0.651;0.659;0.68;0.674;0.671;0.645;0.632;0.654;0.904;0.873;1.0;0.839;0.658;0.861;0.643;0.636;0.654;0.649;0.629;0.662;0.659;0.648
transcript41_ENSAPOG00000023408;0.605;0.614;0.913;0.612;0.62;0.64;0.634;0.631;0.605;0.59;0.614;0.839;0.913;0.839;1.0;0.788;0.9;0.604;0.593;0.614;0.61;0.59;0.622;0.619;0.609
transcript42_ENSAPOG00000023408;0.475;0.484;0.72;0.482;0.489;0.505;0.5;0.495;0.475;0.453;0.484;0.658;0.72;0.658;0.788;1.0;0.707;0.476;0.469;0.484;0.48;0.463;0.488;0.484;0.48
transcript43_ENSAPOG00000023408;0.647;0.656;0.987;0.653;0.662;0.684;0.677;0.674;0.647;0.634;0.656;0.907;0.987;0.861;0.9;0.707;1.0;0.645;0.638;0.656;0.652;0.63;0.665;0.662;0.65
transcript1_ENSAOCG00000015695;0.974;0.982;0.654;0.978;0.939;0.943;0.952;0.925;0.974;0.865;0.982;0.636;0.654;0.643;0.604;0.476;0.645;1.0;0.847;0.982;0.978;0.9;0.947;0.93;0.982
transcript8_ENSAOCG00000015695;0.853;0.862;0.648;0.858;0.87;0.889;0.89;0.872;0.853;0.97;0.862;0.628;0.648;0.636;0.593;0.469;0.638;0.847;1.0;0.862;0.866;0.863;0.894;0.893;0.855
transcript25_ENSAOCG00000015695;0.991;1.0;0.665;0.996;0.956;0.96;0.969;0.942;0.991;0.88;1.0;0.647;0.665;0.654;0.614;0.484;0.656;0.982;0.862;1.0;0.978;0.915;0.964;0.946;0.991
transcript26_ENSAOCG00000015695;0.969;0.978;0.661;0.973;0.943;0.955;0.964;0.938;0.969;0.884;0.978;0.642;0.661;0.649;0.61;0.48;0.652;0.978;0.866;0.978;1.0;0.919;0.968;0.95;0.969
transcript36_ENSAOCG00000015695;0.906;0.915;0.639;0.911;0.915;0.926;0.934;0.909;0.906;0.881;0.915;0.622;0.639;0.629;0.59;0.463;0.63;0.9;0.863;0.915;0.919;1.0;0.947;0.93;0.907
transcript37_ENSAOCG00000015695;0.955;0.964;0.674;0.96;0.964;0.977;0.986;0.959;0.955;0.912;0.964;0.655;0.674;0.662;0.622;0.488;0.665;0.947;0.894;0.964;0.968;0.947;1.0;0.981;0.956
transcript38_ENSAOCG00000015695;0.937;0.946;0.671;0.942;0.946;0.977;0.968;0.967;0.937;0.903;0.946;0.652;0.671;0.659;0.619;0.484;0.662;0.93;0.893;0.946;0.95;0.93;0.981;1.0;0.938
transcript22_ENSPNYG00000024266;0.982;0.991;0.659;0.996;0.948;0.951;0.96;0.934;0.982;0.872;0.991;0.641;0.659;0.648;0.609;0.48;0.65;0.982;0.855;0.991;0.969;0.907;0.956;0.938;1.0
