;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENST00000566327_90_90;0.321;0.731;0.154;0.154;0.708;0.0;0.857;0.13;0.115;0.0;1.0;0.103;0.103;0.103;0.857;0.583;0.0;0.0;0.333;0.333;0.29;0.115;0.12;0.083
ENST00000567094_90_90;0.24;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.304;0.304;0.417;0.438;0.467;0.429
ENST00000568331_90_90;0.24;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.304;0.304;0.417;0.438;0.467;0.429
ENST00000568451_90_90;0.24;0.258;0.5;0.5;0.296;0.214;0.065;0.25;0.533;0.214;0.103;1.0;1.0;1.0;0.065;0.333;0.214;0.214;0.304;0.304;0.417;0.438;0.467;0.429
ENST00000568841_90_90;0.267;0.704;0.148;0.148;0.615;0.0;0.905;0.125;0.071;0.0;0.857;0.065;0.065;0.065;1.0;0.5;0.0;0.0;0.276;0.276;0.242;0.071;0.074;0.038
ENST00000568859_90_90;0.423;0.731;0.364;0.364;0.864;0.15;0.5;0.182;0.381;0.15;0.583;0.333;0.333;0.333;0.5;1.0;0.15;0.15;0.5;0.5;0.429;0.318;0.333;0.3
ENST00000626061_90_90;0.048;0.111;0.25;0.25;0.13;1.0;0.0;0.0;0.273;0.6;0.0;0.214;0.214;0.214;0.0;0.15;1.0;0.6;0.105;0.105;0.087;0.167;0.182;0.222
ENST00000627440_90_90;0.048;0.111;0.25;0.25;0.13;0.6;0.0;0.0;0.273;1.0;0.0;0.214;0.214;0.214;0.0;0.15;0.6;1.0;0.105;0.105;0.087;0.167;0.182;0.222
ENSMUST00000028743_90_90;0.75;0.433;0.333;0.333;0.5;0.105;0.276;0.2;0.35;0.105;0.333;0.304;0.304;0.304;0.276;0.5;0.105;0.105;1.0;1.0;0.81;0.588;0.444;0.412
ENSMUST00000110711_90_90;0.75;0.433;0.333;0.333;0.5;0.105;0.276;0.2;0.35;0.105;0.333;0.304;0.304;0.304;0.276;0.5;0.105;0.105;1.0;1.0;0.81;0.588;0.444;0.412
ENSMUST00000116437_90_90;0.625;0.382;0.28;0.28;0.433;0.087;0.242;0.167;0.292;0.087;0.29;0.417;0.417;0.417;0.242;0.429;0.087;0.087;0.81;0.81;1.0;0.476;0.364;0.333
ENSMUST00000142278_90_90;0.474;0.241;0.5;0.5;0.28;0.167;0.071;0.308;0.538;0.167;0.115;0.438;0.438;0.438;0.071;0.318;0.167;0.167;0.588;0.588;0.476;1.0;0.727;0.7
ENSMUST00000150611_90_90;0.35;0.25;0.538;0.538;0.292;0.182;0.074;0.333;0.583;0.182;0.12;0.467;0.467;0.467;0.074;0.333;0.182;0.182;0.444;0.444;0.364;0.727;1.0;0.778
ENSMUST00000153580_90_90;0.316;0.222;0.5;0.5;0.261;0.222;0.038;0.273;0.545;0.222;0.083;0.429;0.429;0.429;0.038;0.3;0.222;0.222;0.412;0.412;0.333;0.7;0.778;1.0
