;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.681;0.681;0.655;0.632;0.921;0.895;0.921;0.816;1.0;0.655;1.0;0.638;0.434;0.398;0.446;0.386;0.373;0.403;0.412;0.349;0.368;0.388;0.373;0.359;0.37;0.346;0.435;0.42;0.42;0.355;0.355
transcript49_ENSMSIG00000000513;0.719;0.719;0.983;0.931;0.614;0.596;0.614;0.544;0.638;0.983;0.638;1.0;0.34;0.311;0.35;0.301;0.291;0.299;0.324;0.284;0.287;0.317;0.291;0.262;0.461;0.523;0.326;0.315;0.315;0.533;0.533
transcript22_MGP-SPRETEiJ-G0021131;0.341;0.341;0.35;0.333;0.415;0.42;0.415;0.366;0.434;0.35;0.434;0.34;1.0;0.893;0.94;0.881;0.869;0.631;0.94;0.845;0.619;0.917;0.869;0.548;0.571;0.748;0.651;0.659;0.659;0.757;0.757
transcript22_MGP-CAROLIEiJ-G0020234;0.308;0.308;0.32;0.304;0.378;0.366;0.378;0.397;0.398;0.32;0.398;0.311;0.893;1.0;0.905;0.987;0.974;0.595;0.905;0.949;0.583;0.881;0.974;0.549;0.541;0.72;0.616;0.624;0.624;0.729;0.729
transcript36_ENSMUSG00000054036;0.352;0.352;0.359;0.343;0.427;0.415;0.427;0.378;0.446;0.359;0.446;0.35;0.94;0.905;1.0;0.893;0.881;0.663;0.952;0.857;0.631;0.929;0.881;0.578;0.582;0.757;0.663;0.671;0.671;0.766;0.766
transcript8_MGP-CAROLIEiJ-G0020234;0.311;0.311;0.311;0.294;0.366;0.354;0.366;0.385;0.386;0.311;0.386;0.301;0.881;0.987;0.893;1.0;0.987;0.602;0.916;0.961;0.59;0.892;0.987;0.537;0.531;0.71;0.605;0.612;0.612;0.72;0.72
transcript32_MGP-CAROLIEiJ-G0020234;0.315;0.315;0.301;0.284;0.354;0.341;0.354;0.372;0.373;0.301;0.373;0.291;0.869;0.974;0.881;0.987;1.0;0.61;0.927;0.974;0.598;0.902;1.0;0.524;0.52;0.701;0.593;0.6;0.6;0.71;0.71
transcript32_ENSRNOG00000031503;0.329;0.329;0.31;0.291;0.379;0.364;0.379;0.318;0.403;0.31;0.403;0.299;0.631;0.595;0.663;0.602;0.61;1.0;0.683;0.585;0.947;0.659;0.61;0.81;0.767;0.528;0.918;0.933;0.933;0.523;0.523
transcript32_ENSMUGG00000013592;0.352;0.352;0.333;0.317;0.393;0.381;0.393;0.345;0.412;0.333;0.412;0.324;0.94;0.905;0.952;0.916;0.927;0.683;1.0;0.902;0.671;0.976;0.927;0.56;0.582;0.757;0.663;0.671;0.671;0.766;0.766
transcript33_MGP-CAROLIEiJ-G0020234;0.322;0.322;0.282;0.265;0.362;0.35;0.362;0.382;0.349;0.282;0.349;0.284;0.845;0.949;0.857;0.961;0.974;0.585;0.902;1.0;0.613;0.925;0.974;0.5;0.5;0.682;0.57;0.576;0.576;0.692;0.692
transcript33_ENSRNOG00000031503;0.333;0.333;0.284;0.264;0.385;0.369;0.385;0.323;0.368;0.284;0.368;0.287;0.619;0.583;0.631;0.59;0.598;0.947;0.671;0.613;1.0;0.688;0.598;0.763;0.753;0.519;0.902;0.917;0.917;0.514;0.514
transcript33_ENSMUGG00000013592;0.36;0.36;0.314;0.298;0.402;0.39;0.402;0.354;0.388;0.314;0.388;0.317;0.917;0.881;0.929;0.892;0.902;0.659;0.976;0.925;0.688;1.0;0.902;0.536;0.561;0.738;0.64;0.647;0.647;0.748;0.748
transcript42_MGP-CAROLIEiJ-G0020234;0.315;0.315;0.301;0.284;0.354;0.341;0.354;0.372;0.373;0.301;0.373;0.291;0.869;0.974;0.881;0.987;1.0;0.61;0.927;0.974;0.598;0.902;1.0;0.524;0.52;0.701;0.593;0.6;0.6;0.71;0.71
transcript9_ENSRNOG00000031503;0.268;0.268;0.274;0.253;0.333;0.317;0.333;0.311;0.359;0.274;0.359;0.262;0.548;0.549;0.578;0.537;0.524;0.81;0.56;0.5;0.763;0.536;0.524;1.0;0.671;0.462;0.803;0.817;0.817;0.458;0.458
transcript18_ENSRNOG00000031503;0.341;0.341;0.472;0.438;0.333;0.321;0.333;0.284;0.37;0.472;0.37;0.461;0.571;0.541;0.582;0.531;0.52;0.767;0.582;0.5;0.753;0.561;0.52;0.671;1.0;0.689;0.836;0.822;0.822;0.682;0.682
transcript18_ENSMUGG00000013592;0.374;0.374;0.533;0.505;0.318;0.308;0.318;0.28;0.346;0.533;0.346;0.523;0.748;0.72;0.757;0.71;0.701;0.528;0.757;0.682;0.519;0.738;0.701;0.462;0.689;1.0;0.575;0.566;0.566;0.991;0.991
transcript19_ENSRNOG00000031503;0.308;0.308;0.337;0.318;0.391;0.377;0.391;0.333;0.435;0.337;0.435;0.326;0.651;0.616;0.663;0.605;0.593;0.918;0.663;0.57;0.902;0.64;0.593;0.803;0.836;0.575;1.0;0.984;0.984;0.57;0.57
transcript21_ENSRNOG00000031503;0.312;0.312;0.326;0.307;0.397;0.382;0.397;0.338;0.42;0.326;0.42;0.315;0.659;0.624;0.671;0.612;0.6;0.933;0.671;0.576;0.917;0.647;0.6;0.817;0.822;0.566;0.984;1.0;1.0;0.561;0.561
transcript23_ENSRNOG00000031503;0.312;0.312;0.326;0.307;0.397;0.382;0.397;0.338;0.42;0.326;0.42;0.315;0.659;0.624;0.671;0.612;0.6;0.933;0.671;0.576;0.917;0.647;0.6;0.817;0.822;0.566;0.984;1.0;1.0;0.561;0.561
transcript34_ENSMUGG00000013592;0.383;0.383;0.542;0.514;0.327;0.318;0.327;0.29;0.355;0.542;0.355;0.533;0.757;0.729;0.766;0.72;0.71;0.523;0.766;0.692;0.514;0.748;0.71;0.458;0.682;0.991;0.57;0.561;0.561;1.0;1.0
transcript35_ENSMUGG00000013592;0.383;0.383;0.542;0.514;0.327;0.318;0.327;0.29;0.355;0.542;0.355;0.533;0.757;0.729;0.766;0.72;0.71;0.523;0.766;0.692;0.514;0.748;0.71;0.458;0.682;0.991;0.57;0.561;0.561;1.0;1.0
