;transcript19_ENSAPOG00000016134;transcript22_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript28_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript19_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript12_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript26_ENSAOCG00000015695;0.792;0.651;0.446;0.497;0.792;0.651;0.589;0.641;0.792;0.792;1.0;0.857;0.857;0.928;0.792;0.589;0.649;0.728;0.646;0.896;0.792;0.792;0.509;0.646
transcript27_ENSAOCG00000015695;0.659;0.763;0.514;0.587;0.659;0.763;0.452;0.504;0.659;0.659;0.857;1.0;0.715;0.785;0.659;0.452;0.511;0.704;0.512;0.746;0.659;0.659;0.616;0.512
transcript28_ENSAOCG00000015695;0.641;0.495;0.558;0.324;0.641;0.495;0.744;0.473;0.641;0.641;0.857;0.715;1.0;0.916;0.641;0.744;0.479;0.577;0.491;0.731;0.641;0.641;0.353;0.491
transcript29_ENSAOCG00000015695;0.724;0.582;0.485;0.424;0.724;0.582;0.645;0.569;0.724;0.724;0.928;0.785;0.916;1.0;0.724;0.645;0.576;0.66;0.577;0.82;0.724;0.724;0.439;0.577
transcript12_ENSPNYG00000024266;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.849;0.74;1.0;1.0;0.712;0.849
transcript14_ENSPNYG00000024266;0.796;0.657;0.82;0.504;0.796;0.657;1.0;0.645;0.796;0.796;0.589;0.452;0.744;0.645;0.796;1.0;0.658;0.733;0.669;0.548;0.796;0.796;0.531;0.669
transcript21_ENSPNYG00000024266;0.867;0.727;0.516;0.567;0.867;0.727;0.658;0.71;0.867;0.867;0.649;0.511;0.479;0.576;0.867;0.658;1.0;0.803;0.73;0.607;0.867;0.867;0.592;0.73
transcript22_ENSPNYG00000024266;0.936;0.918;0.694;0.755;0.936;0.918;0.733;0.785;0.936;0.936;0.728;0.704;0.577;0.66;0.936;0.733;0.803;1.0;0.785;0.677;0.936;0.936;0.766;0.785
transcript3_ENSXMAG00000026005;0.831;0.695;0.516;0.572;0.831;0.695;0.653;0.709;0.794;0.794;0.646;0.512;0.491;0.577;0.849;0.669;0.73;0.785;1.0;0.675;0.686;0.686;0.893;1.0
transcript10_ENSXMAG00000026005;0.792;0.651;0.446;0.497;0.792;0.651;0.589;0.641;0.736;0.736;0.896;0.746;0.731;0.82;0.74;0.548;0.607;0.677;0.675;1.0;0.677;0.677;0.565;0.675
transcript11_ENSXMAG00000026005;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.686;0.677;1.0;1.0;0.576;0.686
transcript12_ENSXMAG00000026005;1.0;0.863;0.657;0.71;1.0;0.863;0.796;0.849;1.0;1.0;0.792;0.659;0.641;0.724;1.0;0.796;0.867;0.936;0.686;0.677;1.0;1.0;0.576;0.686
transcript16_ENSXMAG00000026005;0.694;0.825;0.605;0.68;0.694;0.825;0.516;0.572;0.658;0.658;0.509;0.616;0.353;0.439;0.712;0.531;0.592;0.766;0.893;0.565;0.576;0.576;1.0;0.893
transcript17_ENSXMAG00000026005;0.831;0.695;0.516;0.572;0.831;0.695;0.653;0.709;0.794;0.794;0.646;0.512;0.491;0.577;0.849;0.669;0.73;0.785;1.0;0.675;0.686;0.686;0.893;1.0
