;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENST00000534280_90_90;0.142;0.03;0.076;0.096;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.037;0.166;0.142;0.15;0.0;0.049;0.082;0.221;0.008;0.0;0.058;0.189
ENST00000534465_90_90;0.158;0.586;0.558;0.693;0.776;0.992;0.18;0.773;0.384;0.637;0.0;1.0;0.394;0.176;0.158;0.163;0.0;0.206;0.027;0.148;0.314;0.0;0.0;0.234
ENST00000610806_90_90;0.189;0.807;0.768;0.452;0.453;0.396;0.197;0.454;0.357;0.728;0.037;0.394;1.0;0.209;0.189;0.196;0.0;0.225;0.08;0.193;0.296;0.0;0.027;0.233
ENSMUST00000045325_90_90;0.855;0.184;0.216;0.306;0.197;0.177;0.188;0.197;0.301;0.139;0.166;0.176;0.209;1.0;0.857;0.901;0.033;0.62;0.517;0.606;0.384;0.264;0.331;0.654
ENSMUST00000107843_90_90;0.996;0.168;0.197;0.272;0.174;0.158;0.161;0.174;0.259;0.127;0.142;0.158;0.189;0.857;1.0;0.951;0.076;0.685;0.586;0.519;0.329;0.305;0.409;0.561
ENSMUST00000207370_90_90;0.95;0.173;0.203;0.283;0.181;0.164;0.169;0.181;0.272;0.131;0.15;0.163;0.196;0.901;0.951;1.0;0.03;0.72;0.616;0.546;0.346;0.32;0.43;0.589
ENSMUST00000207522_90_90;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.033;0.076;0.03;1.0;0.04;0.046;0.0;0.073;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.683;0.195;0.188;0.238;0.234;0.207;0.235;0.235;0.374;0.157;0.049;0.206;0.225;0.62;0.685;0.72;0.04;1.0;0.654;0.318;0.48;0.351;0.429;0.339
ENSMUST00000208312_90_90;0.584;0.069;0.067;0.11;0.031;0.028;0.127;0.031;0.107;0.021;0.082;0.027;0.08;0.517;0.586;0.616;0.046;0.654;1.0;0.314;0.191;0.406;0.697;0.205
ENSMUST00000208778_90_90;0.519;0.165;0.183;0.283;0.171;0.149;0.308;0.172;0.312;0.111;0.221;0.148;0.193;0.606;0.519;0.546;0.0;0.318;0.314;1.0;0.358;0.061;0.16;0.715
ENSMUST00000208829_90_90;0.328;0.243;0.233;0.349;0.386;0.316;0.483;0.387;0.744;0.214;0.008;0.314;0.296;0.384;0.329;0.346;0.073;0.48;0.191;0.358;1.0;0.0;0.0;0.5
ENSMUST00000208938_90_90;0.305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.264;0.305;0.32;0.0;0.351;0.406;0.061;0.0;1.0;0.533;0.058
ENSMUST00000209056_90_90;0.409;0.023;0.022;0.052;0.0;0.0;0.0;0.0;0.0;0.0;0.058;0.0;0.027;0.331;0.409;0.43;0.0;0.429;0.697;0.16;0.0;0.533;1.0;0.065
ENSMUST00000209124_90_90;0.561;0.199;0.237;0.371;0.271;0.235;0.286;0.272;0.452;0.173;0.189;0.234;0.233;0.654;0.561;0.589;0.0;0.339;0.205;0.715;0.5;0.058;0.065;1.0
