;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENST00000558313_90_90;0.322;0.288;0.496;0.414;0.295;0.346;0.476;0.476;0.314;0.346;1.0;0.337;0.322;0.07;0.491;0.444;0.287;0.337;0.257;0.287;0.323;0.295;0.314;0.314;0.322
ENST00000559085_90_90;0.819;0.718;0.479;0.673;0.726;0.967;0.733;0.733;0.921;0.967;0.337;1.0;0.891;0.21;0.231;0.169;0.752;0.21;0.5;0.718;0.821;0.692;0.849;0.847;0.819
ENST00000559561_90_90;0.882;0.693;0.502;0.774;0.822;0.918;0.698;0.698;0.97;0.918;0.322;0.891;1.0;0.298;0.22;0.163;0.798;0.201;0.479;0.762;0.841;0.784;0.821;0.893;0.918
ENST00000560570_90_90;0.243;0.194;0.244;0.385;0.286;0.216;0.042;0.042;0.288;0.216;0.07;0.21;0.298;1.0;0.0;0.0;0.276;0.0;0.0;0.248;0.214;0.256;0.209;0.262;0.27
ENST00000560617_90_90;0.22;0.198;0.341;0.285;0.203;0.238;0.296;0.296;0.215;0.238;0.491;0.231;0.22;0.0;1.0;0.699;0.197;0.603;0.378;0.197;0.221;0.203;0.215;0.215;0.22
ENST00000560697_90_90;0.163;0.143;0.26;0.211;0.146;0.174;0.216;0.216;0.159;0.174;0.444;0.169;0.163;0.0;0.699;1.0;0.143;0.4;0.278;0.143;0.163;0.146;0.16;0.159;0.163
ENST00000561208_90_90;0.73;0.877;0.453;0.708;0.971;0.726;0.537;0.537;0.826;0.726;0.287;0.752;0.798;0.276;0.197;0.143;1.0;0.182;0.43;0.958;0.693;0.929;0.719;0.789;0.762
ENST00000606653_90_90;0.201;0.182;0.297;0.255;0.187;0.216;0.265;0.265;0.196;0.216;0.337;0.21;0.201;0.0;0.603;0.4;0.182;1.0;0.329;0.182;0.201;0.187;0.196;0.196;0.201
ENST00000607277_90_90;0.507;0.43;0.244;0.35;0.441;0.514;0.631;0.631;0.467;0.514;0.257;0.5;0.479;0.0;0.378;0.278;0.43;0.329;1.0;0.43;0.508;0.441;0.495;0.494;0.507
ENSMUST00000028639_90_90;0.762;0.912;0.479;0.67;0.929;0.692;0.537;0.537;0.789;0.692;0.287;0.718;0.762;0.248;0.197;0.143;0.958;0.182;0.43;1.0;0.724;0.971;0.75;0.826;0.798
ENSMUST00000074285_90_90;0.911;0.76;0.56;0.663;0.711;0.843;0.665;0.665;0.821;0.843;0.323;0.821;0.841;0.214;0.221;0.163;0.693;0.201;0.508;0.724;1.0;0.743;0.97;0.887;0.911
ENSMUST00000102538_90_90;0.784;0.885;0.492;0.69;0.956;0.71;0.552;0.552;0.762;0.71;0.295;0.692;0.784;0.256;0.203;0.146;0.929;0.187;0.441;0.971;0.743;1.0;0.724;0.798;0.822
ENSMUST00000110906_90_90;0.887;0.786;0.546;0.646;0.693;0.821;0.648;0.648;0.847;0.821;0.314;0.849;0.821;0.209;0.215;0.16;0.719;0.196;0.495;0.75;0.97;0.724;1.0;0.914;0.887
ENSMUST00000110907_90_90;0.93;0.75;0.516;0.716;0.762;0.819;0.647;0.647;0.921;0.819;0.314;0.847;0.893;0.262;0.215;0.159;0.789;0.196;0.494;0.826;0.887;0.798;0.914;1.0;0.97
ENSMUST00000110908_90_90;0.958;0.724;0.529;0.736;0.784;0.842;0.665;0.665;0.893;0.842;0.322;0.819;0.918;0.27;0.22;0.163;0.762;0.201;0.507;0.798;0.911;0.822;0.887;0.97;1.0
