;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENST00000508946_90_90;0.231;0.5;0.381;0.783;0.652;0.955;0.909;0.708;0.818;0.75;1.0;0.667;0.625;0.696;0.739;0.905;0.952;0.483;0.519;0.615;0.5;0.577;0.538;0.5;0.519;0.481;0.556;0.538;0.519;0.556;0.536;0.556;0.519;0.481;0.52;0.5;0.125;0.182
ENST00000509896_90_90;0.25;0.609;0.227;0.857;0.895;0.708;0.667;0.857;0.727;0.905;0.667;1.0;0.947;0.947;0.81;0.727;0.625;0.64;0.696;0.6;0.667;0.56;0.52;0.682;0.773;0.727;0.6;0.727;0.625;0.667;0.708;0.6;0.56;0.652;0.565;0.609;0.136;0.2
ENST00000511324_90_90;0.261;0.636;0.238;0.81;0.944;0.667;0.696;0.9;0.762;0.857;0.625;0.947;1.0;0.895;0.85;0.682;0.652;0.6;0.652;0.625;0.696;0.52;0.542;0.714;0.727;0.762;0.56;0.682;0.652;0.625;0.667;0.56;0.583;0.682;0.591;0.636;0.143;0.211
ENST00000512091_90_90;0.261;0.565;0.238;0.9;0.944;0.667;0.625;0.81;0.682;0.857;0.696;0.947;0.895;1.0;0.85;0.762;0.652;0.6;0.652;0.625;0.625;0.583;0.542;0.714;0.727;0.682;0.56;0.762;0.652;0.696;0.667;0.56;0.52;0.609;0.591;0.565;0.143;0.211
ENST00000514157_90_90;0.25;0.542;0.227;0.95;0.895;0.708;0.739;0.95;0.652;0.905;0.739;0.81;0.85;0.85;1.0;0.652;0.773;0.519;0.56;0.739;0.667;0.56;0.583;0.682;0.625;0.652;0.538;0.652;0.696;0.667;0.64;0.538;0.56;0.583;0.565;0.542;0.136;0.2
ENST00000514591_90_90;0.25;0.542;0.421;0.696;0.714;0.864;0.818;0.625;0.9;0.667;0.905;0.727;0.682;0.762;0.652;1.0;0.857;0.519;0.56;0.538;0.481;0.56;0.52;0.542;0.56;0.52;0.538;0.583;0.5;0.538;0.519;0.538;0.5;0.52;0.565;0.542;0.136;0.2
ENST00000514996_90_90;0.24;0.52;0.4;0.739;0.682;0.909;0.952;0.739;0.857;0.708;0.952;0.625;0.652;0.652;0.773;0.857;1.0;0.448;0.481;0.64;0.519;0.538;0.56;0.52;0.481;0.5;0.519;0.5;0.538;0.519;0.5;0.519;0.538;0.5;0.542;0.52;0.13;0.19
ENSMUST00000036068_90_90;0.32;0.6;0.154;0.556;0.56;0.517;0.483;0.556;0.519;0.593;0.483;0.64;0.6;0.6;0.519;0.519;0.448;1.0;0.826;0.483;0.654;0.68;0.64;0.667;0.75;0.708;0.72;0.708;0.615;0.654;0.692;0.72;0.68;0.783;0.696;0.739;0.273;0.174
ENSMUST00000072521_90_90;0.348;0.652;0.167;0.6;0.609;0.556;0.519;0.6;0.56;0.64;0.519;0.696;0.652;0.652;0.56;0.56;0.481;0.826;1.0;0.577;0.783;0.818;0.773;0.81;0.905;0.857;0.864;0.857;0.739;0.783;0.826;0.864;0.818;0.95;0.85;0.9;0.3;0.25
ENSMUST00000117253_90_90;0.231;0.444;0.208;0.708;0.652;0.593;0.615;0.708;0.538;0.68;0.615;0.6;0.625;0.625;0.739;0.538;0.64;0.483;0.577;1.0;0.75;0.64;0.667;0.696;0.64;0.667;0.615;0.667;0.783;0.75;0.72;0.615;0.64;0.6;0.583;0.56;0.125;0.238
ENSMUST00000117407_90_90;0.28;0.56;0.16;0.64;0.652;0.536;0.556;0.708;0.538;0.68;0.5;0.667;0.696;0.625;0.667;0.481;0.519;0.654;0.783;0.75;1.0;0.783;0.818;0.857;0.864;0.905;0.68;0.818;0.952;0.909;0.955;0.826;0.864;0.818;0.727;0.773;0.227;0.238
ENSMUST00000117985_90_90;0.348;0.583;0.167;0.6;0.542;0.556;0.519;0.538;0.5;0.577;0.577;0.56;0.52;0.583;0.56;0.56;0.538;0.68;0.818;0.64;0.783;1.0;0.95;0.727;0.739;0.696;0.783;0.773;0.818;0.864;0.826;0.952;0.905;0.773;0.85;0.81;0.3;0.25
ENSMUST00000118034_90_90;0.364;0.609;0.174;0.56;0.565;0.519;0.538;0.56;0.52;0.538;0.538;0.52;0.542;0.542;0.583;0.52;0.56;0.64;0.773;0.667;0.818;0.95;1.0;0.762;0.696;0.727;0.739;0.727;0.857;0.818;0.783;0.905;0.95;0.81;0.895;0.85;0.316;0.263
ENSMUST00000118078_90_90;0.318;0.565;0.182;0.652;0.75;0.481;0.5;0.652;0.542;0.625;0.5;0.682;0.714;0.714;0.682;0.542;0.52;0.667;0.81;0.696;0.857;0.727;0.762;1.0;0.9;0.947;0.696;0.947;0.9;0.857;0.818;0.696;0.727;0.85;0.842;0.8;0.263;0.278
ENSMUST00000118442_90_90;0.292;0.583;0.167;0.667;0.682;0.556;0.519;0.667;0.56;0.708;0.519;0.773;0.727;0.727;0.625;0.56;0.481;0.75;0.905;0.64;0.864;0.739;0.696;0.9;1.0;0.95;0.783;0.95;0.818;0.864;0.909;0.783;0.739;0.857;0.762;0.81;0.238;0.25
ENSMUST00000119385_90_90;0.304;0.609;0.174;0.625;0.714;0.519;0.538;0.696;0.583;0.667;0.481;0.727;0.762;0.682;0.652;0.52;0.5;0.708;0.857;0.667;0.905;0.696;0.727;0.947;0.95;1.0;0.739;0.9;0.857;0.818;0.864;0.739;0.773;0.9;0.8;0.85;0.25;0.263
ENSMUST00000119788_90_90;0.333;0.625;0.16;0.577;0.52;0.593;0.556;0.577;0.538;0.615;0.556;0.6;0.56;0.56;0.538;0.538;0.519;0.72;0.864;0.615;0.68;0.783;0.739;0.696;0.783;0.739;1.0;0.739;0.64;0.68;0.72;0.826;0.783;0.818;0.81;0.857;0.286;0.238
ENSMUST00000120128_90_90;0.304;0.542;0.174;0.696;0.714;0.519;0.481;0.625;0.52;0.667;0.538;0.727;0.682;0.762;0.652;0.583;0.5;0.708;0.857;0.667;0.818;0.773;0.727;0.947;0.95;0.9;0.739;1.0;0.857;0.905;0.864;0.739;0.696;0.81;0.8;0.762;0.25;0.263
ENSMUST00000120144_90_90;0.292;0.52;0.167;0.667;0.682;0.5;0.519;0.667;0.5;0.64;0.519;0.625;0.652;0.652;0.696;0.5;0.538;0.615;0.739;0.783;0.952;0.818;0.857;0.9;0.818;0.857;0.64;0.857;1.0;0.952;0.909;0.783;0.818;0.773;0.762;0.727;0.238;0.25
ENSMUST00000120292_90_90;0.28;0.5;0.16;0.708;0.652;0.536;0.5;0.64;0.481;0.68;0.556;0.667;0.625;0.696;0.667;0.538;0.519;0.654;0.783;0.75;0.909;0.864;0.818;0.857;0.864;0.818;0.68;0.905;0.952;1.0;0.955;0.826;0.783;0.739;0.727;0.696;0.227;0.238
ENSMUST00000120445_90_90;0.269;0.538;0.154;0.68;0.625;0.571;0.536;0.68;0.519;0.72;0.536;0.708;0.667;0.667;0.64;0.519;0.5;0.692;0.826;0.72;0.955;0.826;0.783;0.818;0.909;0.864;0.72;0.864;0.909;0.955;1.0;0.87;0.826;0.783;0.696;0.739;0.217;0.227
ENSMUST00000120673_90_90;0.333;0.625;0.16;0.577;0.52;0.593;0.556;0.577;0.538;0.615;0.556;0.6;0.56;0.56;0.538;0.538;0.519;0.72;0.864;0.615;0.826;0.952;0.905;0.696;0.783;0.739;0.826;0.739;0.783;0.826;0.87;1.0;0.952;0.818;0.81;0.857;0.286;0.238
ENSMUST00000121641_90_90;0.348;0.652;0.167;0.538;0.542;0.556;0.577;0.6;0.56;0.577;0.519;0.56;0.583;0.52;0.56;0.5;0.538;0.68;0.818;0.64;0.864;0.905;0.95;0.727;0.739;0.773;0.783;0.696;0.818;0.783;0.826;0.952;1.0;0.857;0.85;0.9;0.3;0.25
ENSMUST00000121707_90_90;0.364;0.682;0.174;0.56;0.636;0.519;0.538;0.625;0.583;0.6;0.481;0.652;0.682;0.609;0.583;0.52;0.5;0.783;0.95;0.6;0.818;0.773;0.81;0.85;0.857;0.9;0.818;0.81;0.773;0.739;0.783;0.818;0.857;1.0;0.895;0.947;0.316;0.263
ENSMUST00000122037_90_90;0.4;0.667;0.19;0.542;0.619;0.5;0.52;0.542;0.565;0.52;0.52;0.565;0.591;0.591;0.565;0.565;0.542;0.696;0.85;0.583;0.727;0.85;0.895;0.842;0.762;0.8;0.81;0.8;0.762;0.727;0.696;0.81;0.85;0.895;1.0;0.944;0.353;0.294
ENSMUST00000122356_90_90;0.381;0.714;0.182;0.52;0.591;0.538;0.56;0.583;0.609;0.56;0.5;0.609;0.636;0.565;0.542;0.542;0.52;0.739;0.9;0.56;0.773;0.81;0.85;0.8;0.81;0.85;0.857;0.762;0.727;0.696;0.739;0.857;0.9;0.947;0.944;1.0;0.333;0.278
ENSMUST00000124117_90_90;0.417;0.263;0.273;0.13;0.15;0.12;0.125;0.13;0.136;0.125;0.125;0.136;0.143;0.143;0.136;0.136;0.13;0.273;0.3;0.125;0.227;0.3;0.316;0.263;0.238;0.25;0.286;0.25;0.238;0.227;0.217;0.286;0.3;0.316;0.353;0.333;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.211;0.0;0.19;0.222;0.174;0.182;0.19;0.2;0.182;0.182;0.2;0.211;0.211;0.2;0.2;0.19;0.174;0.25;0.238;0.238;0.25;0.263;0.278;0.25;0.263;0.238;0.263;0.25;0.238;0.227;0.238;0.25;0.263;0.294;0.278;0.0;1.0
