;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript32_MGP-CAROLIEiJ-G0020234;0.303;0.509;0.305;0.492;0.297;0.43;0.297;0.3;0.375;0.305;0.375;0.3;0.839;0.853;0.834;0.881;1.0;0.912;0.986;0.908;0.832;0.895;1.0;0.729;0.638;0.668;0.77;0.77;0.77;0.673;0.673
transcript32_ENSRNOG00000031503;0.303;0.502;0.306;0.477;0.297;0.424;0.297;0.289;0.378;0.306;0.378;0.301;0.787;0.779;0.796;0.805;0.912;1.0;0.926;0.821;0.895;0.835;0.912;0.783;0.672;0.636;0.819;0.819;0.819;0.633;0.633
transcript32_ENSMUGG00000013592;0.309;0.521;0.31;0.501;0.304;0.441;0.304;0.296;0.382;0.31;0.382;0.305;0.851;0.843;0.845;0.871;0.986;0.926;1.0;0.895;0.846;0.909;0.986;0.734;0.646;0.677;0.782;0.782;0.782;0.681;0.681
transcript33_MGP-CAROLIEiJ-G0020234;0.33;0.525;0.242;0.388;0.323;0.485;0.323;0.325;0.297;0.242;0.297;0.243;0.761;0.775;0.756;0.8;0.908;0.821;0.895;1.0;0.913;0.985;0.908;0.651;0.575;0.606;0.695;0.695;0.695;0.611;0.611
transcript33_ENSRNOG00000031503;0.328;0.511;0.239;0.374;0.321;0.473;0.321;0.312;0.295;0.239;0.295;0.24;0.719;0.711;0.714;0.735;0.832;0.895;0.846;0.913;1.0;0.928;0.832;0.696;0.614;0.581;0.748;0.748;0.748;0.578;0.578
transcript33_ENSMUGG00000013592;0.336;0.537;0.247;0.398;0.33;0.497;0.33;0.321;0.304;0.247;0.304;0.248;0.773;0.765;0.768;0.791;0.895;0.835;0.909;0.985;0.928;1.0;0.895;0.656;0.584;0.615;0.706;0.706;0.706;0.62;0.62
transcript42_MGP-CAROLIEiJ-G0020234;0.303;0.509;0.305;0.492;0.297;0.43;0.297;0.3;0.375;0.305;0.375;0.3;0.839;0.853;0.834;0.881;1.0;0.912;0.986;0.908;0.832;0.895;1.0;0.729;0.638;0.668;0.77;0.77;0.77;0.673;0.673
transcript9_ENSRNOG00000031503;0.247;0.373;0.413;0.632;0.43;0.623;0.43;0.428;0.514;0.413;0.514;0.408;0.875;0.874;0.884;0.842;0.729;0.783;0.734;0.651;0.696;0.656;0.729;1.0;0.747;0.706;0.909;0.909;0.909;0.703;0.703
transcript18_ENSRNOG00000031503;0.314;0.519;0.64;0.961;0.358;0.491;0.358;0.352;0.49;0.64;0.49;0.636;0.785;0.755;0.849;0.729;0.638;0.672;0.646;0.575;0.614;0.584;0.638;0.747;1.0;0.952;0.842;0.821;0.821;0.948;0.948
transcript18_ENSMUGG00000013592;0.32;0.542;0.644;0.993;0.353;0.493;0.353;0.348;0.481;0.644;0.481;0.64;0.819;0.784;0.888;0.759;0.668;0.636;0.677;0.606;0.581;0.615;0.668;0.706;0.952;1.0;0.802;0.776;0.776;0.996;0.996
transcript19_ENSRNOG00000031503;0.255;0.382;0.486;0.73;0.435;0.616;0.435;0.427;0.582;0.486;0.582;0.481;0.922;0.912;0.915;0.881;0.77;0.819;0.782;0.695;0.748;0.706;0.77;0.909;0.842;0.802;1.0;1.0;1.0;0.798;0.798
transcript21_ENSRNOG00000031503;0.255;0.382;0.418;0.672;0.435;0.616;0.435;0.427;0.514;0.418;0.514;0.413;0.922;0.912;0.915;0.881;0.77;0.819;0.782;0.695;0.748;0.706;0.77;0.909;0.821;0.776;1.0;1.0;1.0;0.773;0.773
transcript23_ENSRNOG00000031503;0.255;0.382;0.418;0.672;0.435;0.616;0.435;0.427;0.514;0.418;0.514;0.413;0.922;0.912;0.915;0.881;0.77;0.819;0.782;0.695;0.748;0.706;0.77;0.909;0.821;0.776;1.0;1.0;1.0;0.773;0.773
transcript34_ENSMUGG00000013592;0.325;0.55;0.648;1.0;0.358;0.5;0.358;0.352;0.485;0.648;0.485;0.644;0.824;0.789;0.893;0.763;0.673;0.633;0.681;0.611;0.578;0.62;0.673;0.703;0.948;0.996;0.798;0.773;0.773;1.0;1.0
transcript35_ENSMUGG00000013592;0.325;0.55;0.648;1.0;0.358;0.5;0.358;0.352;0.485;0.648;0.485;0.644;0.824;0.789;0.893;0.763;0.673;0.633;0.681;0.611;0.578;0.62;0.673;0.703;0.948;0.996;0.798;0.773;0.773;1.0;1.0
