;ENSCAFT00000003676_90_90;ENST00000242066_90_90;ENST00000399357_90_90;ENST00000403527_90_90;ENST00000403685_90_90;ENST00000405192_90_90;ENST00000405218_90_90;ENST00000405358_90_90;ENST00000420159_90_90;ENST00000421381_90_90;ENST00000430479_90_90;ENST00000431887_90_90;ENST00000433547_90_90;ENST00000438956_90_90;ENST00000443137_90_90;ENST00000443608_90_90;ENSMUST00000095767_90_90;ENSMUST00000159334_90_90;ENSMUST00000160244_90_90;ENSMUST00000160701_90_90;ENSMUST00000160856_90_90;ENSMUST00000160996_90_90;ENSMUST00000161164_90_90;ENSMUST00000161513_90_90;ENSMUST00000161980_90_90;ENSMUST00000162563_90_90
ENST00000430479_90_90;0.865;0.956;0.651;0.76;0.956;0.926;1.0;0.869;0.719;0.354;1.0;0.275;0.096;0.565;0.756;0.312;0.907;0.722;0.837;0.615;0.865;0.478;0.096;0.401;0.682;0.907
ENST00000431887_90_90;0.212;0.231;0.09;0.081;0.231;0.299;0.275;0.21;0.04;0.776;0.275;1.0;0.32;0.047;0.305;0.146;0.242;0.081;0.263;0.09;0.2;0.348;0.32;0.318;0.04;0.242
ENST00000433547_90_90;0.068;0.101;0.0;0.0;0.101;0.106;0.096;0.048;0.0;0.248;0.096;0.32;1.0;0.0;0.102;0.0;0.096;0.0;0.106;0.0;0.101;0.18;1.0;0.081;0.0;0.096
ENST00000438956_90_90;0.565;0.589;0.641;0.771;0.589;0.496;0.565;0.533;0.813;0.133;0.565;0.047;0.0;1.0;0.605;0.503;0.53;0.718;0.463;0.59;0.551;0.393;0.0;0.31;0.754;0.53
ENST00000443137_90_90;0.678;0.716;0.444;0.546;0.716;0.687;0.756;0.653;0.508;0.393;0.756;0.305;0.102;0.605;1.0;0.356;0.716;0.546;0.649;0.444;0.676;0.55;0.102;0.461;0.508;0.716
ENST00000443608_90_90;0.345;0.272;0.531;0.463;0.272;0.292;0.312;0.295;0.413;0.231;0.312;0.146;0.0;0.503;0.356;1.0;0.312;0.463;0.292;0.531;0.272;0.305;0.0;0.286;0.413;0.312
ENSMUST00000095767_90_90;0.906;0.865;0.615;0.722;0.865;0.837;0.907;0.794;0.682;0.319;0.907;0.242;0.096;0.53;0.716;0.312;1.0;0.76;0.926;0.651;0.956;0.516;0.096;0.432;0.719;1.0
ENSMUST00000159334_90_90;0.8;0.682;0.816;0.943;0.682;0.655;0.722;0.686;0.894;0.154;0.722;0.081;0.0;0.718;0.546;0.463;0.76;1.0;0.692;0.869;0.719;0.307;0.0;0.293;0.95;0.76
ENSMUST00000160244_90_90;0.837;0.796;0.549;0.655;0.796;0.898;0.837;0.732;0.615;0.346;0.837;0.263;0.106;0.463;0.649;0.292;0.926;0.692;1.0;0.583;0.882;0.559;0.106;0.463;0.65;0.926
ENSMUST00000160701_90_90;0.69;0.576;0.935;0.816;0.576;0.549;0.615;0.585;0.767;0.142;0.615;0.09;0.0;0.59;0.444;0.531;0.651;0.869;0.583;1.0;0.61;0.198;0.0;0.191;0.819;0.651
ENSMUST00000160856_90_90;0.865;0.903;0.576;0.682;0.903;0.796;0.865;0.757;0.71;0.276;0.865;0.2;0.101;0.551;0.676;0.272;0.956;0.719;0.882;0.61;1.0;0.54;0.101;0.393;0.75;0.956
ENSMUST00000160996_90_90;0.444;0.5;0.198;0.307;0.5;0.516;0.478;0.399;0.32;0.48;0.478;0.348;0.18;0.393;0.55;0.305;0.516;0.307;0.559;0.198;0.54;1.0;0.18;0.658;0.32;0.516
ENSMUST00000161164_90_90;0.068;0.101;0.0;0.0;0.101;0.106;0.096;0.048;0.0;0.248;0.096;0.32;1.0;0.0;0.102;0.0;0.096;0.0;0.106;0.0;0.101;0.18;1.0;0.081;0.0;0.096
ENSMUST00000161513_90_90;0.372;0.363;0.191;0.293;0.363;0.428;0.401;0.478;0.255;0.437;0.401;0.318;0.081;0.31;0.461;0.286;0.432;0.293;0.463;0.191;0.393;0.658;0.081;1.0;0.255;0.432
ENSMUST00000161980_90_90;0.758;0.71;0.767;0.894;0.71;0.615;0.682;0.649;0.94;0.113;0.682;0.04;0.0;0.754;0.508;0.413;0.719;0.95;0.65;0.819;0.75;0.32;0.0;0.255;1.0;0.719
ENSMUST00000162563_90_90;0.906;0.865;0.615;0.722;0.865;0.837;0.907;0.794;0.682;0.319;0.907;0.242;0.096;0.53;0.716;0.312;1.0;0.76;0.926;0.651;0.956;0.516;0.096;0.432;0.719;1.0
