;transcript38_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript57_ENSMUGG00000013649;transcript58_ENSMUGG00000013649;transcript59_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00015005362;transcript9_ENSCGRG00015005362;transcript38_ENSCGRG00015005362;transcript54_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript52_ENSCGRG00000018457;transcript56_ENSCGRG00000018457;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript52_ENSCGRG00001010245;transcript8_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript39_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript58_ENSPEMG00000024651;transcript59_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript8_ENSPEMG00000024651;0.905;0.778;0.699;0.77;0.779;0.794;0.671;0.906;0.907;0.887;0.758;0.861;0.883;0.851;0.828;0.839;0.774;0.851;1.0;0.921;0.921;0.776;0.994;0.909;0.815;0.87;0.992;0.621;0.867;0.86;0.86;0.86;0.843;0.89;0.759;0.86
transcript9_ENSPEMG00000024651;0.986;0.851;0.774;0.843;0.853;0.87;0.75;0.984;0.986;0.966;0.826;0.94;0.962;0.931;0.909;0.919;0.844;0.931;0.921;1.0;1.0;0.848;0.927;0.988;0.895;0.95;0.925;0.698;0.937;0.938;0.938;0.938;0.921;0.968;0.839;0.938
transcript33_ENSPEMG00000024651;0.986;0.851;0.774;0.843;0.853;0.87;0.75;0.984;0.986;0.966;0.826;0.94;0.962;0.931;0.909;0.919;0.844;0.931;0.921;1.0;1.0;0.848;0.927;0.988;0.895;0.95;0.925;0.698;0.937;0.938;0.938;0.938;0.921;0.968;0.839;0.938
transcript37_ENSPEMG00000024651;0.881;0.985;0.903;0.978;0.958;0.976;0.851;0.853;0.855;0.834;0.985;0.801;0.823;0.792;0.769;0.78;0.985;0.793;0.776;0.848;0.848;1.0;0.772;0.835;0.74;0.795;0.77;0.574;0.826;0.891;0.891;0.891;0.874;0.811;0.927;0.891
transcript39_ENSPEMG00000024651;0.912;0.77;0.692;0.762;0.771;0.785;0.663;0.911;0.913;0.893;0.75;0.867;0.889;0.858;0.835;0.845;0.768;0.858;0.994;0.927;0.927;0.772;1.0;0.915;0.822;0.876;0.998;0.631;0.875;0.867;0.867;0.867;0.849;0.896;0.766;0.867
transcript56_ENSPEMG00000024651;0.974;0.839;0.761;0.831;0.841;0.867;0.747;0.972;0.974;0.954;0.814;0.928;0.95;0.919;0.897;0.907;0.831;0.919;0.909;0.988;0.988;0.835;0.915;1.0;0.883;0.938;0.913;0.686;0.926;0.926;0.926;0.926;0.91;0.956;0.828;0.926
transcript57_ENSPEMG00000024651;0.883;0.739;0.66;0.732;0.74;0.757;0.858;0.88;0.882;0.861;0.72;0.875;0.857;0.827;0.804;0.815;0.736;0.827;0.815;0.895;0.895;0.74;0.822;0.883;1.0;0.844;0.82;0.606;0.849;0.837;0.837;0.837;0.82;0.865;0.736;0.837
transcript58_ENSPEMG00000024651;0.929;0.798;0.72;0.79;0.798;0.815;0.694;0.933;0.935;0.915;0.774;0.889;0.911;0.986;0.858;0.974;0.791;0.986;0.87;0.95;0.95;0.795;0.876;0.938;0.844;1.0;0.875;0.655;0.897;0.889;0.889;0.889;0.872;0.919;0.79;0.889
transcript59_ENSPEMG00000024651;0.91;0.768;0.69;0.76;0.77;0.783;0.661;0.911;0.911;0.891;0.748;0.865;0.887;0.857;0.833;0.844;0.766;0.857;0.992;0.925;0.925;0.77;0.998;0.913;0.82;0.875;1.0;0.629;0.873;0.865;0.865;0.865;0.847;0.895;0.764;0.865
transcript8_ENSNGAG00000018584;0.724;0.578;0.512;0.585;0.585;0.594;0.498;0.691;0.693;0.718;0.562;0.703;0.718;0.641;0.671;0.647;0.577;0.641;0.621;0.698;0.698;0.574;0.631;0.686;0.606;0.655;0.629;1.0;0.734;0.687;0.687;0.687;0.698;0.704;0.617;0.687
transcript33_ENSNGAG00000018584;0.945;0.854;0.792;0.843;0.843;0.877;0.784;0.947;0.949;0.918;0.829;0.9;0.914;0.899;0.871;0.887;0.849;0.899;0.867;0.937;0.937;0.826;0.875;0.926;0.849;0.897;0.873;0.734;1.0;0.941;0.941;0.941;0.922;0.929;0.845;0.941
transcript8_ENSSTOG00000019743;1.0;0.913;0.843;0.905;0.889;0.936;0.826;0.969;0.971;0.947;0.893;0.916;0.935;0.905;0.883;0.893;0.912;0.907;0.86;0.938;0.938;0.891;0.867;0.926;0.837;0.889;0.865;0.687;0.941;1.0;1.0;1.0;0.982;0.927;0.899;1.0
transcript26_ENSSTOG00000019743;1.0;0.913;0.843;0.905;0.889;0.936;0.826;0.969;0.971;0.947;0.893;0.916;0.935;0.905;0.883;0.893;0.912;0.907;0.86;0.938;0.938;0.891;0.867;0.926;0.837;0.889;0.865;0.687;0.941;1.0;1.0;1.0;0.982;0.927;0.899;1.0
transcript29_ENSSTOG00000019743;1.0;0.913;0.843;0.905;0.889;0.936;0.826;0.969;0.971;0.947;0.893;0.916;0.935;0.905;0.883;0.893;0.912;0.907;0.86;0.938;0.938;0.891;0.867;0.926;0.837;0.889;0.865;0.687;0.941;1.0;1.0;1.0;0.982;0.927;0.899;1.0
transcript37_ENSSTOG00000019743;0.982;0.894;0.824;0.886;0.869;0.918;0.808;0.951;0.953;0.928;0.875;0.899;0.917;0.887;0.864;0.875;0.893;0.889;0.843;0.921;0.921;0.874;0.849;0.91;0.82;0.872;0.847;0.698;0.922;0.982;0.982;0.982;1.0;0.944;0.914;0.982
transcript38_ENSSTOG00000019743;0.982;0.838;0.768;0.83;0.841;0.859;0.748;0.98;0.982;0.956;0.814;0.933;0.952;0.921;0.897;0.909;0.831;0.921;0.89;0.968;0.968;0.811;0.896;0.956;0.865;0.919;0.895;0.704;0.929;0.927;0.927;0.927;0.944;1.0;0.857;0.927
transcript39_ENSSTOG00000019743;0.894;0.924;0.852;0.916;0.898;0.953;0.839;0.865;0.867;0.842;0.935;0.812;0.831;0.802;0.778;0.789;0.967;0.802;0.759;0.839;0.839;0.927;0.766;0.828;0.736;0.79;0.764;0.617;0.845;0.899;0.899;0.899;0.914;0.857;1.0;0.899
transcript40_ENSSTOG00000019743;1.0;0.913;0.843;0.905;0.889;0.936;0.826;0.969;0.971;0.947;0.893;0.916;0.935;0.905;0.883;0.893;0.912;0.907;0.86;0.938;0.938;0.891;0.867;0.926;0.837;0.889;0.865;0.687;0.941;1.0;1.0;1.0;0.982;0.927;0.899;1.0
