;ENSBTAT00000020514_98;ENSBTAT00000074331_98;ENSBTAT00000034148_98;ENSCAFT00000023844_98;ENSCAFT00000031802_98;ENSCAFT00000088467_98;ENSCAFT00020032516_98;ENSCAFT00020034974_98;ENSCAFT00020034975_98;ENST00000372480_98;ENST00000372481_98;ENST00000372483_98;ENST00000372486_98;ENST00000459968_98;ENST00000481189_98;ENST00000482347_98;ENST00000611055_98;ENST00000613644_98;ENST00000617943_98;ENST00000439373_98;ENSGALT00000085663_98;ENSGALT00000089974_98;ENSGALT00000105253_98;ENSMUST00000041830_98;ENSMUST00000127566_98;ENSMUST00000128303_98;ENSMUST00000129712_98;ENSMUST00000138889_98;ENSMUST00000143970_98;ENSMUST00000152374_98;ENSMUST00000159679_98;ENSMUST00000160495_98
ENST00000482347_98;0.07;0.07;0.097;0.556;0.07;0.069;0.097;0.221;0.081;0.631;0.261;0.631;0.631;0.0;0.028;1.0;0.631;0.631;1.0;0.097;0.0;0.0;0.0;0.469;0.0;0.0;0.0;0.0;0.088;0.049;0.0;0.0
ENST00000611055_98;0.427;0.427;0.402;0.661;0.427;0.417;0.402;0.439;0.374;1.0;0.629;1.0;1.0;0.153;0.328;0.631;1.0;1.0;0.631;0.402;0.325;0.325;0.56;0.625;0.049;0.0;0.0;0.0;0.269;0.23;0.316;0.0
ENST00000613644_98;0.427;0.427;0.402;0.661;0.427;0.417;0.402;0.439;0.374;1.0;0.629;1.0;1.0;0.153;0.328;0.631;1.0;1.0;0.631;0.402;0.325;0.325;0.56;0.625;0.049;0.0;0.0;0.0;0.269;0.23;0.316;0.0
ENST00000617943_98;0.07;0.07;0.097;0.556;0.07;0.069;0.097;0.221;0.081;0.631;0.261;0.631;0.631;0.0;0.028;1.0;0.631;0.631;1.0;0.097;0.0;0.0;0.0;0.469;0.0;0.0;0.0;0.0;0.088;0.049;0.0;0.0
ENST00000439373_98;0.889;0.889;0.939;0.632;0.799;0.901;0.939;0.542;0.816;0.402;0.34;0.402;0.402;0.59;0.197;0.097;0.402;0.402;0.097;1.0;0.851;0.851;0.668;0.623;0.543;0.498;0.425;0.425;0.505;0.543;0.932;0.169
ENSGALT00000085663_98;0.952;0.952;0.851;0.557;0.952;0.91;0.851;0.49;0.946;0.325;0.342;0.325;0.325;0.711;0.246;0.0;0.325;0.325;0.0;0.851;1.0;1.0;0.572;0.597;0.631;0.654;0.483;0.483;0.588;0.619;0.885;0.0
ENSGALT00000089974_98;0.952;0.952;0.851;0.557;0.952;0.91;0.851;0.49;0.946;0.325;0.342;0.325;0.325;0.711;0.246;0.0;0.325;0.325;0.0;0.851;1.0;1.0;0.572;0.597;0.631;0.654;0.483;0.483;0.588;0.619;0.885;0.0
ENSGALT00000105253_98;0.587;0.587;0.677;0.0;0.31;0.605;0.677;0.569;0.569;0.56;0.574;0.56;0.56;0.586;0.461;0.0;0.56;0.56;0.0;0.668;0.572;0.572;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.627;0.487
ENSMUST00000041830_98;0.611;0.611;0.622;0.732;0.611;0.601;0.622;0.146;0.52;0.625;0.376;0.625;0.625;0.0;0.22;0.469;0.625;0.625;0.469;0.623;0.597;0.597;0.0;1.0;0.553;0.387;0.358;0.358;0.615;0.686;0.605;0.0
ENSMUST00000127566_98;0.559;0.559;0.543;0.368;0.559;0.548;0.543;0.0;0.54;0.049;0.072;0.049;0.049;0.0;0.126;0.0;0.049;0.049;0.0;0.543;0.631;0.631;0.0;0.553;1.0;0.699;0.645;0.645;0.768;0.806;0.631;0.0
ENSMUST00000128303_98;0.495;0.495;0.498;0.28;0.495;0.485;0.498;0.0;0.477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.498;0.654;0.654;0.0;0.387;0.699;1.0;0.656;0.656;0.53;0.563;0.572;0.0
ENSMUST00000129712_98;0.42;0.42;0.425;0.258;0.42;0.413;0.425;0.0;0.402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.425;0.483;0.483;0.0;0.358;0.645;0.656;1.0;1.0;0.487;0.52;0.505;0.0
ENSMUST00000138889_98;0.42;0.42;0.425;0.258;0.42;0.413;0.425;0.0;0.402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.425;0.483;0.483;0.0;0.358;0.645;0.656;1.0;1.0;0.487;0.52;0.505;0.0
ENSMUST00000143970_98;0.613;0.613;0.504;0.501;0.613;0.6;0.504;0.0;0.613;0.269;0.403;0.269;0.269;0.0;0.494;0.088;0.269;0.269;0.088;0.505;0.588;0.588;0.0;0.615;0.768;0.53;0.487;0.487;1.0;0.878;0.591;0.0
ENSMUST00000152374_98;0.627;0.627;0.543;0.482;0.627;0.615;0.543;0.0;0.628;0.23;0.341;0.23;0.23;0.0;0.475;0.049;0.23;0.23;0.049;0.543;0.619;0.619;0.0;0.686;0.806;0.563;0.52;0.52;0.878;1.0;0.622;0.0
ENSMUST00000159679_98;0.907;0.907;0.885;0.568;0.842;0.876;0.885;0.455;0.867;0.316;0.327;0.316;0.316;0.661;0.217;0.0;0.316;0.316;0.0;0.932;0.885;0.885;0.627;0.605;0.631;0.572;0.505;0.505;0.591;0.622;1.0;0.202
ENSMUST00000160495_98;0.0;0.0;0.088;0.0;0.0;0.014;0.088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.169;0.0;0.0;0.487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.202;1.0
