;nº dataset;splicing_orthologs
12;12;"transcript59_ENSMUGG00000013649:0;transcript39_ENSPEMG00000024651:0;transcript39_ENSSTOG00000019743:0;transcript59_ENSPEMG00000024651:0;transcript37_ENSSTOG00000019743:1;transcript37_ENSMUGG00000013649:1;transcript37_ENSMUGG00000013592:1;transcript37_ENSPEMG00000024651:1;transcript37_ENSCGRG00001010245:1;transcript65_ENSCGRG00000018457:2;transcript26_ENSSTOG00000019743:3;transcript29_ENSSTOG00000019743:3;transcript54_ENSCGRG00015005362:3;transcript40_ENSSTOG00000019743:3;transcript51_ENSMUGG00000013592:4;transcript57_ENSMUGG00000013649:4;transcript57_ENSPEMG00000024651:4;transcript38_ENSCGRG00015005362:5;transcript38_ENSRNOG00000031503:5;transcript38_ENSCGRG00000018457:5;transcript38_ENSSTOG00000019743:5;transcript8_ENSCGRG00015005362:6;transcript8_ENSSTOG00000019743:6;transcript8_ENSPEMG00000024651:6;transcript8_ENSCGRG00000018457:6;transcript56_ENSCGRG00000018457:7;transcript56_ENSPEMG00000024651:7;transcript9_ENSCGRG00015005362:8;transcript9_ENSPEMG00000024651:8;transcript33_ENSPEMG00000024651:8;transcript58_ENSPEMG00000024651:9;transcript58_ENSMUGG00000013649:9;transcript52_ENSCGRG00000018457:9;transcript52_ENSCGRG00001010245:9;transcript33_ENSNGAG00000018584:10;transcript8_ENSNGAG00000018584:10"
13;13;"transcript52_MGP-CAROLIEiJ-G0020234:0;transcript52_ENSMUSG00000054036:0;transcript49_ENSRNOG00000031503:1;transcript64_ENSMUSG00000054036:1;transcript63_MGP-CAROLIEiJ-G0020234:1;transcript67_ENSMUSG00000054036:1;transcript48_MGP-PahariEiJ-G0020237:2;transcript57_ENSMUSG00000054036:2;transcript41_ENSMUGG00000013649:2;transcript8_ENSRNOG00000031503:2;transcript55_ENSRNOG00000031503:2;transcript7_MGP-PahariEiJ-G0020237:2;transcript54_ENSRNOG00000031503:2;transcript40_ENSRNOG00000031503:2;transcript62_MGP-CAROLIEiJ-G0020234:3;transcript9_MGP-CAROLIEiJ-G0020234:4;transcript9_MGP-PahariEiJ-G0020237:4;transcript53_ENSRNOG00000031503:5"
14;14;"transcript7_MGP-SPRETEiJ-G0021131:0;transcript7_ENSMUSG00000054036:0;transcript7_ENSMSIG00000000513:0;transcript71_MGP-SPRETEiJ-G0021131:1;transcript50_MGP-PahariEiJ-G0020237:2;transcript50_MGP-CAROLIEiJ-G0020234:2;transcript50_ENSMSIG00000000513:2;transcript55_ENSMSIG00000000513:3;transcript67_ENSMSIG00000000513:3;transcript64_ENSMSIG00000000513:4;transcript59_MGP-CAROLIEiJ-G0020234:5;transcript70_MGP-SPRETEiJ-G0021131:5;transcript62_MGP-SPRETEiJ-G0021131:5;transcript61_MGP-CAROLIEiJ-G0020234:5;transcript61_MGP-SPRETEiJ-G0021131:5;transcript54_ENSMUSG00000054036:5;transcript57_MGP-PahariEiJ-G0020237:5;transcript59_MGP-SPRETEiJ-G0021131:5;transcript60_ENSMSIG00000000513:6;transcript60_MGP-CAROLIEiJ-G0020234:6;transcript69_MGP-SPRETEiJ-G0021131:7;transcript72_MGP-SPRETEiJ-G0021131:8"
17;15;"transcript7_ENSAOCG00000015695:0;transcript7_ENSPNYG00000024266:1;transcript0_ENSPNYG00000024266:1;transcript0_ENSXMAG00000026005:1;transcript7_ENSXMAG00000026005:2"
18;16;"transcript16_ENSXMAG00000026005:0;transcript19_ENSAPOG00000016134:1;transcript19_ENSAOCG00000015695:1;transcript11_ENSXMAG00000026005:1;transcript19_ENSAPOG00000023408:1;transcript12_ENSPNYG00000024266:1;transcript12_ENSXMAG00000026005:1;transcript12_ENSAOCG00000015695:1;transcript22_ENSAPOG00000016134:2;transcript22_ENSAPOG00000023408:2;transcript22_ENSPNYG00000024266:2;transcript27_ENSAPOG00000016134:3;transcript27_ENSAOCG00000015695:3;transcript28_ENSAPOG00000016134:4;transcript28_ENSAOCG00000015695:4;transcript14_ENSPNYG00000024266:5;transcript32_ENSAPOG00000023408:5;transcript33_ENSAPOG00000023408:6;transcript26_ENSAOCG00000015695:7;transcript29_ENSAOCG00000015695:7;transcript21_ENSPNYG00000024266:8;transcript17_ENSXMAG00000026005:9;transcript3_ENSXMAG00000026005:9;transcript10_ENSXMAG00000026005:10"
19;17;"transcript13_ENSMUNG00000002391:0;transcript5_ENSHGLG00100003156:0;transcript5_ENSPCIG00000036398:0;transcript19_ENSHGLG00100003156:1;transcript18_ENSHGLG00100006079:2;transcript5_ENSHGLG00100006079:2;transcript17_ENSHGLG00100006079:3;transcript16_ENSHGLG00100006079:4"
20;18;"transcript9_ENSAPOG00000016134:0;transcript8_ENSAPOG00000023408:1;transcript24_ENSAPOG00000016134:2;transcript16_ENSAPOG00000016134:3;transcript16_ENSAOCG00000015695:3;transcript16_ENSAPOG00000023408:3;transcript29_ENSAPOG00000016134:4"
21;19;"transcript12_ENSMUNG00000002391:0;transcript24_ENSMUNG00000002391:0;transcript13_ENSMUNG00000002391:1;transcript1_ENSXMAG00000026005:2"
22;20;"transcript21_ENSHGLG00100003156:0;transcript8_ENSHGLG00100003156:1;transcript8_ENSHGLG00000019563:1;transcript14_ENSHGLG00100006079:2;transcript7_ENSHGLG00100006079:2;transcript27_ENSHGLG00000019563:3;transcript26_ENSHGLG00000019563:3;transcript18_ENSHGLG00100003156:4;transcript19_ENSPCIG00000036398:4;transcript13_ENSHGLG00000019563:4;transcript19_ENSHGLG00000019563:4;transcript2_ENSHGLG00100003156:5;transcript2_ENSPCIG00000036398:5;transcript23_ENSHGLG00100003156:6;transcript16_ENSHGLG00000019563:6;transcript16_ENSHGLG00100003156:6;transcript22_ENSHGLG00100003156:7;transcript28_ENSHGLG00000019563:8"
23;21;"transcript6_ENSPCIG00000036398:0;transcript7_ENSMUNG00000007775:1;transcript22_ENSMUNG00000007775:1;transcript7_ENSMUNG00000002377:1;transcript7_ENSMUNG00000002391:1;transcript19_ENSMUNG00000007775:2;transcript23_ENSMUNG00000007775:2;transcript19_ENSMUNG00000002377:2;transcript27_ENSMUNG00000002377:2;transcript28_ENSMUNG00000002377:2;transcript3_ENSPNYG00000024266:2;transcript3_ENSXMAG00000026005:2"
24;22;"transcript18_ENSAOCG00000015695:0;transcript28_ENSAOCG00000015695:1;transcript28_ENSAPOG00000023408:1;transcript21_ENSAPOG00000016134:2;transcript21_ENSPNYG00000024266:2;transcript26_ENSAOCG00000015695:3;transcript23_ENSPNYG00000024266:3;transcript27_ENSAOCG00000015695:3;transcript30_ENSAPOG00000023408:3;transcript23_ENSAPOG00000023408:3;transcript7_ENSPNYG00000024266:4;transcript7_ENSAOCG00000015695:4;transcript7_ENSXMAG00000026005:4;transcript7_ENSAPOG00000023408:4;transcript22_ENSPNYG00000024266:5;transcript9_ENSAPOG00000016134:6;transcript9_ENSXMAG00000026005:6;transcript14_ENSAPOG00000016134:7;transcript17_ENSAOCG00000015695:7;transcript14_ENSAPOG00000023408:7;transcript12_ENSPNYG00000024266:7;transcript29_ENSAPOG00000023408:8;transcript29_ENSAOCG00000015695:8;transcript31_ENSAPOG00000023408:9;transcript24_ENSPNYG00000024266:10"
25;23;"transcript9_ENSHGLG00100006079:0;transcript21_ENSHGLG00100006079:0;transcript9_ENSHGLG00000019563:1;transcript9_ENSPCIG00000036398:1;transcript29_ENSHGLG00000019563:2"
26;24;"transcript30_ENSSTOG00000019743:0;transcript1_ENSCCNG00000000226:0;transcript30_ENSCCNG00000000226:0;transcript37_ENSCPOG00000024843:0;transcript35_ENSCPOG00000024843:0;transcript29_ENSCPOG00000024843:0;transcript1_ENSSTOG00000019743:0;transcript29_ENSSTOG00000019743:0;transcript1_ENSMLUG00000027828:0;transcript9_ENSSTOG00000019743:1;transcript36_ENSCPOG00000024843:2;transcript31_ENSSTOG00000019743:3;transcript10_ENSMLUG00000027828:4;transcript16_ENSMLUG00000027828:4;transcript28_ENSMLUG00000027828:5"
27;25;"transcript8_ENSMLUG00000027828:0;transcript8_ENSMPUG00000020072:0;transcript8_ENSECAG00000007947:0;transcript8_ENSLAFG00000030854:0;transcript33_ENSECAG00000007947:0;transcript12_ENSCPOG00000024843:1;transcript13_ENSCCNG00000000226:2;transcript27_ENSCPOG00000024843:3;transcript34_ENSCPOG00000024843:3"
28;26;"transcript23_ENSMPUG00000020072:0;transcript25_ENSMPUG00000020072:0;transcript26_ENSMPUG00000020072:1;transcript27_ENSMPUG00000020072:2;transcript28_ENSMPUG00000020072:2;transcript14_ENSECAG00000007947:3;transcript30_ENSECAG00000007947:3;transcript20_ENSECAG00000007947:4"
29;27;"transcript40_ENSRNOG00000031503:0;transcript47_ENSRNOG00000031503:0;transcript32_ENSSTOG00000019743:0;transcript7_ENSSTOG00000019743:0;transcript25_ENSSTOG00000019743:0;transcript24_ENSSTOG00000019743:0;transcript47_ENSMUGG00000013649:0;transcript20_ENSMUGG00000013649:0;transcript20_ENSMUGG00000013592:0;transcript47_ENSPEMG00000024651:0;transcript19_ENSPEMG00000024651:0;transcript38_ENSPEMG00000024651:0;transcript27_ENSNGAG00000018584:0"
30;28;"transcript44_ENSCGRG00000018457:0;transcript49_ENSCGRG00015005362:0;transcript57_ENSCGRG00000018457:1;transcript58_ENSCGRG00000018457:1;transcript50_ENSCGRG00015005362:2;transcript50_ENSCGRG00000018457:2;transcript8_ENSCGRG00000018457:3;transcript45_ENSCGRG00001010245:4;transcript22_ENSSTOG00000019743:4;transcript45_ENSCGRG00000018457:4;transcript22_ENSCGRG00001010245:4;transcript59_ENSCGRG00000018457:5;transcript60_ENSCGRG00000018457:6;transcript22_ENSNGAG00000018584:7"
31;29;"transcript52_ENSMUGG00000013592:0;transcript42_ENSMUGG00000013649:0;transcript28_ENSMUGG00000013649:0;transcript42_ENSMUGG00000013592:0;transcript55_ENSCGRG00015005362:0;transcript54_ENSCGRG00015005362:0;transcript52_ENSCGRG00015005362:1;transcript7_ENSPEMG00000024651:2;transcript7_ENSMUGG00000013649:2;transcript7_ENSMUGG00000013592:2;transcript7_ENSCGRG00000018457:2;transcript7_MGP-CAROLIEiJ-G0020234:2;transcript7_ENSCGRG00015005362:2;transcript58_MGP-CAROLIEiJ-G0020234:3;transcript57_MGP-CAROLIEiJ-G0020234:4;transcript59_MGP-CAROLIEiJ-G0020234:4;transcript53_ENSCGRG00015005362:5"
32;30;"transcript39_ENSRNOG00000031503:0;transcript7_ENSMSIG00000000513:1;transcript58_ENSMSIG00000000513:2;transcript58_ENSMUSG00000054036:2;transcript39_MGP-PahariEiJ-G0020237:3;transcript55_ENSMUSG00000054036:3;transcript32_ENSMUGG00000013592:3;transcript32_ENSMUGG00000013649:3;transcript31_ENSRNOG00000031503:3;transcript54_ENSMUSG00000054036:3;transcript47_MGP-CAROLIEiJ-G0020234:3;transcript8_MGP-CAROLIEiJ-G0020234:3;transcript32_ENSRNOG00000031503:3;transcript38_ENSMUSG00000054036:4;transcript38_ENSMSIG00000000513:4;transcript38_MGP-SPRETEiJ-G0021131:4;transcript50_ENSRNOG00000031503:5;transcript12_ENSMUGG00000013649:5;transcript50_ENSMUGG00000013649:5;transcript52_ENSMSIG00000000513:6;transcript52_MGP-SPRETEiJ-G0021131:6;transcript63_MGP-SPRETEiJ-G0021131:7;transcript8_ENSRNOG00000031503:8"
33;31;"transcript1_ENSLAFG00000030854:0;transcript1_ENSMPUG00000020072:0;transcript1_ENSMLUG00000027828:0;transcript10_ENSMLUG00000027828:0;transcript1_ENSCCNG00000000226:0;transcript7_ENSCCNG00000000226:0;transcript15_ENSCCNG00000000226:1"
34;32;"transcript2_ENSMLUG00000027828:0;transcript8_ENSPEMG00000024651:0;transcript2_ENSSTOG00000019743:0;transcript15_ENSSTOG00000019743:0;transcript29_ENSMUGG00000013592:0;transcript8_ENSNGAG00000018584:1;transcript9_ENSNGAG00000018584:2;transcript18_ENSNGAG00000018584:3;transcript7_ENSNGAG00000018584:4;transcript10_ENSNGAG00000018584:5;transcript19_ENSNGAG00000018584:5;transcript17_ENSMUGG00000013649:6;transcript17_ENSMUGG00000013592:6"
35;33;"transcript8_ENSMPUG00000020072:0;transcript8_ENSECAG00000007947:1;transcript13_ENSMPUG00000020072:2;transcript6_ENSMPUG00000020072:2;transcript10_ENSMPUG00000020072:3;transcript6_ENSECAG00000007947:4;transcript17_ENSECAG00000007947:4;transcript4_ENSECAG00000007947:5;transcript21_ENSECAG00000007947:6;transcript7_ENSECAG00000007947:6;transcript18_ENSECAG00000007947:7;transcript14_ENSECAG00000007947:7;transcript19_ENSECAG00000007947:7;transcript15_ENSECAG00000007947:8;transcript16_ENSECAG00000007947:8;transcript20_ENSECAG00000007947:9"
36;34;"transcript15_ENSPEMG00000024651:0;transcript24_ENSPEMG00000024651:0;transcript29_ENSCGRG00001010245:1;transcript32_ENSCGRG00015005362:1;transcript22_ENSPEMG00000024651:1;transcript12_ENSSTOG00000019743:1;transcript26_ENSCGRG00000018457:1;transcript22_ENSCGRG00000018457:1;transcript31_ENSPEMG00000024651:1;transcript14_ENSSTOG00000019743:1;transcript5_ENSSTOG00000019743:1;transcript26_ENSCGRG00001010245:1;transcript43_ENSCGRG00000018457:2;transcript36_MGP-PahariEiJ-G0020237:3;transcript8_MGP-PahariEiJ-G0020237:3;transcript37_ENSCGRG00001010245:3;transcript8_ENSRNOG00000031503:3;transcript37_MGP-PahariEiJ-G0020237:3;transcript38_MGP-PahariEiJ-G0020237:4;transcript38_ENSCGRG00001010245:4;transcript7_ENSCGRG00001010245:5;transcript33_ENSCGRG00015005362:5;transcript42_ENSCGRG00000018457:6;transcript13_ENSSTOG00000019743:7;transcript17_ENSNGAG00000018584:8;transcript20_ENSNGAG00000018584:8;transcript5_ENSNGAG00000018584:9"
37;35;"transcript9_ENSMPUG00000020072:0;transcript12_ENSMPUG00000020072:0;transcript11_ENSMPUG00000020072:1"
38;36;"transcript7_ENSMSIG00000000513:0;transcript7_ENSMUSG00000054036:0;transcript41_ENSMSIG00000000513:1;transcript43_MGP-CAROLIEiJ-G0020234:1;transcript43_ENSMSIG00000000513:1;transcript41_MGP-SPRETEiJ-G0021131:1;transcript26_MGP-PahariEiJ-G0020237:2;transcript47_ENSMSIG00000000513:2;transcript26_ENSMSIG00000000513:2;transcript33_ENSRNOG00000031503:3;transcript32_ENSRNOG00000031503:3;transcript49_ENSMSIG00000000513:4;transcript48_ENSMSIG00000000513:5;transcript46_ENSMSIG00000000513:5;transcript22_MGP-SPRETEiJ-G0021131:6;transcript8_MGP-CAROLIEiJ-G0020234:6;transcript22_MGP-CAROLIEiJ-G0020234:6;transcript33_ENSMUGG00000013592:6;transcript32_ENSMUGG00000013592:6;transcript33_MGP-CAROLIEiJ-G0020234:6;transcript32_MGP-CAROLIEiJ-G0020234:6;transcript36_ENSMUSG00000054036:6;transcript42_MGP-CAROLIEiJ-G0020234:6;transcript35_ENSMUGG00000013592:7;transcript34_ENSMUGG00000013592:7;transcript18_ENSMUGG00000013592:8;transcript18_ENSRNOG00000031503:8;transcript23_ENSRNOG00000031503:9;transcript21_ENSRNOG00000031503:9;transcript19_ENSRNOG00000031503:10;transcript9_ENSRNOG00000031503:11"
39;37;"transcript2_ENSLAFG00000030854:0;transcript22_ENSPEMG00000024651:0;transcript22_ENSSTOG00000019743:0;transcript27_ENSSTOG00000019743:0;transcript2_ENSSTOG00000019743:0;transcript22_ENSNGAG00000018584:1;transcript2_ENSNGAG00000018584:1"
40;38;"transcript17_ENSECAG00000007947:0;transcript10_ENSECAG00000007947:0;transcript26_ENSCCNG00000000226:0;transcript12_ENSECAG00000007947:0;transcript17_ENSCPOG00000024843:0;transcript13_ENSMLUG00000027828:0;transcript26_ENSSTOG00000019743:0;transcript33_ENSCPOG00000024843:0;transcript23_ENSMPUG00000020072:0;transcript10_ENSMPUG00000020072:0;transcript17_ENSMPUG00000020072:0;transcript14_ENSMLUG00000027828:0;transcript17_ENSSTOG00000019743:0;transcript20_ENSMPUG00000020072:0;transcript32_ENSCPOG00000024843:1;transcript22_ENSMLUG00000027828:1;transcript22_ENSMPUG00000020072:1;transcript9_ENSSTOG00000019743:2;transcript9_ENSCCNG00000000226:2;transcript9_ENSCPOG00000024843:2;transcript9_ENSMLUG00000027828:2;transcript7_ENSCPOG00000024843:3;transcript7_ENSSTOG00000019743:3;transcript7_ENSMPUG00000020072:3;transcript7_ENSCCNG00000000226:3;transcript24_ENSCCNG00000000226:4;transcript24_ENSCPOG00000024843:4;transcript24_ENSMPUG00000020072:4;transcript18_ENSCPOG00000024843:5;transcript18_ENSCCNG00000000226:5;transcript25_ENSMPUG00000020072:6"
41;39;"transcript24_ENSCGRG00015005362:0;transcript24_ENSCGRG00000018457:0;transcript7_ENSCGRG00001010245:0;transcript32_ENSCGRG00001010245:0;transcript24_ENSPEMG00000024651:0;transcript32_ENSPEMG00000024651:0"
42;40;"transcript47_MGP-SPRETEiJ-G0021131:0;transcript47_ENSMUSG00000054036:0;transcript47_ENSMUGG00000013649:0;transcript55_ENSMUSG00000054036:1;transcript8_ENSRNOG00000031503:2;transcript42_ENSRNOG00000031503:2;transcript54_ENSMUGG00000013592:3;transcript44_ENSMUGG00000013649:4;transcript28_ENSMUGG00000013592:4;transcript53_ENSMUGG00000013592:4;transcript25_ENSPEMG00000024651:4;transcript48_ENSMUGG00000013649:5;transcript8_ENSMSIG00000000513:6;transcript8_ENSMUSG00000054036:6;transcript54_ENSMUSG00000054036:7;transcript42_ENSMUSG00000054036:7;transcript52_ENSMUGG00000013592:8;transcript7_ENSMUGG00000013592:8;transcript7_ENSMUGG00000013649:8"
43;41;"transcript27_ENSRNOG00000031503:0;transcript40_ENSMUGG00000013649:0;transcript34_ENSRNOG00000031503:0;transcript39_ENSMUGG00000013592:0;transcript27_ENSMUGG00000013649:0;transcript37_ENSMUGG00000013649:1;transcript45_ENSMUGG00000013649:2;transcript38_ENSMUGG00000013649:2;transcript33_ENSMUSG00000054036:2;transcript33_MGP-PahariEiJ-G0020237:2;transcript49_ENSMUGG00000013649:3;transcript46_ENSMUGG00000013649:4"
44;42;"transcript7_ENSCGRG00015005362:0;transcript7_ENSCGRG00000018457:1;transcript42_ENSCGRG00015005362:2;transcript43_ENSCGRG00015005362:2;transcript46_ENSCGRG00000018457:3;transcript33_ENSCGRG00000018457:3;transcript33_ENSCGRG00001010245:3;transcript40_ENSCGRG00001010245:3;transcript33_ENSCGRG00015005362:3;transcript47_ENSCGRG00000018457:4;transcript41_ENSCGRG00015005362:5"
45;43;"transcript27_ENSSTOG00000019743:0;transcript21_ENSCPOG00000024843:0;transcript35_ENSCCNG00000000226:1;transcript26_ENSNGAG00000018584:2;transcript33_ENSNGAG00000018584:2;transcript34_ENSNGAG00000018584:3;transcript35_ENSNGAG00000018584:4;transcript22_ENSCCNG00000000226:5"
46;44;"transcript28_ENSMPUG00000020072:0;transcript25_ENSMPUG00000020072:0;transcript27_ENSMLUG00000027828:1;transcript16_ENSMLUG00000027828:2;transcript26_ENSMLUG00000027828:2;transcript15_ENSMLUG00000027828:3;transcript12_ENSMLUG00000027828:3;transcript7_ENSMPUG00000020072:4;transcript7_ENSMLUG00000027828:4;transcript7_ENSSTOG00000019743:4;transcript7_ENSCCNG00000000226:4;transcript23_ENSECAG00000007947:5;transcript12_ENSECAG00000007947:5;transcript31_ENSECAG00000007947:5;transcript33_ENSECAG00000007947:6;transcript32_ENSECAG00000007947:7;transcript25_ENSMLUG00000027828:8"
47;45;"transcript32_ENSCPOG00000024843:0;transcript29_ENSCCNG00000000226:1;transcript36_ENSCCNG00000000226:2;transcript30_ENSCCNG00000000226:2;transcript37_ENSCCNG00000000226:3;transcript8_ENSCPOG00000024843:4;transcript30_ENSCPOG00000024843:4"
48;46;"transcript42_ENSMUGG00000013649:0;transcript31_ENSCGRG00001010245:0;transcript43_ENSPEMG00000024651:0;transcript31_ENSPEMG00000024651:0;transcript37_ENSCGRG00000018457:1;transcript37_ENSCGRG00001010245:1;transcript49_ENSCGRG00001010245:2;transcript51_ENSCGRG00001010245:3;transcript50_ENSCGRG00001010245:4;transcript42_ENSPEMG00000024651:5;transcript7_ENSPEMG00000024651:6"
49;47;"transcript36_ENSRNOG00000031503:0;transcript7_MGP-PahariEiJ-G0020237:1;transcript37_MGP-PahariEiJ-G0020237:2;transcript39_MGP-PahariEiJ-G0020237:3;transcript49_MGP-PahariEiJ-G0020237:3;transcript9_MGP-PahariEiJ-G0020237:4;transcript50_MGP-PahariEiJ-G0020237:5;transcript52_MGP-PahariEiJ-G0020237:6;transcript51_MGP-PahariEiJ-G0020237:6;transcript37_ENSRNOG00000031503:7;transcript44_ENSRNOG00000031503:7"
50;48;"transcript8_ENSMSIG00000000513:0;transcript49_ENSMSIG00000000513:1;transcript49_MGP-SPRETEiJ-G0021131:1;transcript65_MGP-SPRETEiJ-G0021131:2;transcript47_MGP-CAROLIEiJ-G0020234:2;transcript38_MGP-CAROLIEiJ-G0020234:2;transcript7_ENSMUSG00000054036:2;transcript46_ENSMUSG00000054036:2;transcript60_ENSMSIG00000000513:2;transcript38_MGP-PahariEiJ-G0020237:2;transcript40_MGP-SPRETEiJ-G0021131:2;transcript62_ENSMSIG00000000513:3;transcript61_ENSMSIG00000000513:3;transcript66_MGP-SPRETEiJ-G0021131:4"
