;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript7_MGP-SPRETEiJ-G0021131;transcript71_MGP-SPRETEiJ-G0021131;transcript50_MGP-PahariEiJ-G0020237;transcript55_ENSMSIG00000000513;transcript64_ENSMSIG00000000513;transcript67_ENSMSIG00000000513;transcript54_ENSMUSG00000054036;transcript60_ENSMSIG00000000513;transcript60_MGP-CAROLIEiJ-G0020234;transcript59_MGP-SPRETEiJ-G0021131;transcript59_MGP-CAROLIEiJ-G0020234;transcript61_MGP-SPRETEiJ-G0021131;transcript61_MGP-CAROLIEiJ-G0020234;transcript50_ENSMSIG00000000513;transcript50_MGP-CAROLIEiJ-G0020234;transcript62_MGP-SPRETEiJ-G0021131;transcript69_MGP-SPRETEiJ-G0021131;transcript72_MGP-SPRETEiJ-G0021131;transcript57_MGP-PahariEiJ-G0020237;transcript70_MGP-SPRETEiJ-G0021131
transcript60_MGP-CAROLIEiJ-G0020234;0.806;0.818;0.869;0.632;0.791;0.807;0.87;0.776;0.693;1.0;1.0;0.718;0.674;0.705;0.663;0.788;0.791;0.644;0.621;0.621;0.636;0.632
transcript59_MGP-SPRETEiJ-G0021131;0.88;0.653;0.65;0.865;0.654;0.831;0.783;0.819;0.937;0.942;0.718;1.0;1.0;0.99;0.987;0.873;0.678;0.858;0.841;0.841;0.874;0.85
transcript59_MGP-CAROLIEiJ-G0020234;0.924;0.713;0.7;0.885;0.607;0.771;0.762;0.741;0.886;0.871;0.674;1.0;1.0;0.987;0.988;0.753;0.607;0.897;0.874;0.874;0.804;0.885
transcript61_MGP-SPRETEiJ-G0021131;0.867;0.642;0.641;0.856;0.645;0.819;0.771;0.807;0.926;0.928;0.705;0.99;0.987;1.0;1.0;0.861;0.667;0.85;0.832;0.832;0.865;0.841
transcript61_MGP-CAROLIEiJ-G0020234;0.909;0.7;0.688;0.874;0.598;0.759;0.75;0.729;0.875;0.857;0.663;0.987;0.988;1.0;1.0;0.741;0.598;0.885;0.862;0.862;0.794;0.874
transcript50_ENSMSIG00000000513;0.718;0.8;0.819;0.963;1.0;0.942;0.874;0.951;0.953;0.798;0.788;0.873;0.753;0.861;0.741;1.0;1.0;0.952;0.928;0.928;0.961;0.94
transcript50_MGP-CAROLIEiJ-G0020234;0.741;0.817;0.853;0.77;1.0;0.976;0.906;0.988;0.795;0.788;0.791;0.678;0.607;0.667;0.598;1.0;1.0;0.782;0.759;0.759;0.804;0.77
transcript62_MGP-SPRETEiJ-G0021131;0.867;0.716;0.646;0.973;0.721;1.0;0.952;0.988;1.0;0.783;0.644;0.858;0.897;0.85;0.885;0.952;0.782;1.0;0.982;0.982;1.0;0.991
transcript69_MGP-SPRETEiJ-G0021131;0.843;0.695;0.628;0.956;0.703;0.976;0.928;0.988;0.979;0.759;0.621;0.841;0.874;0.832;0.862;0.928;0.759;0.982;1.0;0.965;0.982;0.973
transcript72_MGP-SPRETEiJ-G0021131;0.866;0.713;0.643;0.956;0.703;0.976;0.928;0.964;0.979;0.759;0.621;0.841;0.874;0.832;0.862;0.928;0.759;0.982;0.965;1.0;0.982;0.973
transcript57_MGP-PahariEiJ-G0020237;0.757;0.661;0.658;0.973;0.741;0.981;0.913;0.99;1.0;0.767;0.636;0.874;0.804;0.865;0.794;0.961;0.804;1.0;0.982;0.982;1.0;0.991
transcript70_MGP-SPRETEiJ-G0021131;0.855;0.705;0.637;0.965;0.712;0.988;0.94;0.976;0.989;0.771;0.632;0.85;0.885;0.841;0.874;0.94;0.77;0.991;0.973;0.973;0.991;1.0
