;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript23_ENSAPOG00000023408;0.514;1.0;0.741;0.741;0.775;0.441;0.372;0.372;0.35;0.779;1.0;0.698;0.83;0.739;0.878;0.878;0.968;0.824;0.739;0.744;0.728;0.728;0.75;0.725;0.749
transcript23_ENSPNYG00000024266;0.426;1.0;0.795;0.795;0.538;0.449;0.351;0.351;0.328;0.779;0.698;1.0;0.697;0.8;0.632;0.632;0.7;0.631;0.787;0.795;0.868;0.868;0.792;0.812;0.792
transcript28_ENSAPOG00000023408;0.444;1.0;0.87;0.867;0.693;0.466;0.309;0.31;0.286;0.779;0.83;0.697;1.0;0.786;0.771;0.774;0.856;0.725;0.869;0.874;0.775;0.775;0.881;0.857;0.844
transcript28_ENSAOCG00000015695;0.435;1.0;0.825;0.825;0.586;0.406;0.335;0.332;0.317;0.779;0.739;0.8;0.786;1.0;0.688;0.682;0.748;0.643;0.829;0.799;0.923;0.923;0.828;0.803;0.813
transcript29_ENSAPOG00000023408;0.571;0.977;0.688;0.688;0.715;0.427;0.4;0.4;0.36;0.756;0.878;0.632;0.771;0.688;1.0;1.0;0.898;0.875;0.686;0.691;0.672;0.672;0.697;0.672;0.688
transcript29_ENSAOCG00000015695;0.571;0.977;0.691;0.691;0.715;0.427;0.4;0.4;0.36;0.756;0.878;0.632;0.774;0.682;1.0;1.0;0.898;0.875;0.686;0.675;0.672;0.672;0.697;0.672;0.688
transcript30_ENSAPOG00000023408;0.516;1.0;0.749;0.749;0.805;0.463;0.36;0.36;0.332;0.779;0.968;0.7;0.856;0.748;0.898;0.898;1.0;0.845;0.747;0.752;0.737;0.737;0.758;0.734;0.736
transcript31_ENSAPOG00000023408;0.606;0.977;0.648;0.648;0.652;0.463;0.425;0.425;0.383;0.756;0.824;0.631;0.725;0.643;0.875;0.875;0.845;1.0;0.645;0.65;0.629;0.629;0.656;0.631;0.632
transcript17_ENSAOCG00000015695;0.393;1.0;0.988;0.988;0.6;0.547;0.28;0.28;0.264;0.779;0.739;0.787;0.869;0.829;0.686;0.686;0.747;0.645;1.0;0.964;0.897;0.897;0.992;0.967;0.955
transcript18_ENSAOCG00000015695;0.394;1.0;1.0;1.0;0.606;0.549;0.276;0.27;0.262;0.779;0.744;0.795;0.874;0.799;0.691;0.675;0.752;0.65;0.964;1.0;0.865;0.865;1.0;0.975;0.963
transcript26_ENSAOCG00000015695;0.406;1.0;0.886;0.886;0.582;0.463;0.312;0.312;0.295;0.779;0.728;0.868;0.775;0.923;0.672;0.672;0.737;0.629;0.897;0.865;1.0;1.0;0.889;0.865;0.876
transcript27_ENSAOCG00000015695;0.406;1.0;0.886;0.886;0.582;0.463;0.312;0.312;0.295;0.779;0.728;0.868;0.775;0.923;0.672;0.672;0.737;0.629;0.897;0.865;1.0;1.0;0.889;0.865;0.876
transcript12_ENSPNYG00000024266;0.398;1.0;1.0;1.0;0.611;0.549;0.279;0.279;0.262;0.779;0.75;0.792;0.881;0.828;0.697;0.697;0.758;0.656;0.992;1.0;0.889;0.889;1.0;0.975;0.963
transcript22_ENSPNYG00000024266;0.39;1.0;0.975;0.975;0.586;0.525;0.286;0.286;0.269;0.779;0.725;0.812;0.857;0.803;0.672;0.672;0.734;0.631;0.967;0.975;0.865;0.865;0.975;1.0;0.939
transcript24_ENSPNYG00000024266;0.401;1.0;0.963;0.963;0.587;0.544;0.289;0.289;0.272;0.779;0.749;0.792;0.844;0.813;0.688;0.688;0.736;0.632;0.955;0.963;0.876;0.876;0.963;0.939;1.0
