;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript8_ENSPCIG00000036398;0.96;0.96;0.96;0.96;0.96;0.527;0.96;0.52;0.527;0.947;0.961;0.961;0.631;1.0;1.0;0.649;1.0;0.625;0.619;0.625;0.637;0.639;0.643;0.626;0.626
transcript15_ENSPCIG00000036398;0.75;0.75;0.75;0.7;0.7;0.199;0.7;0.165;0.199;0.691;0.782;0.782;0.969;0.649;0.649;1.0;0.649;0.958;0.955;0.946;0.913;0.909;0.976;0.958;0.958
transcript18_ENSPCIG00000036398;0.96;0.96;0.96;0.96;0.96;0.527;0.96;0.52;0.527;0.947;0.961;0.961;0.631;1.0;1.0;0.649;1.0;0.625;0.619;0.625;0.637;0.639;0.643;0.626;0.626
transcript3_ENSMUNG00000007775;0.781;0.781;0.781;0.727;0.727;0.188;0.727;0.157;0.188;0.72;0.808;0.808;0.988;0.625;0.625;0.958;0.625;1.0;0.997;0.992;0.963;0.96;0.942;1.0;1.0
transcript8_ENSMUNG00000002377;0.776;0.776;0.776;0.723;0.723;0.189;0.723;0.158;0.189;0.716;0.804;0.804;0.986;0.619;0.619;0.955;0.619;0.997;1.0;0.994;0.966;0.962;0.945;0.997;0.997
transcript15_ENSMUNG00000002377;0.776;0.776;0.776;0.723;0.723;0.189;0.723;0.158;0.189;0.716;0.807;0.807;0.978;0.625;0.625;0.946;0.625;0.992;0.994;1.0;0.972;0.968;0.951;0.992;0.992
transcript16_ENSMUNG00000002377;0.776;0.776;0.776;0.74;0.74;0.205;0.74;0.173;0.205;0.734;0.807;0.807;0.946;0.637;0.637;0.913;0.637;0.963;0.966;0.972;1.0;0.94;0.922;0.963;0.963
transcript22_ENSMUNG00000002377;0.776;0.776;0.776;0.723;0.723;0.189;0.723;0.158;0.189;0.716;0.807;0.807;0.943;0.639;0.639;0.909;0.639;0.96;0.962;0.968;0.94;1.0;0.918;0.96;0.96
transcript23_ENSMUNG00000002377;0.776;0.776;0.776;0.723;0.723;0.189;0.723;0.158;0.189;0.716;0.807;0.807;0.924;0.643;0.643;0.976;0.643;0.942;0.945;0.951;0.922;0.918;1.0;0.942;0.942
transcript3_ENSMUNG00000002391;0.781;0.781;0.781;0.727;0.727;0.188;0.727;0.157;0.188;0.721;0.809;0.809;0.988;0.626;0.626;0.958;0.626;1.0;0.997;0.992;0.963;0.96;0.942;1.0;1.0
transcript10_ENSMUNG00000002391;0.781;0.781;0.781;0.727;0.727;0.188;0.727;0.157;0.188;0.721;0.809;0.809;0.988;0.626;0.626;0.958;0.626;1.0;0.997;0.992;0.963;0.96;0.942;1.0;1.0
