;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript52_ENSMSIG00000000513;transcript52_MGP-SPRETEiJ-G0021131;transcript58_ENSMSIG00000000513;transcript58_ENSMUSG00000054036;transcript63_MGP-SPRETEiJ-G0021131;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript8_ENSRNOG00000031503;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript39_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013649;transcript32_ENSMUGG00000013592;transcript50_ENSRNOG00000031503;transcript50_ENSMUGG00000013649;transcript12_ENSMUGG00000013649
transcript47_MGP-CAROLIEiJ-G0020234;0.845;0.598;0.553;0.573;0.406;0.4;0.605;0.608;0.777;0.911;0.845;0.789;0.737;1.0;0.736;0.718;0.72;0.72;0.723;0.731;0.708;0.686;0.705
transcript39_MGP-PahariEiJ-G0020237;0.626;0.441;0.458;0.465;0.301;0.329;0.479;0.525;0.642;0.804;0.94;0.691;0.631;0.736;1.0;0.952;0.954;0.954;1.0;1.0;0.952;0.962;0.982
transcript39_ENSRNOG00000031503;0.612;0.428;0.439;0.448;0.293;0.315;0.467;0.507;0.617;0.775;0.912;0.676;0.67;0.718;0.952;1.0;0.979;0.979;0.934;0.934;0.979;0.897;0.916
transcript31_ENSRNOG00000031503;0.608;0.425;0.442;0.451;0.292;0.317;0.463;0.508;0.62;0.777;0.914;0.676;0.654;0.72;0.954;0.979;1.0;1.0;0.953;0.953;1.0;0.916;0.936
transcript32_ENSRNOG00000031503;0.608;0.425;0.442;0.451;0.292;0.317;0.463;0.508;0.62;0.777;0.914;0.676;0.654;0.72;0.954;0.979;1.0;1.0;0.953;0.953;1.0;0.916;0.936
transcript32_ENSMUGG00000013649;0.608;0.438;0.458;0.463;0.297;0.328;0.474;0.521;0.647;0.799;0.932;0.689;0.62;0.723;1.0;0.934;0.953;0.953;1.0;0.995;0.952;0.964;0.983
transcript32_ENSMUGG00000013592;0.616;0.435;0.455;0.461;0.295;0.325;0.471;0.52;0.643;0.799;0.932;0.685;0.62;0.731;1.0;0.934;0.953;0.953;0.995;1.0;0.952;0.959;0.978
transcript50_ENSRNOG00000031503;0.624;0.447;0.463;0.476;0.307;0.334;0.473;0.522;0.647;0.79;0.91;0.708;0.654;0.708;0.952;0.979;1.0;1.0;0.952;0.952;1.0;0.949;0.952
transcript50_ENSMUGG00000013649;0.62;0.459;0.48;0.487;0.311;0.344;0.483;0.533;0.678;0.799;0.888;0.715;0.618;0.686;0.962;0.897;0.916;0.916;0.964;0.959;0.949;1.0;0.98
transcript12_ENSMUGG00000013649;0.606;0.447;0.469;0.474;0.304;0.336;0.47;0.518;0.663;0.78;0.911;0.703;0.62;0.705;0.982;0.916;0.936;0.936;0.983;0.978;0.952;0.98;1.0
