;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENST00000612035_90_90;0.639;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.643;0.632;0.011;0.649;0.604;0.222
ENST00000612116_90_90;0.639;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.643;0.632;0.011;0.649;0.604;0.222
ENST00000614600_90_90;0.639;0.149;0.239;0.223;0.118;0.069;0.069;0.069;0.196;0.712;1.0;1.0;1.0;0.672;0.979;0.712;0.07;0.944;0.697;0.069;0.643;0.632;0.011;0.649;0.604;0.222
ENST00000616681_90_90;0.877;0.113;0.177;0.119;0.088;0.051;0.051;0.051;0.1;0.96;0.672;0.672;0.672;1.0;0.657;0.96;0.052;0.7;0.945;0.051;0.573;0.564;0.008;0.563;0.592;0.122
ENST00000616784_90_90;0.625;0.151;0.244;0.228;0.121;0.07;0.07;0.07;0.2;0.697;0.979;0.979;0.979;0.657;1.0;0.697;0.072;0.923;0.708;0.07;0.629;0.618;0.011;0.634;0.59;0.227
ENST00000618940_90_90;0.915;0.109;0.17;0.159;0.084;0.049;0.049;0.049;0.14;1.0;0.712;0.712;0.712;0.96;0.697;1.0;0.05;0.672;0.985;0.049;0.606;0.596;0.008;0.595;0.573;0.161
ENST00000620039_90_90;0.009;0.0;0.0;0.313;0.586;0.741;0.741;0.741;0.356;0.05;0.07;0.07;0.07;0.052;0.072;0.05;1.0;0.074;0.051;0.741;0.009;0.009;0.107;0.009;0.009;0.038
ENST00000621668_90_90;0.601;0.157;0.253;0.167;0.125;0.073;0.073;0.073;0.14;0.672;0.944;0.944;0.944;0.7;0.923;0.672;0.074;1.0;0.657;0.073;0.604;0.594;0.011;0.61;0.629;0.169
ENST00000621914_90_90;0.901;0.11;0.173;0.161;0.085;0.05;0.05;0.05;0.142;0.985;0.697;0.697;0.697;0.945;0.708;0.985;0.051;0.657;1.0;0.05;0.594;0.585;0.008;0.583;0.562;0.163
ENST00000628168_90_90;0.022;0.0;0.0;0.287;0.5;1.0;1.0;1.0;0.322;0.049;0.069;0.069;0.069;0.051;0.07;0.049;0.741;0.073;0.05;1.0;0.022;0.022;0.253;0.022;0.023;0.09
ENSMUST00000018875_90_90;0.662;0.189;0.17;0.112;0.04;0.022;0.022;0.022;0.094;0.606;0.643;0.643;0.643;0.573;0.629;0.606;0.009;0.604;0.594;0.022;1.0;0.985;0.047;0.96;0.96;0.21
ENSMUST00000065692_90_90;0.652;0.177;0.173;0.114;0.041;0.022;0.022;0.022;0.095;0.596;0.632;0.632;0.632;0.564;0.618;0.596;0.009;0.594;0.585;0.022;0.985;1.0;0.047;0.945;0.945;0.213
ENSMUST00000142680_90_90;0.047;0.0;0.0;0.041;0.066;0.253;0.253;0.253;0.045;0.008;0.011;0.011;0.011;0.008;0.011;0.008;0.107;0.011;0.008;0.253;0.047;0.047;1.0;0.047;0.049;0.222
ENSMUST00000176430_90_90;0.65;0.191;0.172;0.113;0.041;0.022;0.022;0.022;0.094;0.595;0.649;0.649;0.649;0.563;0.634;0.595;0.009;0.61;0.583;0.022;0.96;0.945;0.047;1.0;0.92;0.212
ENSMUST00000176523_90_90;0.628;0.197;0.177;0.074;0.042;0.023;0.023;0.023;0.055;0.573;0.604;0.604;0.604;0.592;0.59;0.573;0.009;0.629;0.562;0.023;0.96;0.945;0.049;0.92;1.0;0.17
ENSMUST00000176944_90_90;0.21;0.0;0.0;0.464;0.167;0.09;0.09;0.09;0.387;0.161;0.222;0.222;0.222;0.122;0.227;0.161;0.038;0.169;0.163;0.09;0.21;0.213;0.222;0.212;0.17;1.0
