;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENST00000612035_90_90;0.628;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.617;0.599;0.022;0.609;0.585;0.229
ENST00000612116_90_90;0.628;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.617;0.599;0.022;0.609;0.585;0.229
ENST00000614600_90_90;0.628;0.231;0.157;0.246;0.116;0.065;0.065;0.065;0.214;0.708;1.0;1.0;1.0;0.674;0.951;0.708;0.072;0.953;0.673;0.065;0.617;0.599;0.022;0.609;0.585;0.229
ENST00000616681_90_90;0.875;0.178;0.115;0.141;0.085;0.049;0.049;0.049;0.118;0.966;0.674;0.674;0.674;1.0;0.639;0.966;0.053;0.697;0.932;0.049;0.623;0.607;0.017;0.638;0.64;0.137
ENST00000616784_90_90;0.596;0.242;0.162;0.26;0.123;0.068;0.068;0.068;0.225;0.673;0.951;0.951;0.951;0.639;1.0;0.673;0.076;0.904;0.697;0.068;0.587;0.569;0.024;0.58;0.555;0.239
ENST00000618940_90_90;0.907;0.174;0.112;0.174;0.083;0.047;0.047;0.047;0.151;1.0;0.708;0.708;0.708;0.966;0.673;1.0;0.052;0.674;0.966;0.047;0.649;0.634;0.017;0.665;0.623;0.168
ENST00000620039_90_90;0.03;0.0;0.0;0.281;0.543;0.471;0.471;0.471;0.321;0.052;0.072;0.072;0.072;0.053;0.076;0.052;1.0;0.075;0.053;0.471;0.027;0.028;0.223;0.026;0.028;0.103
ENST00000621668_90_90;0.596;0.24;0.165;0.199;0.122;0.068;0.068;0.068;0.166;0.674;0.953;0.953;0.953;0.697;0.904;0.674;0.075;1.0;0.639;0.068;0.585;0.568;0.022;0.578;0.604;0.185
ENST00000621914_90_90;0.875;0.18;0.114;0.18;0.085;0.049;0.049;0.049;0.157;0.966;0.673;0.673;0.673;0.932;0.697;0.966;0.053;0.639;1.0;0.049;0.623;0.607;0.017;0.639;0.595;0.174
ENST00000628168_90_90;0.073;0.0;0.0;0.215;0.35;1.0;1.0;1.0;0.238;0.047;0.065;0.065;0.065;0.049;0.068;0.047;0.471;0.068;0.049;1.0;0.067;0.069;0.553;0.065;0.069;0.255
ENSMUST00000018875_90_90;0.864;0.31;0.111;0.126;0.043;0.067;0.067;0.067;0.105;0.649;0.617;0.617;0.617;0.623;0.587;0.649;0.027;0.585;0.623;0.067;1.0;0.978;0.079;0.941;0.973;0.209
ENSMUST00000065692_90_90;0.846;0.293;0.113;0.128;0.044;0.069;0.069;0.069;0.107;0.634;0.599;0.599;0.599;0.607;0.569;0.634;0.028;0.568;0.607;0.069;0.978;1.0;0.081;0.92;0.952;0.213
ENSMUST00000142680_90_90;0.116;0.0;0.0;0.067;0.106;0.553;0.553;0.553;0.074;0.017;0.022;0.022;0.022;0.017;0.024;0.017;0.223;0.022;0.017;0.553;0.079;0.081;1.0;0.076;0.081;0.378
ENSMUST00000176430_90_90;0.881;0.303;0.112;0.123;0.043;0.065;0.065;0.065;0.103;0.665;0.609;0.609;0.609;0.638;0.58;0.665;0.026;0.578;0.639;0.065;0.941;0.92;0.076;1.0;0.915;0.205
ENSMUST00000176523_90_90;0.832;0.32;0.116;0.095;0.044;0.069;0.069;0.069;0.073;0.623;0.585;0.585;0.585;0.64;0.555;0.623;0.028;0.604;0.595;0.069;0.973;0.952;0.081;0.915;1.0;0.182
ENSMUST00000176944_90_90;0.279;0.0;0.0;0.487;0.169;0.255;0.255;0.255;0.406;0.168;0.229;0.229;0.229;0.137;0.239;0.168;0.103;0.185;0.174;0.255;0.209;0.213;0.378;0.205;0.182;1.0
