;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.74;0.566;0.72;0.72;0.853;0.8;0.853;0.399;1.0;0.72;1.0;0.707;0.612;0.605;0.613;0.595;0.425;0.548;0.388;0.434;0.436;0.398;0.425;0.616;0.583;0.58;0.629;0.591;0.591;0.589;0.589
transcript49_ENSMSIG00000000513;0.521;0.512;0.986;0.986;0.601;0.642;0.601;0.45;0.707;0.986;0.707;1.0;0.863;0.861;0.868;0.853;0.684;0.815;0.645;0.635;0.704;0.601;0.684;0.89;0.816;0.803;0.877;0.855;0.855;0.811;0.811
transcript22_MGP-SPRETEiJ-G0021131;0.454;0.463;0.876;0.997;0.527;0.52;0.527;0.404;0.612;0.876;0.612;0.863;1.0;0.976;0.99;0.971;0.827;0.782;0.816;0.722;0.697;0.714;0.827;0.901;0.897;0.91;0.961;0.961;0.961;0.917;0.917
transcript22_MGP-CAROLIEiJ-G0020234;0.447;0.459;0.875;0.992;0.521;0.518;0.521;0.409;0.605;0.875;0.605;0.861;0.976;1.0;0.982;0.977;0.834;0.781;0.793;0.73;0.694;0.693;0.834;0.902;0.865;0.875;0.94;0.942;0.942;0.881;0.881
transcript36_ENSMUSG00000054036;0.456;0.476;0.881;1.0;0.529;0.525;0.529;0.411;0.613;0.881;0.613;0.868;0.99;0.982;1.0;0.977;0.833;0.788;0.809;0.729;0.702;0.71;0.833;0.907;0.903;0.917;0.954;0.955;0.955;0.924;0.924
transcript8_MGP-CAROLIEiJ-G0020234;0.434;0.46;0.866;0.975;0.509;0.508;0.509;0.419;0.595;0.866;0.595;0.853;0.971;0.977;0.977;1.0;0.853;0.774;0.81;0.748;0.71;0.709;0.853;0.895;0.857;0.869;0.933;0.935;0.935;0.875;0.875
transcript32_MGP-CAROLIEiJ-G0020234;0.331;0.427;0.698;0.785;0.34;0.336;0.34;0.491;0.425;0.698;0.425;0.684;0.827;0.834;0.833;0.853;1.0;0.732;0.948;0.874;0.787;0.828;1.0;0.74;0.713;0.737;0.78;0.781;0.781;0.744;0.744
transcript32_ENSRNOG00000031503;0.419;0.389;0.829;0.882;0.458;0.428;0.458;0.433;0.548;0.829;0.548;0.815;0.782;0.781;0.788;0.774;0.732;1.0;0.72;0.686;0.892;0.681;0.732;0.871;0.713;0.692;0.794;0.797;0.797;0.694;0.694
transcript32_ENSMUGG00000013592;0.3;0.413;0.658;0.75;0.306;0.302;0.306;0.479;0.388;0.658;0.388;0.645;0.816;0.793;0.809;0.81;0.948;0.72;1.0;0.83;0.792;0.875;0.948;0.708;0.688;0.708;0.763;0.766;0.766;0.715;0.715
transcript33_MGP-CAROLIEiJ-G0020234;0.355;0.385;0.649;0.717;0.343;0.378;0.343;0.56;0.434;0.649;0.434;0.635;0.722;0.73;0.729;0.748;0.874;0.686;0.83;1.0;0.747;0.945;0.874;0.625;0.607;0.641;0.667;0.668;0.668;0.647;0.647
transcript33_ENSRNOG00000031503;0.342;0.367;0.719;0.764;0.346;0.315;0.346;0.477;0.436;0.719;0.436;0.704;0.697;0.694;0.702;0.71;0.787;0.892;0.792;0.747;1.0;0.754;0.787;0.777;0.635;0.616;0.709;0.712;0.712;0.617;0.617
transcript33_ENSMUGG00000013592;0.327;0.37;0.613;0.686;0.311;0.342;0.311;0.546;0.398;0.613;0.398;0.601;0.714;0.693;0.71;0.709;0.828;0.681;0.875;0.945;0.754;1.0;0.828;0.602;0.588;0.617;0.655;0.657;0.657;0.624;0.624
transcript42_MGP-CAROLIEiJ-G0020234;0.331;0.427;0.698;0.785;0.34;0.336;0.34;0.491;0.425;0.698;0.425;0.684;0.827;0.834;0.833;0.853;1.0;0.732;0.948;0.874;0.787;0.828;1.0;0.74;0.713;0.737;0.78;0.781;0.781;0.744;0.744
transcript9_ENSRNOG00000031503;0.449;0.436;0.904;0.98;0.528;0.502;0.528;0.388;0.616;0.904;0.616;0.89;0.901;0.902;0.907;0.895;0.74;0.871;0.708;0.625;0.777;0.602;0.74;1.0;0.821;0.798;0.911;0.915;0.915;0.799;0.799
transcript18_ENSRNOG00000031503;0.393;0.399;0.83;0.988;0.465;0.443;0.465;0.344;0.583;0.83;0.583;0.816;0.897;0.865;0.903;0.857;0.713;0.713;0.688;0.607;0.635;0.588;0.713;0.821;1.0;0.974;0.911;0.896;0.896;0.974;0.974
transcript18_ENSMUGG00000013592;0.399;0.398;0.815;0.99;0.467;0.438;0.467;0.354;0.58;0.815;0.58;0.803;0.91;0.875;0.917;0.869;0.737;0.692;0.708;0.641;0.616;0.617;0.737;0.798;0.974;1.0;0.888;0.871;0.871;0.994;0.994
transcript19_ENSRNOG00000031503;0.427;0.443;0.891;0.988;0.503;0.502;0.503;0.38;0.629;0.891;0.629;0.877;0.961;0.94;0.954;0.933;0.78;0.794;0.763;0.667;0.709;0.655;0.78;0.911;0.911;0.888;1.0;0.996;0.996;0.889;0.889
transcript21_ENSRNOG00000031503;0.43;0.444;0.869;0.98;0.506;0.502;0.506;0.381;0.591;0.869;0.591;0.855;0.961;0.942;0.955;0.935;0.781;0.797;0.766;0.668;0.712;0.657;0.781;0.915;0.896;0.871;0.996;1.0;1.0;0.873;0.873
transcript23_ENSRNOG00000031503;0.43;0.444;0.869;0.98;0.506;0.502;0.506;0.381;0.591;0.869;0.591;0.855;0.961;0.942;0.955;0.935;0.781;0.797;0.766;0.668;0.712;0.657;0.781;0.915;0.896;0.871;0.996;1.0;1.0;0.873;0.873
transcript34_ENSMUGG00000013592;0.408;0.406;0.824;1.0;0.476;0.446;0.476;0.362;0.589;0.824;0.589;0.811;0.917;0.881;0.924;0.875;0.744;0.694;0.715;0.647;0.617;0.624;0.744;0.799;0.974;0.994;0.889;0.873;0.873;1.0;1.0
transcript35_ENSMUGG00000013592;0.408;0.406;0.824;1.0;0.476;0.446;0.476;0.362;0.589;0.824;0.589;0.811;0.917;0.881;0.924;0.875;0.744;0.694;0.715;0.647;0.617;0.624;0.744;0.799;0.974;0.994;0.889;0.873;0.873;1.0;1.0
