;ENSCAFT00000003109_90_90;ENSCAFT00000045366_90_90;ENST00000340022_90_90;ENST00000394503_90_90;ENST00000394505_90_90;ENST00000394507_90_90;ENST00000412043_90_90;ENST00000413688_90_90;ENST00000422347_90_90;ENST00000425073_90_90;ENST00000425919_90_90;ENST00000430102_90_90;ENST00000433016_90_90;ENST00000440209_90_90;ENST00000444960_90_90;ENST00000445516_90_90;ENST00000452773_90_90;ENST00000454017_90_90;ENST00000458177_90_90;ENST00000458493_90_90;ENSMUST00000080085_90_90;ENSMUST00000171023_90_90;ENSMUST00000198079_90_90;ENSMUST00000200386_90_90;ENSMUST00000200577_90_90
ENST00000430102_90_90;0.253;0.227;0.227;0.253;0.227;0.227;0.227;0.792;0.253;0.122;0.445;1.0;0.573;0.881;0.361;0.0;0.609;0.664;0.451;0.711;0.233;0.252;0.815;0.276;0.37
ENST00000433016_90_90;0.406;0.365;0.385;0.429;0.385;0.385;0.385;0.457;0.145;0.07;0.257;0.573;1.0;0.65;0.208;0.0;0.35;0.794;0.786;0.409;0.375;0.405;0.65;0.443;0.613
ENST00000440209_90_90;0.286;0.256;0.256;0.286;0.256;0.256;0.256;0.699;0.223;0.107;0.392;0.881;0.65;1.0;0.319;0.0;0.537;0.754;0.512;0.627;0.264;0.285;0.924;0.312;0.42
ENST00000444960_90_90;0.092;0.083;0.083;0.092;0.083;0.083;0.083;0.46;0.701;0.338;0.823;0.361;0.208;0.319;1.0;0.0;0.593;0.241;0.164;0.509;0.085;0.092;0.295;0.101;0.135
ENST00000445516_90_90;0.14;0.232;0.232;0.14;0.232;0.232;0.232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.03;0.0;0.215;0.231;0.0;0.153;0.188
ENST00000452773_90_90;0.155;0.14;0.14;0.155;0.14;0.14;0.14;0.775;0.415;0.201;0.728;0.609;0.35;0.537;0.593;0.0;1.0;0.406;0.275;0.858;0.143;0.155;0.498;0.17;0.227
ENST00000454017_90_90;0.368;0.331;0.302;0.335;0.302;0.302;0.302;0.531;0.168;0.081;0.299;0.664;0.794;0.754;0.241;0.0;0.406;1.0;0.625;0.475;0.34;0.366;0.716;0.401;0.552
ENST00000458177_90_90;0.517;0.465;0.485;0.54;0.485;0.485;0.485;0.361;0.114;0.055;0.203;0.451;0.786;0.512;0.164;0.03;0.275;0.625;1.0;0.323;0.477;0.515;0.513;0.563;0.785
ENST00000458493_90_90;0.184;0.164;0.164;0.184;0.164;0.164;0.164;0.902;0.357;0.172;0.623;0.711;0.409;0.627;0.509;0.0;0.858;0.475;0.323;1.0;0.169;0.183;0.582;0.201;0.267
ENSMUST00000080085_90_90;0.926;1.0;0.978;0.905;0.978;0.978;0.978;0.193;0.059;0.029;0.11;0.233;0.375;0.264;0.085;0.215;0.143;0.34;0.477;0.169;1.0;0.933;0.247;0.815;0.584
ENSMUST00000171023_90_90;0.857;0.932;0.91;0.837;0.91;0.91;0.91;0.209;0.064;0.031;0.118;0.252;0.405;0.285;0.092;0.231;0.155;0.366;0.515;0.183;0.933;1.0;0.266;0.817;0.627
ENSMUST00000198079_90_90;0.285;0.263;0.27;0.293;0.27;0.27;0.27;0.651;0.206;0.1;0.366;0.815;0.65;0.924;0.295;0.0;0.498;0.716;0.513;0.582;0.247;0.266;1.0;0.288;0.397
ENSMUST00000200386_90_90;0.916;0.849;0.828;0.893;0.828;0.828;0.828;0.229;0.07;0.034;0.13;0.276;0.443;0.312;0.101;0.153;0.17;0.401;0.563;0.201;0.815;0.817;0.288;1.0;0.59
ENSMUST00000200577_90_90;0.561;0.599;0.577;0.539;0.577;0.577;0.577;0.3;0.093;0.045;0.169;0.37;0.613;0.42;0.135;0.188;0.227;0.552;0.785;0.267;0.584;0.627;0.397;0.59;1.0
