;transcript38_ENSRNOG00000031503;transcript38_ENSCGRG00015005362;transcript38_ENSCGRG00000018457;transcript38_ENSSTOG00000019743;transcript37_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript37_ENSCGRG00001010245;transcript37_ENSPEMG00000024651;transcript37_ENSSTOG00000019743;transcript57_ENSMUGG00000013649;transcript57_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript58_ENSPEMG00000024651;transcript59_ENSMUGG00000013649;transcript59_ENSPEMG00000024651;transcript51_ENSMUGG00000013592;transcript8_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript8_ENSSTOG00000019743;transcript9_ENSCGRG00015005362;transcript9_ENSPEMG00000024651;transcript54_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript56_ENSCGRG00000018457;transcript56_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript33_ENSPEMG00000024651;transcript33_ENSNGAG00000018584;transcript39_ENSPEMG00000024651;transcript39_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript40_ENSSTOG00000019743
transcript57_ENSPEMG00000024651;0.742;0.712;0.704;0.702;0.782;0.788;0.766;0.78;0.761;0.808;1.0;0.843;0.883;0.813;0.829;0.836;0.528;0.543;0.521;0.539;0.54;0.746;0.733;0.786;0.701;0.698;0.659;0.647;0.692;0.733;0.738;0.799;0.763;0.713;0.713;0.713
transcript58_ENSMUGG00000013649;0.894;0.841;0.831;0.834;0.879;0.894;0.888;0.863;0.897;0.892;0.843;1.0;0.915;0.919;0.875;0.964;0.611;0.632;0.603;0.615;0.641;0.882;0.842;0.918;0.807;0.804;0.776;0.741;0.796;0.842;0.851;0.846;0.877;0.846;0.846;0.846
transcript58_ENSPEMG00000024651;0.835;0.797;0.789;0.792;0.869;0.876;0.852;0.869;0.854;0.839;0.883;0.915;1.0;0.878;0.921;0.9;0.605;0.624;0.611;0.621;0.635;0.831;0.819;0.873;0.774;0.772;0.744;0.734;0.766;0.819;0.812;0.89;0.857;0.798;0.798;0.798
transcript59_ENSMUGG00000013649;0.867;0.82;0.812;0.812;0.861;0.873;0.869;0.834;0.873;0.935;0.813;0.919;0.878;1.0;0.849;0.943;0.611;0.629;0.596;0.613;0.639;0.862;0.817;0.896;0.788;0.786;0.757;0.715;0.778;0.817;0.838;0.819;0.854;0.825;0.825;0.825
transcript59_ENSPEMG00000024651;0.879;0.839;0.831;0.828;0.846;0.879;0.857;0.839;0.824;0.81;0.829;0.875;0.921;0.849;1.0;0.897;0.647;0.665;0.654;0.672;0.675;0.871;0.859;0.845;0.815;0.817;0.786;0.775;0.806;0.859;0.859;0.947;0.907;0.841;0.841;0.841
transcript51_ENSMUGG00000013592;0.921;0.875;0.867;0.865;0.926;0.929;0.91;0.878;0.916;0.907;0.836;0.964;0.9;0.943;0.897;1.0;0.625;0.645;0.612;0.635;0.654;0.916;0.869;0.926;0.842;0.838;0.822;0.776;0.83;0.869;0.894;0.885;0.92;0.878;0.878;0.878
transcript8_ENSCGRG00000018457;0.768;0.766;0.766;0.766;0.619;0.637;0.706;0.678;0.686;0.587;0.528;0.611;0.605;0.611;0.647;0.625;1.0;0.996;0.811;0.811;0.855;0.727;0.716;0.685;0.783;0.783;0.762;0.732;0.792;0.716;0.699;0.642;0.643;0.68;0.68;0.68
transcript8_ENSCGRG00015005362;0.783;0.781;0.781;0.781;0.637;0.657;0.729;0.696;0.703;0.605;0.543;0.632;0.624;0.629;0.665;0.645;0.996;1.0;0.811;0.809;0.856;0.752;0.738;0.705;0.807;0.807;0.766;0.738;0.812;0.738;0.718;0.656;0.659;0.697;0.697;0.697
transcript8_ENSPEMG00000024651;0.754;0.744;0.744;0.744;0.606;0.624;0.692;0.679;0.668;0.571;0.521;0.603;0.611;0.596;0.654;0.612;0.811;0.811;1.0;0.909;0.95;0.71;0.746;0.667;0.652;0.652;0.741;0.763;0.659;0.746;0.677;0.649;0.636;0.663;0.663;0.663
transcript8_ENSNGAG00000018584;0.76;0.753;0.754;0.754;0.617;0.639;0.694;0.673;0.672;0.582;0.539;0.615;0.621;0.613;0.672;0.635;0.811;0.809;0.909;1.0;0.946;0.721;0.714;0.675;0.664;0.664;0.749;0.737;0.668;0.714;0.762;0.673;0.663;0.698;0.698;0.698
transcript8_ENSSTOG00000019743;0.808;0.8;0.8;0.8;0.644;0.663;0.738;0.706;0.714;0.614;0.54;0.641;0.635;0.639;0.675;0.654;0.855;0.856;0.95;0.946;1.0;0.758;0.74;0.711;0.69;0.69;0.796;0.758;0.698;0.74;0.715;0.667;0.669;0.704;0.704;0.704
transcript9_ENSCGRG00015005362;1.0;0.962;0.95;0.95;0.88;0.905;0.956;0.893;0.931;0.822;0.746;0.882;0.831;0.862;0.871;0.916;0.727;0.752;0.71;0.721;0.758;1.0;0.952;0.952;0.928;0.928;0.899;0.855;0.919;0.952;0.955;0.855;0.885;0.934;0.934;0.934
transcript9_ENSPEMG00000024651;0.958;0.926;0.915;0.915;0.83;0.854;0.913;0.877;0.887;0.777;0.733;0.842;0.819;0.817;0.859;0.869;0.716;0.738;0.746;0.714;0.74;0.952;1.0;0.906;0.891;0.891;0.866;0.899;0.885;1.0;0.916;0.843;0.853;0.889;0.889;0.889
transcript54_ENSCGRG00015005362;0.951;0.913;0.904;0.901;0.912;0.915;0.976;0.936;0.976;0.856;0.786;0.918;0.873;0.896;0.845;0.926;0.685;0.705;0.667;0.675;0.711;0.952;0.906;1.0;0.883;0.881;0.853;0.809;0.873;0.906;0.912;0.83;0.861;0.912;0.912;0.912
transcript52_ENSCGRG00000018457;0.919;0.891;0.879;0.879;0.803;0.826;0.887;0.835;0.863;0.748;0.701;0.807;0.774;0.788;0.815;0.842;0.783;0.807;0.652;0.664;0.69;0.928;0.891;0.883;1.0;1.0;0.827;0.794;0.989;0.891;0.895;0.799;0.818;0.869;0.869;0.869
transcript52_ENSCGRG00001010245;0.919;0.891;0.879;0.879;0.806;0.829;0.883;0.832;0.86;0.746;0.698;0.804;0.772;0.786;0.817;0.838;0.783;0.807;0.652;0.664;0.69;0.928;0.891;0.881;1.0;1.0;0.827;0.794;0.989;0.891;0.895;0.804;0.824;0.875;0.875;0.875
transcript56_ENSCGRG00000018457;0.946;0.946;0.946;0.946;0.81;0.83;0.899;0.847;0.871;0.717;0.659;0.776;0.744;0.757;0.786;0.822;0.762;0.766;0.741;0.749;0.796;0.899;0.866;0.853;0.827;0.827;1.0;0.907;0.835;0.866;0.861;0.794;0.811;0.841;0.841;0.841
transcript56_ENSPEMG00000024651;0.883;0.871;0.868;0.867;0.754;0.773;0.839;0.817;0.813;0.675;0.647;0.741;0.734;0.715;0.775;0.776;0.732;0.738;0.763;0.737;0.758;0.855;0.899;0.809;0.794;0.794;0.907;1.0;0.788;0.899;0.823;0.772;0.766;0.798;0.798;0.798
transcript65_ENSCGRG00000018457;0.919;0.895;0.887;0.888;0.792;0.815;0.875;0.826;0.853;0.738;0.692;0.796;0.766;0.778;0.806;0.83;0.792;0.812;0.659;0.668;0.698;0.919;0.885;0.873;0.989;0.989;0.835;0.788;1.0;0.885;0.885;0.79;0.807;0.859;0.859;0.859
transcript33_ENSPEMG00000024651;0.958;0.926;0.915;0.915;0.83;0.854;0.913;0.877;0.887;0.777;0.733;0.842;0.819;0.817;0.859;0.869;0.716;0.738;0.746;0.714;0.74;0.952;1.0;0.906;0.891;0.891;0.866;0.899;0.885;1.0;0.916;0.843;0.853;0.889;0.889;0.889
transcript33_ENSNGAG00000018584;0.953;0.915;0.904;0.905;0.851;0.877;0.916;0.863;0.894;0.795;0.738;0.851;0.812;0.838;0.859;0.894;0.699;0.718;0.677;0.762;0.715;0.955;0.916;0.912;0.895;0.895;0.861;0.823;0.885;0.916;1.0;0.863;0.885;0.93;0.93;0.93
transcript39_ENSPEMG00000024651;0.891;0.843;0.84;0.836;0.854;0.89;0.869;0.851;0.831;0.779;0.799;0.846;0.89;0.819;0.947;0.885;0.642;0.656;0.649;0.673;0.667;0.855;0.843;0.83;0.799;0.804;0.794;0.772;0.79;0.843;0.863;1.0;0.951;0.857;0.857;0.857
transcript39_ENSSTOG00000019743;0.919;0.868;0.863;0.859;0.89;0.926;0.897;0.836;0.865;0.812;0.763;0.877;0.857;0.854;0.907;0.92;0.643;0.659;0.636;0.663;0.669;0.885;0.853;0.861;0.818;0.824;0.811;0.766;0.807;0.853;0.885;0.951;1.0;0.887;0.887;0.887
transcript26_ENSSTOG00000019743;0.992;0.897;0.89;0.885;0.838;0.865;0.92;0.853;0.89;0.783;0.713;0.846;0.798;0.825;0.841;0.878;0.68;0.697;0.663;0.698;0.704;0.934;0.889;0.912;0.869;0.875;0.841;0.798;0.859;0.889;0.93;0.857;0.887;1.0;1.0;1.0
transcript29_ENSSTOG00000019743;0.992;0.897;0.89;0.885;0.838;0.865;0.92;0.853;0.89;0.783;0.713;0.846;0.798;0.825;0.841;0.878;0.68;0.697;0.663;0.698;0.704;0.934;0.889;0.912;0.869;0.875;0.841;0.798;0.859;0.889;0.93;0.857;0.887;1.0;1.0;1.0
transcript40_ENSSTOG00000019743;0.992;0.897;0.89;0.885;0.838;0.865;0.92;0.853;0.89;0.783;0.713;0.846;0.798;0.825;0.841;0.878;0.68;0.697;0.663;0.698;0.704;0.934;0.889;0.912;0.869;0.875;0.841;0.798;0.859;0.889;0.93;0.857;0.887;1.0;1.0;1.0
