;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENST00000559561_90_90;0.952;0.818;0.6;0.783;0.875;0.87;0.625;0.625;0.958;0.87;0.25;0.833;1.0;0.348;0.174;0.087;0.84;0.167;0.385;0.87;0.864;0.909;0.826;0.913;0.955
ENST00000560570_90_90;0.286;0.238;0.286;0.444;0.364;0.217;0.043;0.043;0.333;0.217;0.071;0.208;0.348;1.0;0.0;0.0;0.348;0.0;0.0;0.318;0.227;0.333;0.217;0.304;0.318
ENST00000560617_90_90;0.19;0.2;0.333;0.222;0.182;0.2;0.25;0.25;0.167;0.2;0.375;0.19;0.174;0.0;1.0;0.5;0.174;0.5;0.308;0.182;0.2;0.19;0.19;0.174;0.182
ENST00000560697_90_90;0.095;0.1;0.167;0.111;0.091;0.1;0.125;0.125;0.083;0.1;0.286;0.095;0.087;0.0;0.5;1.0;0.087;0.167;0.154;0.091;0.1;0.095;0.095;0.087;0.091
ENST00000561208_90_90;0.826;0.952;0.571;0.783;0.957;0.72;0.5;0.5;0.88;0.72;0.25;0.76;0.84;0.348;0.174;0.087;1.0;0.167;0.385;1.0;0.75;0.955;0.792;0.875;0.833
ENST00000606653_90_90;0.19;0.2;0.333;0.211;0.174;0.19;0.235;0.235;0.16;0.19;0.2;0.182;0.167;0.0;0.5;0.167;0.167;1.0;0.286;0.182;0.2;0.19;0.19;0.174;0.182
ENST00000607277_90_90;0.524;0.476;0.278;0.292;0.4;0.435;0.526;0.526;0.37;0.435;0.176;0.417;0.385;0.0;0.308;0.154;0.385;0.286;1.0;0.435;0.55;0.455;0.524;0.478;0.5
ENSMUST00000028639_90_90;0.833;0.913;0.565;0.773;0.955;0.739;0.565;0.565;0.913;0.739;0.273;0.783;0.87;0.318;0.182;0.091;1.0;0.182;0.435;1.0;0.704;0.957;0.741;0.88;0.84
ENSMUST00000074285_90_90;0.913;0.833;0.636;0.682;0.783;0.9;0.7;0.7;0.826;0.9;0.3;0.857;0.864;0.227;0.2;0.1;0.75;0.2;0.55;0.704;1.0;0.731;0.958;0.808;0.84
ENSMUST00000102538_90_90;0.87;0.87;0.591;0.81;1.0;0.773;0.591;0.591;0.87;0.773;0.286;0.739;0.909;0.333;0.19;0.095;0.955;0.19;0.455;0.957;0.731;1.0;0.704;0.84;0.875
ENSMUST00000110906_90_90;0.875;0.875;0.609;0.652;0.75;0.857;0.667;0.667;0.87;0.857;0.286;0.905;0.826;0.217;0.19;0.095;0.792;0.19;0.524;0.741;0.958;0.704;1.0;0.846;0.808
ENSMUST00000110907_90_90;0.957;0.8;0.542;0.739;0.833;0.783;0.609;0.609;0.957;0.783;0.261;0.826;0.913;0.304;0.174;0.087;0.875;0.174;0.478;0.88;0.808;0.84;0.846;1.0;0.958
ENSMUST00000110908_90_90;1.0;0.76;0.565;0.773;0.87;0.818;0.636;0.636;0.913;0.818;0.273;0.783;0.955;0.318;0.182;0.091;0.833;0.182;0.5;0.84;0.84;0.875;0.808;0.958;1.0
