;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENST00000543524_90_90;0.533;0.833;0.741;0.769;0.8;0.833;0.55;0.182;0.727;0.391;0.833;0.952;0.619;0.75;1.0;0.3;0.476;0.567;0.609;0.63;0.607;0.63;0.586;0.607;0.455;0.696;0.586;0.125
ENST00000545798_90_90;0.143;0.25;0.222;0.231;0.24;0.25;0.545;0.5;0.333;0.5;0.25;0.286;0.429;0.167;0.3;1.0;0.545;0.138;0.211;0.154;0.148;0.154;0.143;0.148;0.286;0.19;0.143;0.3
ENST00000546251_90_90;0.276;0.4;0.357;0.37;0.385;0.4;0.833;0.308;0.526;0.643;0.4;0.455;0.667;0.32;0.476;0.545;1.0;0.267;0.333;0.296;0.286;0.296;0.276;0.286;0.533;0.364;0.276;0.2
ENSMUST00000079176_90_90;0.893;0.7;0.8;0.767;0.733;0.7;0.31;0.1;0.5;0.3;0.645;0.6;0.414;0.69;0.567;0.138;0.267;1.0;0.63;0.889;0.926;0.889;0.963;0.926;0.444;0.704;0.963;0.259
ENSMUST00000107043_90_90;0.593;0.519;0.467;0.483;0.5;0.519;0.4;0.15;0.667;0.318;0.577;0.583;0.476;0.5;0.609;0.211;0.333;0.63;1.0;0.708;0.68;0.708;0.654;0.68;0.611;0.895;0.654;0.263
ENSMUST00000107044_90_90;0.852;0.778;0.7;0.724;0.75;0.778;0.346;0.111;0.556;0.286;0.714;0.667;0.407;0.769;0.63;0.154;0.296;0.889;0.708;1.0;0.96;1.0;0.923;0.96;0.5;0.792;0.852;0.192
ENSMUST00000107045_90_90;0.889;0.75;0.733;0.7;0.786;0.75;0.333;0.107;0.536;0.321;0.69;0.643;0.444;0.741;0.607;0.148;0.286;0.926;0.68;0.96;1.0;0.96;0.889;1.0;0.48;0.76;0.889;0.185
ENSMUST00000107046_90_90;0.852;0.778;0.7;0.724;0.75;0.778;0.346;0.111;0.556;0.286;0.714;0.667;0.407;0.769;0.63;0.154;0.296;0.889;0.708;1.0;0.96;1.0;0.923;0.96;0.5;0.792;0.852;0.192
ENSMUST00000107047_90_90;0.857;0.724;0.767;0.793;0.7;0.724;0.321;0.103;0.517;0.267;0.667;0.621;0.379;0.714;0.586;0.143;0.276;0.963;0.654;0.923;0.889;0.923;1.0;0.889;0.462;0.731;0.926;0.269
ENSMUST00000116287_90_90;0.889;0.75;0.733;0.7;0.786;0.75;0.333;0.107;0.536;0.321;0.69;0.643;0.444;0.741;0.607;0.148;0.286;0.926;0.68;0.96;1.0;0.96;0.889;1.0;0.48;0.76;0.889;0.185
ENSMUST00000138830_90_90;0.462;0.385;0.345;0.357;0.37;0.385;0.643;0.2;0.5;0.5;0.44;0.435;0.625;0.36;0.455;0.286;0.533;0.444;0.611;0.5;0.48;0.5;0.462;0.48;1.0;0.632;0.462;0.357
ENSMUST00000139708_90_90;0.667;0.593;0.533;0.552;0.571;0.593;0.429;0.136;0.682;0.348;0.654;0.667;0.5;0.577;0.696;0.19;0.364;0.704;0.895;0.792;0.76;0.792;0.731;0.76;0.632;1.0;0.731;0.238
ENSMUST00000151123_90_90;0.857;0.667;0.767;0.733;0.7;0.667;0.321;0.103;0.517;0.31;0.667;0.621;0.429;0.655;0.586;0.143;0.276;0.963;0.654;0.852;0.889;0.852;0.926;0.889;0.462;0.731;1.0;0.269
ENSMUST00000208812_90_90;0.222;0.107;0.172;0.179;0.103;0.107;0.2;0.3;0.136;0.267;0.148;0.12;0.167;0.074;0.125;0.3;0.2;0.259;0.263;0.192;0.185;0.192;0.269;0.185;0.357;0.238;0.269;1.0
