;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENST00000508293_90_90;0.99;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.426;0.531;0.531;0.427;0.0;0.212;0.0;0.429;0.531
ENST00000508996_90_90;0.361;0.371;0.371;0.437;0.429;0.429;0.092;0.792;0.266;0.105;0.875;0.371;1.0;0.229;1.0;0.117;0.913;0.875;0.132;0.494;0.43;0.508;0.371;0.62;0.758;0.445;0.558;0.558;0.449;0.0;0.224;0.0;0.457;0.558
ENST00000509122_90_90;0.879;0.859;0.859;0.661;0.721;0.721;0.786;0.325;0.846;0.675;0.281;0.859;0.229;1.0;0.229;0.566;0.198;0.281;0.465;0.607;0.119;0.587;0.859;0.111;0.346;0.527;0.429;0.429;0.529;0.0;0.263;0.0;0.531;0.429
ENST00000509164_90_90;0.361;0.371;0.371;0.437;0.429;0.429;0.092;0.792;0.266;0.105;0.875;0.371;1.0;0.229;1.0;0.117;0.913;0.875;0.132;0.494;0.43;0.508;0.371;0.62;0.758;0.445;0.558;0.558;0.449;0.0;0.224;0.0;0.457;0.558
ENST00000509246_90_90;0.504;0.485;0.485;0.58;0.568;0.568;0.723;0.245;0.672;0.839;0.186;0.485;0.117;0.566;0.117;1.0;0.075;0.186;0.824;0.612;0.0;0.587;0.485;0.0;0.271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000509664_90_90;0.326;0.339;0.339;0.398;0.391;0.391;0.058;0.724;0.228;0.068;0.799;0.339;0.913;0.198;0.913;0.075;1.0;0.799;0.084;0.451;0.471;0.464;0.339;0.678;0.693;0.447;0.561;0.561;0.451;0.0;0.225;0.0;0.46;0.561
ENST00000509963_90_90;0.414;0.422;0.422;0.5;0.49;0.49;0.145;0.904;0.327;0.167;1.0;0.422;0.875;0.281;0.875;0.186;0.799;1.0;0.209;0.564;0.381;0.579;0.422;0.544;0.867;0.442;0.554;0.554;0.445;0.0;0.222;0.0;0.452;0.554
ENST00000510824_90_90;0.409;0.399;0.399;0.479;0.469;0.469;0.593;0.274;0.555;0.692;0.209;0.399;0.132;0.465;0.132;0.824;0.084;0.209;1.0;0.538;0.0;0.551;0.399;0.0;0.303;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000511102_90_90;0.748;0.748;0.748;0.887;0.87;0.87;0.486;0.625;0.705;0.545;0.564;0.748;0.494;0.607;0.494;0.612;0.451;0.564;0.538;1.0;0.215;0.974;0.748;0.307;0.651;0.431;0.539;0.539;0.433;0.0;0.215;0.0;0.437;0.539
ENST00000511662_90_90;0.179;0.162;0.162;0.189;0.185;0.185;0.0;0.346;0.138;0.0;0.381;0.162;0.43;0.119;0.43;0.0;0.471;0.381;0.0;0.215;1.0;0.222;0.162;0.69;0.33;0.459;0.58;0.58;0.466;0.0;0.234;0.0;0.482;0.58
ENST00000512236_90_90;0.725;0.728;0.728;0.865;0.848;0.848;0.465;0.641;0.683;0.523;0.579;0.728;0.508;0.587;0.508;0.587;0.464;0.579;0.551;0.974;0.222;1.0;0.728;0.317;0.669;0.431;0.54;0.54;0.433;0.0;0.216;0.0;0.437;0.54
ENST00000513391_90_90;0.99;1.0;1.0;0.798;0.862;0.862;0.676;0.467;0.724;0.579;0.422;1.0;0.371;0.859;0.371;0.485;0.339;0.422;0.399;0.748;0.162;0.728;1.0;0.232;0.487;0.426;0.531;0.531;0.427;0.0;0.212;0.0;0.429;0.531
ENST00000513641_90_90;0.231;0.232;0.232;0.271;0.266;0.266;0.0;0.494;0.127;0.0;0.544;0.232;0.62;0.111;0.62;0.0;0.678;0.544;0.0;0.307;0.69;0.317;0.232;1.0;0.472;0.454;0.571;0.571;0.46;0.0;0.23;0.0;0.472;0.571
ENST00000514981_90_90;0.485;0.487;0.487;0.578;0.567;0.567;0.214;0.959;0.402;0.242;0.867;0.487;0.758;0.346;0.758;0.271;0.693;0.867;0.303;0.651;0.33;0.669;0.487;0.472;1.0;0.439;0.55;0.55;0.442;0.0;0.22;0.0;0.448;0.55
ENSMUST00000031038_90_90;0.433;0.426;0.426;0.43;0.429;0.429;0.0;0.44;0.532;0.0;0.442;0.426;0.445;0.527;0.445;0.0;0.447;0.442;0.0;0.431;0.459;0.431;0.426;0.454;0.439;1.0;0.716;0.716;0.842;0.103;0.526;0.127;0.694;0.716
ENSMUST00000071081_90_90;0.54;0.531;0.531;0.537;0.537;0.537;0.0;0.55;0.434;0.0;0.554;0.531;0.558;0.429;0.558;0.0;0.561;0.554;0.0;0.539;0.58;0.54;0.531;0.571;0.55;0.716;1.0;1.0;0.849;0.13;0.55;0.15;0.599;1.0
ENSMUST00000166823_90_90;0.54;0.531;0.531;0.537;0.537;0.537;0.0;0.55;0.434;0.0;0.554;0.531;0.558;0.429;0.558;0.0;0.561;0.554;0.0;0.539;0.58;0.54;0.531;0.571;0.55;0.716;1.0;1.0;0.849;0.13;0.55;0.15;0.599;1.0
ENSMUST00000200935_90_90;0.434;0.427;0.427;0.432;0.431;0.431;0.0;0.443;0.534;0.0;0.445;0.427;0.449;0.529;0.449;0.0;0.451;0.445;0.0;0.433;0.466;0.433;0.427;0.46;0.442;0.842;0.849;0.849;1.0;0.126;0.628;0.148;0.591;0.849
ENSMUST00000201505_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.103;0.13;0.13;0.126;1.0;0.193;0.0;0.0;0.13
ENSMUST00000201556_90_90;0.214;0.212;0.212;0.215;0.214;0.214;0.0;0.22;0.266;0.0;0.222;0.212;0.224;0.263;0.224;0.0;0.225;0.222;0.0;0.215;0.234;0.216;0.212;0.23;0.22;0.526;0.55;0.55;0.628;0.193;1.0;0.154;0.304;0.55
ENSMUST00000201739_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.127;0.15;0.15;0.148;0.0;0.154;1.0;0.114;0.15
ENSMUST00000202237_90_90;0.436;0.429;0.429;0.435;0.434;0.434;0.0;0.449;0.537;0.0;0.452;0.429;0.457;0.531;0.457;0.0;0.46;0.452;0.0;0.437;0.482;0.437;0.429;0.472;0.448;0.694;0.599;0.599;0.591;0.0;0.304;0.114;1.0;0.599
ENSMUST00000202250_90_90;0.54;0.531;0.531;0.537;0.537;0.537;0.0;0.55;0.434;0.0;0.554;0.531;0.558;0.429;0.558;0.0;0.561;0.554;0.0;0.539;0.58;0.54;0.531;0.571;0.55;0.716;1.0;1.0;0.849;0.13;0.55;0.15;0.599;1.0
