;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript22_ENSCGRG00000018457;0.972;0.972;1.0;0.998;0.986;0.986;0.335;0.138;0.934;1.0;1.0;1.0;1.0;0.948;0.979;1.0;1.0;1.0;0.901;1.0;1.0;0.965;0.965;1.0;1.0;0.418;1.0
transcript26_ENSCGRG00000018457;0.972;0.972;1.0;0.998;0.986;0.986;0.335;0.138;0.934;1.0;1.0;1.0;1.0;0.948;0.979;1.0;1.0;1.0;0.901;1.0;1.0;0.965;0.965;1.0;1.0;0.418;1.0
transcript26_ENSCGRG00001010245;0.947;0.947;1.0;0.998;0.962;0.986;0.335;0.138;0.911;1.0;1.0;1.0;1.0;0.948;0.979;0.975;0.975;0.975;0.879;1.0;1.0;0.948;0.94;1.0;1.0;0.418;0.974
transcript33_ENSCGRG00015005362;0.938;0.938;0.967;0.964;0.934;0.934;0.354;0.145;0.986;0.948;0.948;0.948;0.948;1.0;0.926;0.948;0.948;0.948;0.849;1.0;1.0;0.886;0.886;1.0;1.0;0.418;0.921
transcript42_ENSCGRG00000018457;0.95;0.95;0.979;0.976;0.965;0.965;0.343;0.141;0.913;0.979;0.979;0.979;0.979;0.926;1.0;0.979;0.979;0.979;0.88;1.0;1.0;0.944;0.944;1.0;1.0;0.418;0.979
transcript14_ENSSTOG00000019743;0.972;0.972;0.975;0.972;0.987;0.986;0.327;0.134;0.936;1.0;1.0;1.0;0.975;0.948;0.979;1.0;1.0;1.0;0.904;1.0;1.0;0.957;0.966;1.0;1.0;0.418;1.0
transcript12_ENSSTOG00000019743;0.972;0.972;0.975;0.972;0.987;0.986;0.327;0.134;0.936;1.0;1.0;1.0;0.975;0.948;0.979;1.0;1.0;1.0;0.904;1.0;1.0;0.957;0.966;1.0;1.0;0.418;1.0
transcript5_ENSSTOG00000019743;0.972;0.972;0.975;0.972;0.987;0.986;0.327;0.134;0.936;1.0;1.0;1.0;0.975;0.948;0.979;1.0;1.0;1.0;0.904;1.0;1.0;0.957;0.966;1.0;1.0;0.418;1.0
transcript13_ENSSTOG00000019743;0.878;0.878;0.88;0.878;0.89;0.888;0.231;0.038;0.839;0.901;0.901;0.901;0.879;0.849;0.88;0.904;0.904;0.904;1.0;0.703;0.698;0.865;0.874;0.703;0.703;0.121;0.903
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.418;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.703;1.0;1.0;0.899;0.899;1.0;1.0;0.418;1.0
transcript8_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.436;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.698;1.0;1.0;0.882;0.882;1.0;1.0;0.441;1.0
transcript20_ENSNGAG00000018584;0.923;0.923;0.938;0.934;0.937;0.944;0.295;0.098;0.86;0.965;0.965;0.965;0.948;0.886;0.944;0.957;0.957;0.957;0.865;0.899;0.882;1.0;0.991;0.899;0.899;0.312;0.957
transcript17_ENSNGAG00000018584;0.931;0.931;0.931;0.927;0.946;0.944;0.292;0.097;0.869;0.965;0.965;0.965;0.94;0.886;0.944;0.966;0.966;0.966;0.874;0.899;0.882;0.991;1.0;0.899;0.899;0.312;0.966
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.418;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.703;1.0;1.0;0.899;0.899;1.0;1.0;0.418;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.418;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.703;1.0;1.0;0.899;0.899;1.0;1.0;0.418;1.0
transcript38_MGP-PahariEiJ-G0020237;0.418;0.418;0.418;0.418;0.418;0.418;0.418;1.0;0.418;0.418;0.418;0.418;0.418;0.418;0.418;0.418;0.418;0.418;0.121;0.418;0.441;0.312;0.312;0.418;0.418;1.0;0.413
transcript5_ENSNGAG00000018584;0.974;0.974;0.974;0.971;0.98;0.979;0.323;0.129;0.903;1.0;1.0;1.0;0.974;0.921;0.979;1.0;1.0;1.0;0.903;1.0;1.0;0.957;0.966;1.0;1.0;0.413;1.0
