;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENST00000534280_90_90;0.143;0.094;0.125;0.12;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.125;0.074;0.1;0.067;1.0;0.105;0.1;0.0;0.222;0.0;0.0;0.0
ENST00000534465_90_90;0.607;0.607;0.586;0.583;0.706;0.941;0.095;0.647;0.238;0.773;0.0;1.0;0.321;0.667;0.63;0.654;0.0;0.28;0.375;0.429;0.0;0.389;0.421;0.409
ENST00000610806_90_90;0.643;0.714;0.69;0.519;0.391;0.333;0.238;0.409;0.381;0.5;0.125;0.321;1.0;0.577;0.667;0.692;0.091;0.833;0.889;0.292;0.278;0.368;0.556;0.231
ENSMUST00000045325_90_90;0.828;0.885;0.852;0.519;0.458;0.625;0.038;0.417;0.154;0.875;0.074;0.667;0.577;1.0;0.828;0.857;0.103;0.464;0.5;0.542;0.25;0.231;0.241;0.583
ENSMUST00000107843_90_90;0.966;0.963;1.0;0.667;0.444;0.593;0.148;0.407;0.259;0.815;0.1;0.63;0.667;0.828;1.0;0.966;0.121;0.586;0.621;0.448;0.207;0.276;0.367;0.483
ENSMUST00000207370_90_90;0.931;1.0;0.963;0.63;0.462;0.615;0.154;0.423;0.269;0.846;0.067;0.654;0.692;0.857;0.966;1.0;0.091;0.607;0.643;0.464;0.214;0.286;0.379;0.5
ENSMUST00000207522_90_90;0.172;0.067;0.1;0.091;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.091;0.103;0.121;0.091;1.0;0.136;0.13;0.0;0.273;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.552;0.577;0.556;0.435;0.35;0.292;0.267;0.368;0.467;0.423;0.105;0.28;0.833;0.464;0.586;0.607;0.136;1.0;0.75;0.154;0.353;0.389;0.45;0.148
ENSMUST00000208312_90_90;0.586;0.615;0.593;0.545;0.474;0.391;0.25;0.5;0.438;0.462;0.1;0.375;0.889;0.5;0.621;0.643;0.13;0.75;1.0;0.24;0.2;0.368;0.579;0.143
ENSMUST00000208778_90_90;0.448;0.5;0.481;0.292;0.316;0.381;0.0;0.263;0.0;0.591;0.0;0.429;0.292;0.542;0.448;0.464;0.0;0.154;0.24;1.0;0.118;0.05;0.136;0.688
ENSMUST00000208829_90_90;0.207;0.192;0.185;0.045;0.0;0.0;0.0;0.0;0.0;0.125;0.222;0.0;0.278;0.25;0.207;0.214;0.273;0.353;0.2;0.118;1.0;0.0;0.0;0.176
ENSMUST00000208938_90_90;0.276;0.308;0.296;0.444;0.538;0.412;0.333;0.583;0.667;0.304;0.0;0.389;0.368;0.231;0.276;0.286;0.0;0.389;0.368;0.05;0.0;1.0;0.429;0.048
ENSMUST00000209056_90_90;0.345;0.385;0.37;0.556;0.571;0.444;0.4;0.615;0.545;0.333;0.0;0.421;0.556;0.241;0.367;0.379;0.0;0.45;0.579;0.136;0.0;0.429;1.0;0.04
ENSMUST00000209124_90_90;0.483;0.538;0.519;0.231;0.182;0.364;0.0;0.136;0.0;0.636;0.0;0.409;0.231;0.583;0.483;0.5;0.0;0.148;0.143;0.688;0.176;0.048;0.04;1.0
