;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENST00000612035_90_90;0.776;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.776;0.742;0.064;0.809;0.73;0.382
ENST00000612116_90_90;0.776;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.776;0.742;0.064;0.809;0.73;0.382
ENST00000614600_90_90;0.776;0.153;0.172;0.334;0.17;0.085;0.085;0.085;0.292;0.806;1.0;1.0;1.0;0.761;0.962;0.806;0.087;0.944;0.773;0.085;0.776;0.742;0.064;0.809;0.73;0.382
ENST00000616681_90_90;0.927;0.132;0.139;0.234;0.149;0.073;0.073;0.073;0.2;0.955;0.761;0.761;0.761;1.0;0.729;0.955;0.076;0.797;0.922;0.073;0.927;0.893;0.054;0.888;0.972;0.269
ENST00000616784_90_90;0.742;0.159;0.177;0.349;0.178;0.087;0.087;0.087;0.306;0.773;0.962;0.962;0.962;0.729;1.0;0.773;0.091;0.906;0.801;0.087;0.742;0.77;0.067;0.773;0.697;0.4
ENST00000618940_90_90;0.973;0.126;0.133;0.28;0.142;0.07;0.07;0.07;0.245;1.0;0.806;0.806;0.806;0.955;0.773;1.0;0.073;0.761;0.968;0.07;0.973;0.94;0.052;0.934;0.927;0.315
ENST00000620039_90_90;0.077;0.0;0.0;0.268;0.493;0.571;0.571;0.571;0.303;0.073;0.087;0.087;0.087;0.076;0.091;0.073;1.0;0.092;0.075;0.571;0.077;0.081;0.715;0.081;0.082;0.23
ENST00000621668_90_90;0.73;0.162;0.182;0.278;0.18;0.089;0.089;0.089;0.237;0.761;0.944;0.944;0.944;0.797;0.906;0.761;0.092;1.0;0.729;0.089;0.73;0.697;0.068;0.761;0.766;0.325
ENST00000621914_90_90;0.94;0.13;0.137;0.291;0.148;0.073;0.073;0.073;0.255;0.968;0.773;0.773;0.773;0.922;0.801;0.968;0.075;0.729;1.0;0.073;0.94;0.972;0.053;0.9;0.893;0.328
ENST00000628168_90_90;0.104;0.0;0.0;0.243;0.416;1.0;1.0;1.0;0.272;0.07;0.085;0.085;0.085;0.073;0.087;0.07;0.571;0.089;0.073;1.0;0.104;0.109;0.629;0.11;0.11;0.287
ENSMUST00000018875_90_90;1.0;0.111;0.138;0.263;0.121;0.104;0.104;0.104;0.228;0.973;0.776;0.776;0.776;0.927;0.742;0.973;0.077;0.73;0.94;0.104;1.0;0.968;0.049;0.932;0.955;0.33
ENSMUST00000065692_90_90;0.968;0.114;0.142;0.275;0.126;0.109;0.109;0.109;0.237;0.94;0.742;0.742;0.742;0.893;0.77;0.94;0.081;0.697;0.972;0.109;0.968;1.0;0.05;0.901;0.922;0.343
ENSMUST00000142680_90_90;0.049;0.0;0.0;0.218;0.445;0.629;0.629;0.629;0.251;0.052;0.064;0.064;0.064;0.054;0.067;0.052;0.715;0.068;0.053;0.629;0.049;0.05;1.0;0.049;0.051;0.167
ENSMUST00000176430_90_90;0.962;0.115;0.143;0.276;0.127;0.11;0.11;0.11;0.238;0.934;0.809;0.809;0.809;0.888;0.773;0.934;0.081;0.761;0.9;0.11;0.932;0.901;0.049;1.0;0.889;0.331
ENSMUST00000176523_90_90;0.955;0.116;0.144;0.217;0.127;0.11;0.11;0.11;0.181;0.927;0.73;0.73;0.73;0.972;0.697;0.927;0.082;0.766;0.893;0.11;0.955;0.922;0.051;0.889;1.0;0.285
ENSMUST00000176944_90_90;0.33;0.0;0.0;0.767;0.367;0.287;0.287;0.287;0.665;0.315;0.382;0.382;0.382;0.269;0.4;0.315;0.23;0.325;0.328;0.287;0.33;0.343;0.167;0.331;0.285;1.0
