;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript43_MGP-CAROLIEiJ-G0020234;transcript26_MGP-PahariEiJ-G0020237;transcript33_ENSRNOG00000031503;transcript26_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript41_ENSMSIG00000000513;transcript43_ENSMSIG00000000513;transcript46_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript22_MGP-CAROLIEiJ-G0020234;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript42_MGP-CAROLIEiJ-G0020234;transcript33_MGP-CAROLIEiJ-G0020234;transcript41_MGP-SPRETEiJ-G0021131;transcript22_MGP-SPRETEiJ-G0021131;transcript36_ENSMUSG00000054036;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592;transcript18_ENSMUGG00000013592;transcript33_ENSMUGG00000013592;transcript32_ENSMUGG00000013592;transcript23_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript19_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript9_ENSRNOG00000031503
transcript36_ENSMUSG00000054036;0.309;0.379;0.372;0.333;0.607;0.339;0.339;0.33;0.407;0.407;0.425;0.425;0.876;0.865;0.843;0.843;0.82;0.407;0.91;1.0;0.737;0.737;0.728;0.888;0.91;0.656;0.656;0.648;0.562;0.636;0.545
transcript34_ENSMUGG00000013592;0.366;0.377;0.286;0.518;0.509;0.536;0.536;0.527;0.312;0.312;0.339;0.339;0.723;0.714;0.696;0.696;0.679;0.312;0.75;0.737;1.0;1.0;0.991;0.732;0.75;0.562;0.562;0.571;0.696;0.518;0.446
transcript35_ENSMUGG00000013592;0.366;0.377;0.286;0.518;0.509;0.536;0.536;0.527;0.312;0.312;0.339;0.339;0.723;0.714;0.696;0.696;0.679;0.312;0.75;0.737;1.0;1.0;0.991;0.732;0.75;0.562;0.562;0.571;0.696;0.518;0.446
transcript18_ENSMUGG00000013592;0.357;0.368;0.277;0.509;0.514;0.527;0.527;0.518;0.304;0.304;0.33;0.33;0.714;0.705;0.688;0.688;0.67;0.304;0.741;0.728;0.991;0.991;1.0;0.723;0.741;0.568;0.568;0.577;0.703;0.523;0.45
transcript33_ENSMUGG00000013592;0.323;0.351;0.341;0.284;0.695;0.291;0.291;0.294;0.376;0.376;0.364;0.364;0.874;0.884;0.905;0.905;0.927;0.376;0.908;0.888;0.732;0.732;0.723;1.0;0.976;0.648;0.648;0.64;0.553;0.667;0.517
transcript32_ENSMUGG00000013592;0.316;0.344;0.333;0.303;0.679;0.309;0.309;0.3;0.368;0.368;0.386;0.386;0.897;0.907;0.929;0.929;0.905;0.368;0.931;0.91;0.75;0.75;0.741;0.976;1.0;0.67;0.67;0.663;0.573;0.69;0.54
transcript23_ENSRNOG00000031503;0.268;0.317;0.357;0.301;0.905;0.309;0.309;0.298;0.38;0.38;0.403;0.403;0.674;0.663;0.64;0.64;0.616;0.38;0.67;0.656;0.562;0.562;0.568;0.648;0.67;1.0;1.0;0.984;0.808;0.921;0.794
transcript21_ENSRNOG00000031503;0.268;0.317;0.357;0.301;0.905;0.309;0.309;0.298;0.38;0.38;0.403;0.403;0.674;0.663;0.64;0.64;0.616;0.38;0.67;0.656;0.562;0.562;0.568;0.648;0.67;1.0;1.0;0.984;0.808;0.921;0.794
transcript19_ENSRNOG00000031503;0.265;0.313;0.352;0.312;0.891;0.319;0.319;0.309;0.375;0.375;0.417;0.417;0.667;0.655;0.632;0.632;0.609;0.375;0.663;0.648;0.571;0.571;0.577;0.64;0.663;0.984;0.984;1.0;0.821;0.906;0.781
transcript18_ENSRNOG00000031503;0.322;0.337;0.294;0.447;0.731;0.468;0.468;0.457;0.314;0.314;0.349;0.349;0.574;0.564;0.545;0.545;0.525;0.314;0.573;0.562;0.696;0.696;0.703;0.553;0.573;0.808;0.808;0.821;1.0;0.744;0.641
transcript32_ENSRNOG00000031503;0.286;0.321;0.324;0.275;0.949;0.283;0.283;0.272;0.348;0.348;0.371;0.371;0.635;0.643;0.659;0.659;0.634;0.348;0.632;0.636;0.518;0.518;0.523;0.667;0.69;0.921;0.921;0.906;0.744;1.0;0.77
transcript9_ENSRNOG00000031503;0.247;0.267;0.323;0.241;0.726;0.264;0.264;0.253;0.328;0.328;0.354;0.354;0.578;0.566;0.542;0.542;0.518;0.308;0.54;0.545;0.446;0.446;0.45;0.517;0.54;0.794;0.794;0.781;0.641;0.77;1.0
