;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENST00000429041_90_90;0.261;0.251;0.313;0.441;0.226;0.251;0.251;0.226;0.226;0.319;1.0;0.323;0.261;0.261;0.305;0.331;0.698;0.118;0.435;0.435;0.226;0.313;0.251;0.226;0.251;0.261;0.261;0.331;0.331;0.363;0.459
ENST00000432379_90_90;0.386;0.372;0.463;0.654;0.334;0.372;0.372;0.334;0.334;0.995;0.323;1.0;0.385;0.385;0.451;0.176;0.301;0.607;0.794;0.794;0.333;0.462;0.37;0.333;0.37;0.382;0.382;0.176;0.176;0.531;0.671
ENST00000229794_90_90;0.994;0.509;0.428;0.53;0.458;0.498;0.439;0.405;0.458;0.383;0.261;0.385;1.0;0.862;0.853;0.786;0.369;0.244;0.448;0.448;0.464;0.428;0.504;0.41;0.444;0.859;0.996;0.786;0.786;0.695;0.562
ENST00000229795_90_90;0.857;0.432;0.428;0.53;0.394;0.426;0.373;0.345;0.394;0.383;0.261;0.385;0.862;1.0;0.725;0.663;0.369;0.244;0.448;0.448;0.395;0.428;0.427;0.345;0.373;0.859;0.859;0.663;0.663;0.579;0.562
ENST00000310795_90_90;0.851;0.57;0.483;0.617;0.508;0.557;0.489;0.448;0.508;0.448;0.305;0.451;0.853;0.725;1.0;0.639;0.432;0.285;0.524;0.524;0.514;0.483;0.565;0.453;0.495;0.722;0.849;0.639;0.639;0.813;0.659
ENST00000468133_90_90;0.783;0.356;0.266;0.33;0.318;0.346;0.293;0.27;0.318;0.174;0.331;0.176;0.786;0.663;0.639;1.0;0.469;0.071;0.239;0.239;0.323;0.266;0.351;0.274;0.297;0.663;0.786;1.0;1.0;0.486;0.351
ENST00000472333_90_90;0.369;0.339;0.393;0.549;0.3;0.333;0.323;0.291;0.3;0.298;0.698;0.301;0.369;0.369;0.432;0.469;1.0;0.125;0.404;0.404;0.3;0.393;0.333;0.291;0.323;0.369;0.369;0.469;0.469;0.514;0.603
ENST00000474429_90_90;0.242;0.227;0.283;0.399;0.205;0.227;0.227;0.205;0.205;0.61;0.118;0.607;0.244;0.244;0.285;0.071;0.125;1.0;0.505;0.505;0.205;0.283;0.227;0.205;0.227;0.241;0.241;0.071;0.071;0.336;0.425
ENST00000491957_90_90;0.447;0.414;0.513;0.715;0.373;0.414;0.414;0.373;0.373;0.79;0.435;0.794;0.448;0.448;0.524;0.239;0.404;0.505;1.0;1.0;0.373;0.513;0.414;0.373;0.414;0.446;0.446;0.239;0.239;0.616;0.775
ENST00000622903_90_90;0.447;0.414;0.513;0.715;0.373;0.414;0.414;0.373;0.373;0.79;0.435;0.794;0.448;0.448;0.524;0.239;0.404;0.505;1.0;1.0;0.373;0.513;0.414;0.373;0.414;0.446;0.446;0.239;0.239;0.616;0.775
ENSMUST00000022504_90_90;0.465;0.883;0.713;0.466;0.989;0.882;0.784;0.885;0.989;0.332;0.226;0.333;0.464;0.395;0.514;0.323;0.3;0.205;0.373;0.373;1.0;0.715;0.892;0.894;0.792;0.462;0.462;0.323;0.323;0.584;0.464
ENSMUST00000111942_90_90;0.429;0.801;0.998;0.639;0.713;0.801;0.801;0.713;0.713;0.459;0.313;0.462;0.428;0.428;0.483;0.266;0.393;0.283;0.513;0.513;0.715;1.0;0.802;0.715;0.802;0.444;0.426;0.266;0.266;0.562;0.641
ENSMUST00000111943_90_90;0.505;0.99;0.801;0.516;0.882;0.988;0.873;0.784;0.882;0.369;0.251;0.37;0.504;0.427;0.565;0.351;0.333;0.227;0.414;0.414;0.892;0.802;1.0;0.792;0.882;0.502;0.502;0.351;0.351;0.649;0.515
ENSMUST00000111944_90_90;0.41;0.797;0.713;0.466;0.885;0.784;0.883;0.991;0.885;0.332;0.226;0.333;0.41;0.345;0.453;0.274;0.291;0.205;0.373;0.373;0.894;0.715;0.792;1.0;0.892;0.408;0.408;0.274;0.274;0.512;0.464
ENSMUST00000111945_90_90;0.445;0.889;0.801;0.516;0.784;0.873;0.99;0.883;0.784;0.369;0.251;0.37;0.444;0.373;0.495;0.297;0.323;0.227;0.414;0.414;0.792;0.802;0.882;0.892;1.0;0.442;0.442;0.297;0.297;0.566;0.515
ENSMUST00000004990_90_90;0.854;0.507;0.444;0.528;0.461;0.501;0.442;0.408;0.461;0.38;0.261;0.382;0.859;0.859;0.722;0.663;0.369;0.241;0.446;0.446;0.462;0.444;0.502;0.408;0.442;1.0;0.862;0.663;0.663;0.598;0.565
ENSMUST00000062694_90_90;0.991;0.507;0.426;0.528;0.457;0.496;0.437;0.404;0.457;0.38;0.261;0.382;0.996;0.859;0.849;0.786;0.369;0.241;0.446;0.446;0.462;0.426;0.502;0.408;0.442;0.862;1.0;0.786;0.786;0.698;0.565
ENSMUST00000114752_90_90;0.783;0.356;0.266;0.33;0.318;0.346;0.293;0.27;0.318;0.174;0.331;0.176;0.786;0.663;0.639;1.0;0.469;0.071;0.239;0.239;0.323;0.266;0.351;0.274;0.297;0.663;0.786;1.0;1.0;0.486;0.351
ENSMUST00000114754_90_90;0.783;0.356;0.266;0.33;0.318;0.346;0.293;0.27;0.318;0.174;0.331;0.176;0.786;0.663;0.639;1.0;0.469;0.071;0.239;0.239;0.323;0.266;0.351;0.274;0.297;0.663;0.786;1.0;1.0;0.486;0.351
ENSMUST00000114758_90_90;0.693;0.656;0.562;0.723;0.577;0.641;0.56;0.507;0.577;0.529;0.363;0.531;0.695;0.579;0.813;0.486;0.514;0.336;0.616;0.616;0.584;0.562;0.649;0.512;0.566;0.598;0.698;0.486;0.486;1.0;0.788
ENSMUST00000124886_90_90;0.56;0.515;0.641;0.901;0.464;0.515;0.515;0.464;0.464;0.668;0.459;0.671;0.562;0.562;0.659;0.351;0.603;0.425;0.775;0.775;0.464;0.641;0.515;0.464;0.515;0.565;0.565;0.351;0.351;0.788;1.0
