;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript7_ENSHGLG00100006079;0.85;0.944;0.31;0.31;0.296;0.299;0.254;0.28;0.85;0.85;1.0;1.0;0.956;0.285;0.659;0.513;0.659;0.956;0.956;0.956;0.956;0.956;0.956;0.945;0.285
transcript10_ENSHGLG00100006079;0.85;0.944;0.31;0.31;0.296;0.299;0.254;0.28;0.85;0.85;1.0;1.0;0.956;0.285;0.659;0.513;0.659;0.956;0.956;0.956;0.956;0.956;0.956;0.945;0.285
transcript10_ENSMUNG00000002391;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript3_ENSMUNG00000002391;0.252;0.293;0.9;0.9;0.942;0.935;0.952;0.862;0.252;0.252;0.285;0.285;0.298;1.0;0.188;0.146;0.188;0.298;0.298;0.298;0.298;0.298;0.298;0.295;0.999
transcript11_ENSHGLG00000019563;0.736;0.642;0.209;0.209;0.199;0.201;0.197;0.217;0.736;0.736;0.659;0.659;0.63;0.188;1.0;0.779;1.0;0.63;0.63;0.63;0.63;0.63;0.63;0.618;0.188
transcript26_ENSHGLG00000019563;0.573;0.5;0.163;0.163;0.155;0.157;0.153;0.169;0.573;0.573;0.513;0.513;0.49;0.146;0.779;1.0;0.779;0.49;0.49;0.49;0.49;0.49;0.49;0.479;0.146
transcript27_ENSHGLG00000019563;0.736;0.642;0.209;0.209;0.199;0.201;0.197;0.217;0.736;0.736;0.659;0.659;0.63;0.188;1.0;0.779;1.0;0.63;0.63;0.63;0.63;0.63;0.63;0.618;0.188
transcript8_ENSHGLG00100003156;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript10_ENSHGLG00100003156;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript20_ENSHGLG00100003156;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript8_ENSHGLG00000019563;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript10_ENSHGLG00000019563;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript13_ENSHGLG00000019563;0.841;0.981;0.323;0.323;0.309;0.311;0.258;0.283;0.841;0.841;0.956;0.956;1.0;0.298;0.63;0.49;0.63;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.298
transcript28_ENSHGLG00000019563;0.829;0.969;0.319;0.319;0.305;0.308;0.254;0.28;0.829;0.829;0.945;0.945;0.989;0.295;0.618;0.479;0.618;0.989;0.989;0.989;0.989;0.989;0.989;1.0;0.294
transcript3_ENSMUNG00000007775;0.252;0.292;0.9;0.9;0.942;0.935;0.953;0.862;0.252;0.252;0.285;0.285;0.298;0.999;0.188;0.146;0.188;0.298;0.298;0.298;0.298;0.298;0.298;0.294;1.0
