;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript43_ENSCGRG00000018457;0.716;0.716;0.716;0.716;1.0;0.974;0.895;0.974;0.974;0.956;1.0;0.91;0.974;0.989;0.91;0.836;0.921;0.953;0.921;0.951;0.907;0.881;0.882;0.963;0.963;0.888;0.963
transcript7_ENSCGRG00001010245;0.716;0.716;0.716;0.716;1.0;0.887;0.959;0.887;0.887;0.869;0.91;1.0;0.874;0.922;1.0;0.772;0.871;0.868;0.871;0.866;0.828;0.802;0.797;0.898;0.898;0.825;0.898
transcript26_ENSCGRG00001010245;0.716;0.716;0.716;0.716;1.0;1.0;0.922;1.0;1.0;0.982;0.974;0.874;1.0;0.95;0.874;0.803;0.928;0.974;0.928;0.972;0.925;0.9;0.905;0.976;0.976;0.902;0.976
transcript29_ENSCGRG00001010245;0.716;0.716;0.716;0.716;1.0;0.963;0.887;0.963;0.963;0.946;0.989;0.922;0.95;1.0;0.922;0.849;0.932;0.928;0.932;0.927;0.915;0.889;0.884;0.974;0.974;0.9;0.974
transcript37_ENSCGRG00001010245;0.716;0.716;0.716;0.716;1.0;0.887;0.959;0.887;0.887;0.869;0.91;1.0;0.874;0.922;1.0;0.772;0.871;0.868;0.871;0.866;0.828;0.802;0.797;0.898;0.898;0.825;0.898
transcript38_ENSCGRG00001010245;0.297;0.297;0.297;0.297;0.433;0.814;0.737;0.814;0.814;0.796;0.836;0.772;0.803;0.849;0.772;1.0;0.789;0.786;0.789;0.784;0.784;0.758;0.752;0.827;0.827;0.754;0.827
transcript15_ENSPEMG00000024651;0.716;0.716;0.716;0.716;0.971;0.943;0.881;0.943;0.943;0.926;0.921;0.871;0.928;0.932;0.871;0.789;1.0;0.954;1.0;0.952;0.906;0.877;0.873;0.953;0.953;0.883;0.953
transcript22_ENSPEMG00000024651;0.708;0.708;0.708;0.708;0.971;0.974;0.912;0.974;0.974;0.958;0.953;0.868;0.974;0.928;0.868;0.786;0.954;1.0;0.954;0.998;0.903;0.874;0.879;0.95;0.95;0.881;0.95
transcript24_ENSPEMG00000024651;0.716;0.716;0.716;0.716;0.971;0.943;0.881;0.943;0.943;0.926;0.921;0.871;0.928;0.932;0.871;0.789;1.0;0.954;1.0;0.952;0.906;0.877;0.873;0.953;0.953;0.883;0.953
transcript31_ENSPEMG00000024651;0.708;0.708;0.708;0.708;0.971;0.972;0.91;0.972;0.972;0.956;0.951;0.866;0.972;0.927;0.866;0.784;0.952;0.998;0.952;1.0;0.9;0.872;0.877;0.948;0.948;0.879;0.948
transcript5_ENSNGAG00000018584;0.686;0.686;0.686;0.686;0.907;0.938;0.85;0.938;0.938;0.922;0.907;0.828;0.925;0.915;0.828;0.784;0.906;0.903;0.906;0.9;1.0;0.974;0.968;0.946;0.946;0.879;0.946
transcript17_ENSNGAG00000018584;0.615;0.615;0.615;0.615;0.792;0.912;0.825;0.912;0.912;0.897;0.881;0.802;0.9;0.889;0.802;0.758;0.877;0.874;0.877;0.872;0.974;1.0;0.994;0.92;0.92;0.854;0.92
transcript20_ENSNGAG00000018584;0.615;0.615;0.615;0.615;0.792;0.913;0.825;0.913;0.913;0.898;0.882;0.797;0.905;0.884;0.797;0.752;0.873;0.879;0.873;0.877;0.968;0.994;1.0;0.915;0.915;0.849;0.915
transcript5_ENSSTOG00000019743;0.716;0.716;0.716;0.716;1.0;0.99;0.913;0.99;0.99;0.972;0.963;0.898;0.976;0.974;0.898;0.827;0.953;0.95;0.953;0.948;0.946;0.92;0.915;1.0;1.0;0.926;1.0
transcript12_ENSSTOG00000019743;0.716;0.716;0.716;0.716;1.0;0.99;0.913;0.99;0.99;0.972;0.963;0.898;0.976;0.974;0.898;0.827;0.953;0.95;0.953;0.948;0.946;0.92;0.915;1.0;1.0;0.926;1.0
transcript13_ENSSTOG00000019743;0.507;0.507;0.507;0.507;0.706;0.915;0.838;0.915;0.915;0.897;0.888;0.825;0.902;0.9;0.825;0.754;0.883;0.881;0.883;0.879;0.879;0.854;0.849;0.926;0.926;1.0;0.926
transcript14_ENSSTOG00000019743;0.716;0.716;0.716;0.716;1.0;0.99;0.913;0.99;0.99;0.972;0.963;0.898;0.976;0.974;0.898;0.827;0.953;0.95;0.953;0.948;0.946;0.92;0.915;1.0;1.0;0.926;1.0
