;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript25_ENSMPUG00000020072;0.52;0.385;0.42;0.486;0.984;0.743;0.986;0.745;0.691;0.857;0.986;0.778;0.585;0.927;0.86;0.647;0.748;1.0;0.745;0.041;0.032;0.039;0.046;0.746;0.709;0.649;0.695;0.579;0.68;0.701;0.857
transcript12_ENSECAG00000007947;0.43;0.388;0.426;0.488;0.756;0.998;0.757;1.0;0.705;0.871;0.757;0.623;0.599;0.715;0.68;0.695;0.797;0.745;1.0;0.041;0.034;0.039;0.048;0.768;0.73;0.663;0.706;0.597;0.684;0.708;0.871
transcript9_ENSMLUG00000027828;0.079;0.066;0.071;0.078;0.043;0.043;0.041;0.041;0.036;0.042;0.041;0.052;0.061;0.043;0.047;0.044;0.047;0.041;0.041;1.0;0.625;0.708;0.875;0.046;0.051;0.039;0.042;0.052;0.056;0.053;0.042
transcript9_ENSSTOG00000019743;0.061;0.082;0.067;0.067;0.034;0.036;0.032;0.034;0.044;0.036;0.032;0.04;0.042;0.034;0.036;0.041;0.04;0.032;0.034;0.625;1.0;0.727;0.75;0.032;0.036;0.047;0.04;0.049;0.048;0.046;0.036
transcript9_ENSCCNG00000000226;0.075;0.071;0.086;0.075;0.041;0.041;0.039;0.039;0.038;0.04;0.039;0.049;0.048;0.041;0.044;0.052;0.045;0.039;0.039;0.708;0.727;1.0;0.833;0.036;0.041;0.041;0.05;0.062;0.053;0.051;0.04
transcript9_ENSCPOG00000024843;0.088;0.08;0.084;0.09;0.048;0.05;0.045;0.048;0.043;0.048;0.045;0.057;0.06;0.048;0.052;0.051;0.054;0.046;0.048;0.875;0.75;0.833;1.0;0.045;0.05;0.046;0.05;0.061;0.064;0.061;0.048
transcript13_ENSMLUG00000027828;0.403;0.374;0.403;0.464;0.754;0.766;0.755;0.768;0.717;0.869;0.755;0.572;0.751;0.724;0.682;0.69;0.799;0.746;0.768;0.046;0.032;0.036;0.045;1.0;0.945;0.655;0.683;0.592;0.689;0.652;0.869
transcript14_ENSMLUG00000027828;0.423;0.392;0.423;0.487;0.72;0.732;0.718;0.73;0.69;0.825;0.718;0.534;0.696;0.757;0.643;0.652;0.754;0.709;0.73;0.051;0.036;0.041;0.05;0.945;1.0;0.627;0.646;0.553;0.643;0.608;0.825
transcript26_ENSSTOG00000019743;0.413;0.539;0.419;0.479;0.663;0.665;0.661;0.663;0.925;0.759;0.661;0.533;0.488;0.625;0.579;0.597;0.68;0.649;0.663;0.039;0.047;0.041;0.046;0.655;0.627;1.0;0.711;0.502;0.571;0.6;0.759
transcript26_ENSCCNG00000000226;0.45;0.418;0.555;0.513;0.706;0.708;0.704;0.706;0.665;0.791;0.704;0.58;0.525;0.661;0.628;0.823;0.72;0.695;0.706;0.042;0.04;0.05;0.05;0.683;0.646;0.711;1.0;0.679;0.605;0.64;0.791
transcript18_ENSCCNG00000000226;0.544;0.506;0.682;0.619;0.574;0.6;0.572;0.597;0.548;0.644;0.572;0.441;0.424;0.528;0.493;0.651;0.569;0.579;0.597;0.052;0.049;0.062;0.061;0.592;0.553;0.502;0.679;1.0;0.859;0.487;0.644
transcript18_ENSCPOG00000024843;0.594;0.546;0.586;0.674;0.674;0.686;0.671;0.684;0.636;0.75;0.671;0.485;0.463;0.618;0.559;0.58;0.64;0.68;0.684;0.056;0.048;0.053;0.064;0.689;0.643;0.571;0.605;0.859;1.0;0.533;0.75
transcript32_ENSCPOG00000024843;0.37;0.339;0.367;0.403;0.715;0.71;0.713;0.708;0.664;0.783;0.713;0.878;0.832;0.66;0.6;0.615;0.674;0.701;0.708;0.053;0.046;0.051;0.061;0.652;0.608;0.6;0.64;0.487;0.533;1.0;0.783
transcript33_ENSCPOG00000024843;0.445;0.41;0.439;0.505;0.871;0.873;0.869;0.871;0.821;1.0;0.869;0.688;0.652;0.817;0.759;0.767;0.891;0.857;0.871;0.042;0.036;0.04;0.048;0.869;0.825;0.759;0.791;0.644;0.75;0.783;1.0
