;transcript7_ENSMSIG00000000513;transcript38_ENSMSIG00000000513;transcript52_ENSMSIG00000000513;transcript58_ENSMSIG00000000513;transcript38_MGP-SPRETEiJ-G0021131;transcript52_MGP-SPRETEiJ-G0021131;transcript63_MGP-SPRETEiJ-G0021131;transcript38_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript58_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript39_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript31_ENSRNOG00000031503;transcript32_ENSRNOG00000031503;transcript39_ENSRNOG00000031503;transcript50_ENSRNOG00000031503;transcript12_ENSMUGG00000013649;transcript32_ENSMUGG00000013649;transcript50_ENSMUGG00000013649;transcript32_ENSMUGG00000013592
transcript58_ENSMUSG00000054036;0.585;0.639;0.654;0.654;0.703;0.724;0.722;0.771;0.799;0.786;1.0;0.704;0.764;0.694;0.662;0.664;0.664;0.678;0.673;0.662;0.688;0.662;0.686
transcript8_MGP-CAROLIEiJ-G0020234;0.809;0.807;0.881;0.881;0.649;0.693;0.626;0.858;0.907;0.839;0.704;1.0;0.96;0.799;0.754;0.793;0.793;0.77;0.8;0.784;0.809;0.784;0.807
transcript47_MGP-CAROLIEiJ-G0020234;0.875;0.876;0.942;0.942;0.752;0.795;0.731;0.91;0.955;0.893;0.764;0.96;1.0;0.859;0.804;0.842;0.842;0.82;0.849;0.839;0.863;0.839;0.861
transcript39_MGP-PahariEiJ-G0020237;0.754;0.859;0.817;0.817;0.823;0.718;0.823;0.91;0.881;0.91;0.694;0.799;0.859;1.0;0.956;0.97;0.97;0.97;0.95;0.977;1.0;0.977;1.0
transcript8_ENSRNOG00000031503;0.715;0.807;0.757;0.757;0.765;0.656;0.79;0.857;0.839;0.876;0.662;0.754;0.804;0.956;1.0;0.968;0.968;0.987;0.948;0.937;0.939;0.937;0.936
transcript31_ENSRNOG00000031503;0.727;0.849;0.8;0.8;0.817;0.708;0.795;0.893;0.837;0.874;0.664;0.793;0.842;0.97;0.968;1.0;1.0;0.98;0.98;0.944;0.97;0.944;0.968
transcript32_ENSRNOG00000031503;0.727;0.849;0.8;0.8;0.817;0.708;0.795;0.893;0.837;0.874;0.664;0.793;0.842;0.97;0.968;1.0;1.0;0.98;0.98;0.944;0.97;0.944;0.968
transcript39_ENSRNOG00000031503;0.701;0.825;0.775;0.775;0.787;0.678;0.812;0.872;0.854;0.891;0.678;0.77;0.82;0.97;0.987;0.98;0.98;1.0;0.962;0.924;0.951;0.924;0.949
transcript50_ENSRNOG00000031503;0.74;0.825;0.815;0.815;0.787;0.732;0.765;0.872;0.848;0.853;0.673;0.8;0.849;0.95;0.948;0.98;0.98;0.962;1.0;0.924;0.951;0.924;0.949
transcript12_ENSMUGG00000013649;0.79;0.833;0.794;0.794;0.79;0.692;0.773;0.888;0.843;0.873;0.662;0.784;0.839;0.977;0.937;0.944;0.944;0.924;0.924;1.0;0.979;1.0;0.976
transcript32_ENSMUGG00000013649;0.766;0.862;0.824;0.824;0.827;0.728;0.809;0.912;0.868;0.897;0.688;0.809;0.863;1.0;0.939;0.97;0.97;0.951;0.951;0.979;1.0;0.979;0.998
transcript50_ENSMUGG00000013649;0.79;0.833;0.794;0.794;0.79;0.692;0.773;0.888;0.843;0.873;0.662;0.784;0.839;0.977;0.937;0.944;0.944;0.924;0.924;1.0;0.979;1.0;0.976
transcript32_ENSMUGG00000013592;0.764;0.86;0.821;0.821;0.826;0.728;0.808;0.911;0.867;0.896;0.686;0.807;0.861;1.0;0.936;0.968;0.968;0.949;0.949;0.976;0.998;0.976;1.0
