;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript10_ENSHGLG00100003156;0.514;0.533;0.618;0.568;0.773;0.632;0.632;0.997;1.0;0.684;1.0;1.0;1.0;0.964;0.964;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.666;0.666;0.773;0.676;0.97
transcript17_ENSHGLG00100003156;0.514;0.533;0.618;0.568;0.773;0.632;0.632;0.997;1.0;0.684;1.0;1.0;1.0;0.964;0.964;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.666;0.666;0.773;0.676;0.97
transcript17_ENSHGLG00000019563;0.514;0.533;0.618;0.568;0.773;0.632;0.632;0.997;1.0;0.684;1.0;1.0;1.0;0.964;0.964;0.964;0.439;0.898;0.664;0.958;0.958;0.958;0.767;0.666;0.666;0.773;0.676;0.97
transcript20_ENSHGLG00100003156;0.501;0.519;0.602;0.553;0.745;0.616;0.616;0.962;0.964;0.667;0.964;0.964;0.964;1.0;1.0;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.691;0.691;0.745;0.695;0.994
transcript13_ENSHGLG00000019563;0.501;0.519;0.602;0.553;0.745;0.616;0.616;0.962;0.964;0.667;0.964;0.964;0.964;1.0;1.0;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.691;0.691;0.745;0.695;0.994
transcript25_ENSHGLG00000019563;0.501;0.519;0.602;0.553;0.745;0.616;0.616;0.962;0.964;0.667;0.964;0.964;0.964;1.0;1.0;1.0;0.474;0.934;0.688;0.994;0.994;0.994;0.739;0.691;0.691;0.745;0.695;0.994
transcript26_ENSHGLG00000019563;0.132;0.13;0.214;0.153;0.219;0.228;0.228;0.437;0.439;0.303;0.439;0.439;0.439;0.474;0.474;0.474;1.0;0.408;0.325;0.469;0.469;0.469;0.214;0.328;0.328;0.219;0.328;0.469
transcript27_ENSHGLG00000019563;0.452;0.47;0.553;0.502;0.679;0.567;0.567;0.896;0.898;0.621;0.898;0.898;0.898;0.934;0.934;0.934;0.408;1.0;0.649;0.939;0.939;0.939;0.683;0.645;0.645;0.679;0.649;0.928
transcript0_ENSHGLG00100006079;0.704;0.721;0.804;0.716;0.512;0.817;0.817;0.662;0.664;0.967;0.664;0.664;0.664;0.688;0.688;0.688;0.325;0.649;1.0;0.691;0.691;0.691;0.514;0.993;0.993;0.512;0.978;0.685
transcript13_ENSHGLG00100006079;0.497;0.515;0.597;0.548;0.739;0.611;0.611;0.956;0.958;0.663;0.958;0.958;0.958;0.994;0.994;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.687;0.687;0.739;0.691;0.989
transcript20_ENSHGLG00100006079;0.497;0.515;0.597;0.548;0.739;0.611;0.611;0.956;0.958;0.663;0.958;0.958;0.958;0.994;0.994;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.687;0.687;0.739;0.691;0.989
transcript21_ENSHGLG00100006079;0.497;0.515;0.597;0.548;0.739;0.611;0.611;0.956;0.958;0.663;0.958;0.958;0.958;0.994;0.994;0.994;0.469;0.939;0.691;1.0;1.0;1.0;0.743;0.687;0.687;0.739;0.691;0.989
transcript22_ENSHGLG00100006079;0.612;0.634;0.63;0.548;0.992;0.62;0.62;0.767;0.767;0.524;0.767;0.767;0.767;0.739;0.739;0.739;0.214;0.683;0.514;0.743;0.743;0.743;1.0;0.51;0.51;0.992;0.519;0.743
transcript0_ENSXMAG00000026005;0.71;0.727;0.811;0.718;0.514;0.824;0.824;0.664;0.666;0.974;0.666;0.666;0.666;0.691;0.691;0.691;0.328;0.645;0.993;0.687;0.687;0.687;0.51;1.0;1.0;0.514;0.984;0.687
transcript0_ENSPNYG00000024266;0.71;0.727;0.811;0.718;0.514;0.824;0.824;0.664;0.666;0.974;0.666;0.666;0.666;0.691;0.691;0.691;0.328;0.645;0.993;0.687;0.687;0.687;0.51;1.0;1.0;0.514;0.984;0.687
transcript22_ENSMUNG00000002391;0.617;0.64;0.634;0.553;1.0;0.624;0.624;0.773;0.773;0.528;0.773;0.773;0.773;0.745;0.745;0.745;0.219;0.679;0.512;0.739;0.739;0.739;0.992;0.514;0.514;1.0;0.523;0.749
transcript0_ENSMUNG00000002391;0.721;0.739;0.824;0.729;0.523;0.837;0.837;0.675;0.676;0.969;0.676;0.676;0.676;0.695;0.695;0.695;0.328;0.649;0.978;0.691;0.691;0.691;0.519;0.984;0.984;0.523;1.0;0.698
transcript21_ENSMUNG00000002391;0.503;0.521;0.604;0.555;0.749;0.618;0.618;0.967;0.97;0.669;0.97;0.97;0.97;0.994;0.994;0.994;0.469;0.928;0.685;0.989;0.989;0.989;0.743;0.687;0.687;0.749;0.698;1.0
