;ENSCAFT00000017823_90_90;ENST00000257075_90_90;ENST00000373741_90_90;ENST00000373742_90_90;ENST00000373747_90_90;ENST00000424085_90_90;ENST00000426105_90_90;ENST00000440538_90_90;ENST00000480602_90_90;ENST00000498419_90_90;ENST00000525843_90_90;ENST00000525948_90_90;ENST00000525997_90_90;ENST00000526215_90_90;ENST00000527498_90_90;ENST00000529846_90_90;ENST00000530669_90_90;ENST00000531867_90_90;ENST00000532678_90_90;ENSMUST00000030315_90_90;ENSMUST00000097862_90_90;ENSMUST00000097864_90_90;ENSMUST00000105991_90_90;ENSMUST00000105992_90_90;ENSMUST00000143277_90_90
ENST00000525843_90_90;0.901;0.889;0.891;0.865;0.89;0.731;0.875;0.852;0.098;0.638;1.0;0.073;0.157;0.073;0.04;0.217;0.051;0.073;0.194;0.901;0.885;0.899;0.738;0.831;0.231
ENST00000525948_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.341
ENST00000525997_90_90;0.14;0.154;0.144;0.153;0.15;0.186;0.151;0.155;0.0;0.192;0.157;0.0;1.0;0.0;0.0;0.474;0.155;0.0;0.0;0.135;0.137;0.138;0.168;0.146;0.0
ENST00000526215_90_90;0.072;0.071;0.067;0.07;0.069;0.085;0.07;0.072;0.447;0.0;0.073;1.0;0.0;1.0;0.0;0.0;0.0;0.61;0.0;0.069;0.07;0.071;0.085;0.074;0.341
ENST00000527498_90_90;0.085;0.085;0.079;0.083;0.082;0.101;0.083;0.085;0.0;0.104;0.04;0.0;0.0;0.0;1.0;0.051;0.0;0.0;0.0;0.082;0.083;0.085;0.101;0.088;0.0
ENST00000529846_90_90;0.223;0.216;0.218;0.211;0.228;0.258;0.233;0.239;0.0;0.287;0.217;0.0;0.474;0.0;0.051;1.0;0.057;0.0;0.0;0.213;0.216;0.201;0.239;0.229;0.0
ENST00000530669_90_90;0.069;0.051;0.047;0.049;0.049;0.06;0.05;0.051;0.0;0.061;0.051;0.0;0.155;0.0;0.0;0.057;1.0;0.0;0.0;0.066;0.067;0.069;0.081;0.071;0.0
ENST00000531867_90_90;0.073;0.072;0.067;0.071;0.07;0.086;0.071;0.073;0.637;0.0;0.073;0.61;0.0;0.61;0.0;0.0;0.0;1.0;0.0;0.07;0.071;0.072;0.086;0.075;0.345
ENST00000532678_90_90;0.192;0.19;0.177;0.189;0.184;0.124;0.188;0.192;0.0;0.204;0.194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.184;0.188;0.19;0.124;0.199;0.136
ENSMUST00000030315_90_90;1.0;0.955;0.959;0.905;0.986;0.794;0.97;0.945;0.095;0.743;0.901;0.069;0.135;0.069;0.082;0.213;0.066;0.07;0.184;1.0;0.985;0.969;0.809;0.929;0.209
ENSMUST00000097862_90_90;0.984;0.968;0.974;0.889;0.97;0.806;0.985;0.929;0.097;0.728;0.885;0.07;0.137;0.07;0.083;0.216;0.067;0.071;0.188;0.985;1.0;0.984;0.822;0.945;0.213
ENSMUST00000097864_90_90;0.968;0.984;0.958;0.903;0.955;0.82;0.968;0.913;0.098;0.713;0.899;0.071;0.138;0.071;0.085;0.201;0.069;0.072;0.19;0.969;0.984;1.0;0.836;0.928;0.217
ENSMUST00000105991_90_90;0.8;0.82;0.797;0.844;0.794;0.982;0.806;0.753;0.117;0.74;0.738;0.085;0.168;0.085;0.101;0.239;0.081;0.086;0.124;0.809;0.822;0.836;1.0;0.869;0.259
ENSMUST00000105992_90_90;0.927;0.913;0.918;0.941;0.915;0.854;0.929;0.874;0.103;0.771;0.831;0.074;0.146;0.074;0.088;0.229;0.071;0.075;0.199;0.929;0.945;0.928;0.869;1.0;0.225
ENSMUST00000143277_90_90;0.219;0.221;0.214;0.227;0.212;0.264;0.217;0.223;0.465;0.085;0.231;0.341;0.0;0.341;0.0;0.0;0.0;0.345;0.136;0.209;0.213;0.217;0.259;0.225;1.0
