;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript10_ENSMUNG00000002391;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript3_ENSMUNG00000002391;0.379;0.543;0.883;0.883;0.904;0.901;0.794;0.744;0.379;0.379;0.493;0.493;0.598;1.0;0.12;0.093;0.12;0.598;0.598;0.598;0.598;0.598;0.598;0.591;0.994
transcript11_ENSHGLG00000019563;0.405;0.354;0.135;0.135;0.13;0.131;0.137;0.147;0.405;0.405;0.366;0.366;0.344;0.12;1.0;0.79;1.0;0.344;0.344;0.344;0.344;0.344;0.344;0.332;0.12
transcript26_ENSHGLG00000019563;0.315;0.276;0.106;0.106;0.102;0.103;0.107;0.116;0.315;0.315;0.286;0.286;0.268;0.093;0.79;1.0;0.79;0.268;0.268;0.268;0.268;0.268;0.268;0.257;0.094
transcript27_ENSHGLG00000019563;0.405;0.354;0.135;0.135;0.13;0.131;0.137;0.147;0.405;0.405;0.366;0.366;0.344;0.12;1.0;0.79;1.0;0.344;0.344;0.344;0.344;0.344;0.344;0.332;0.12
transcript8_ENSHGLG00100003156;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript10_ENSHGLG00100003156;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript20_ENSHGLG00100003156;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript8_ENSHGLG00000019563;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript10_ENSHGLG00000019563;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript13_ENSHGLG00000019563;0.702;0.933;0.571;0.571;0.564;0.565;0.412;0.428;0.702;0.702;0.869;0.869;1.0;0.598;0.344;0.268;0.344;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.593
transcript28_ENSHGLG00000019563;0.69;0.921;0.564;0.564;0.557;0.558;0.406;0.421;0.69;0.69;0.857;0.857;0.989;0.591;0.332;0.257;0.332;0.989;0.989;0.989;0.989;0.989;0.989;1.0;0.585
transcript3_ENSMUNG00000007775;0.381;0.538;0.878;0.878;0.899;0.895;0.798;0.748;0.381;0.381;0.488;0.488;0.593;0.994;0.12;0.094;0.12;0.593;0.593;0.593;0.593;0.593;0.593;0.585;1.0
