;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript48_ENSMSIG00000000513;0.767;0.632;0.748;0.748;0.845;0.853;0.845;0.47;1.0;0.748;1.0;0.742;0.527;0.522;0.532;0.515;0.41;0.529;0.392;0.432;0.448;0.413;0.41;0.562;0.49;0.481;0.582;0.512;0.512;0.485;0.485
transcript49_ENSMSIG00000000513;0.539;0.627;0.993;0.993;0.594;0.752;0.594;0.487;0.742;0.993;0.742;1.0;0.747;0.744;0.757;0.74;0.638;0.783;0.618;0.625;0.703;0.605;0.638;0.809;0.654;0.64;0.777;0.738;0.738;0.644;0.644
transcript22_MGP-SPRETEiJ-G0021131;0.407;0.597;0.752;0.994;0.449;0.657;0.449;0.44;0.527;0.752;0.527;0.747;1.0;0.953;0.98;0.952;0.84;0.787;0.851;0.762;0.717;0.773;0.84;0.875;0.794;0.829;0.921;0.922;0.922;0.834;0.834
transcript22_MGP-CAROLIEiJ-G0020234;0.404;0.593;0.75;0.985;0.446;0.648;0.446;0.448;0.522;0.75;0.522;0.744;0.953;1.0;0.964;0.968;0.855;0.772;0.814;0.776;0.703;0.739;0.855;0.859;0.73;0.759;0.88;0.883;0.883;0.763;0.763
transcript36_ENSMUSG00000054036;0.412;0.617;0.763;0.999;0.454;0.66;0.454;0.448;0.532;0.763;0.532;0.757;0.98;0.964;1.0;0.964;0.851;0.79;0.839;0.773;0.72;0.763;0.851;0.878;0.807;0.843;0.908;0.909;0.909;0.848;0.848
transcript8_MGP-CAROLIEiJ-G0020234;0.394;0.598;0.746;0.964;0.437;0.639;0.437;0.463;0.515;0.746;0.515;0.74;0.952;0.968;0.964;1.0;0.883;0.769;0.84;0.802;0.726;0.763;0.883;0.857;0.726;0.756;0.878;0.881;0.881;0.76;0.76
transcript32_MGP-CAROLIEiJ-G0020234;0.325;0.591;0.644;0.824;0.332;0.471;0.332;0.525;0.41;0.644;0.41;0.638;0.84;0.855;0.851;0.883;1.0;0.742;0.95;0.908;0.794;0.862;1.0;0.744;0.636;0.666;0.769;0.772;0.772;0.671;0.671
transcript32_ENSRNOG00000031503;0.413;0.525;0.79;0.899;0.441;0.56;0.441;0.475;0.529;0.79;0.529;0.783;0.787;0.772;0.79;0.769;0.742;1.0;0.747;0.713;0.912;0.72;0.742;0.9;0.67;0.633;0.816;0.819;0.819;0.631;0.631
transcript32_ENSMUGG00000013592;0.309;0.572;0.624;0.814;0.315;0.441;0.315;0.503;0.392;0.624;0.392;0.618;0.851;0.814;0.839;0.84;0.95;0.747;1.0;0.862;0.806;0.909;0.95;0.734;0.645;0.675;0.78;0.782;0.782;0.68;0.68
transcript33_MGP-CAROLIEiJ-G0020234;0.353;0.553;0.631;0.774;0.348;0.531;0.348;0.578;0.432;0.631;0.432;0.625;0.762;0.776;0.773;0.802;0.908;0.713;0.862;1.0;0.767;0.946;0.908;0.665;0.573;0.605;0.694;0.696;0.696;0.609;0.609
transcript33_ENSRNOG00000031503;0.356;0.507;0.71;0.807;0.36;0.446;0.36;0.516;0.448;0.71;0.448;0.703;0.717;0.703;0.72;0.726;0.794;0.912;0.806;0.767;1.0;0.78;0.794;0.821;0.611;0.577;0.744;0.747;0.747;0.575;0.575
transcript33_ENSMUGG00000013592;0.336;0.534;0.611;0.765;0.33;0.497;0.33;0.553;0.413;0.611;0.413;0.605;0.773;0.739;0.763;0.763;0.862;0.72;0.909;0.946;0.78;1.0;0.862;0.657;0.582;0.614;0.704;0.706;0.706;0.618;0.618
transcript42_MGP-CAROLIEiJ-G0020234;0.325;0.591;0.644;0.824;0.332;0.471;0.332;0.525;0.41;0.644;0.41;0.638;0.84;0.855;0.851;0.883;1.0;0.742;0.95;0.908;0.794;0.862;1.0;0.744;0.636;0.666;0.769;0.772;0.772;0.671;0.671
transcript9_ENSRNOG00000031503;0.431;0.555;0.816;0.967;0.478;0.624;0.478;0.438;0.562;0.816;0.562;0.809;0.875;0.859;0.878;0.857;0.744;0.9;0.734;0.665;0.821;0.657;0.744;1.0;0.744;0.703;0.906;0.909;0.909;0.7;0.7
transcript18_ENSRNOG00000031503;0.322;0.472;0.659;0.977;0.356;0.498;0.356;0.339;0.49;0.659;0.49;0.654;0.794;0.73;0.807;0.726;0.636;0.67;0.645;0.573;0.611;0.582;0.636;0.744;1.0;0.952;0.842;0.818;0.818;0.948;0.948
transcript18_ENSMUGG00000013592;0.319;0.477;0.644;0.993;0.352;0.502;0.352;0.347;0.481;0.644;0.481;0.64;0.829;0.759;0.843;0.756;0.666;0.633;0.675;0.605;0.577;0.614;0.666;0.703;0.952;1.0;0.801;0.773;0.773;0.996;0.996
transcript19_ENSRNOG00000031503;0.391;0.56;0.782;0.977;0.433;0.615;0.433;0.413;0.582;0.782;0.582;0.777;0.921;0.88;0.908;0.878;0.769;0.816;0.78;0.694;0.744;0.704;0.769;0.906;0.842;0.801;1.0;0.996;0.996;0.798;0.798
transcript21_ENSRNOG00000031503;0.393;0.561;0.744;0.967;0.435;0.615;0.435;0.414;0.512;0.744;0.512;0.738;0.922;0.883;0.909;0.881;0.772;0.819;0.782;0.696;0.747;0.706;0.772;0.909;0.818;0.773;0.996;1.0;1.0;0.77;0.77
transcript23_ENSRNOG00000031503;0.393;0.561;0.744;0.967;0.435;0.615;0.435;0.414;0.512;0.744;0.512;0.738;0.922;0.883;0.909;0.881;0.772;0.819;0.782;0.696;0.747;0.706;0.772;0.909;0.818;0.773;0.996;1.0;1.0;0.77;0.77
transcript34_ENSMUGG00000013592;0.324;0.484;0.648;1.0;0.357;0.509;0.357;0.352;0.485;0.648;0.485;0.644;0.834;0.763;0.848;0.76;0.671;0.631;0.68;0.609;0.575;0.618;0.671;0.7;0.948;0.996;0.798;0.77;0.77;1.0;1.0
transcript35_ENSMUGG00000013592;0.324;0.484;0.648;1.0;0.357;0.509;0.357;0.352;0.485;0.648;0.485;0.644;0.834;0.763;0.848;0.76;0.671;0.631;0.68;0.609;0.575;0.618;0.671;0.7;0.948;0.996;0.798;0.77;0.77;1.0;1.0
