;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript11_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript3_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript18_ENSPCIG00000036398;transcript3_ENSMUNG00000007775;transcript8_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript3_ENSMUNG00000002391;transcript10_ENSMUNG00000002391
transcript7_ENSHGLG00100006079;0.988;0.988;0.988;0.988;0.988;0.518;0.988;0.514;0.518;0.978;1.0;1.0;0.782;0.961;0.961;0.782;0.961;0.808;0.99;0.81;0.81;0.81;0.81;0.809;0.988
transcript10_ENSHGLG00100006079;0.988;0.988;0.988;0.988;0.988;0.518;0.988;0.514;0.518;0.978;1.0;1.0;0.782;0.961;0.961;0.782;0.961;0.808;0.99;0.81;0.81;0.81;0.81;0.809;0.988
transcript3_ENSPCIG00000036398;0.75;0.75;0.75;0.7;0.7;0.199;0.7;0.165;0.199;0.691;0.782;0.782;1.0;0.631;0.631;0.969;0.631;0.988;0.658;0.981;0.982;0.982;0.981;0.988;0.649
transcript7_ENSPCIG00000036398;0.96;0.96;0.96;0.96;0.96;0.527;0.96;0.52;0.527;0.947;0.961;0.961;0.631;1.0;1.0;0.649;1.0;0.625;0.961;0.644;0.639;0.639;0.644;0.626;0.96
transcript8_ENSPCIG00000036398;0.96;0.96;0.96;0.96;0.96;0.527;0.96;0.52;0.527;0.947;0.961;0.961;0.631;1.0;1.0;0.649;1.0;0.625;0.961;0.644;0.639;0.639;0.644;0.626;0.96
transcript15_ENSPCIG00000036398;0.75;0.75;0.75;0.7;0.7;0.199;0.7;0.165;0.199;0.691;0.782;0.782;0.969;0.649;0.649;1.0;0.649;0.958;0.665;0.988;0.948;0.948;0.988;0.958;0.669
transcript18_ENSPCIG00000036398;0.96;0.96;0.96;0.96;0.96;0.527;0.96;0.52;0.527;0.947;0.961;0.961;0.631;1.0;1.0;0.649;1.0;0.625;0.961;0.644;0.639;0.639;0.644;0.626;0.96
transcript3_ENSMUNG00000007775;0.781;0.781;0.781;0.727;0.727;0.188;0.727;0.157;0.188;0.72;0.808;0.808;0.988;0.625;0.625;0.958;0.625;1.0;0.703;0.996;0.996;0.996;0.996;1.0;0.694
transcript8_ENSMUNG00000002377;1.0;1.0;1.0;1.0;1.0;0.516;1.0;0.512;0.516;0.99;0.99;0.99;0.658;0.961;0.961;0.665;0.961;0.703;1.0;0.707;0.707;0.707;0.707;0.703;1.0
transcript15_ENSMUNG00000002377;0.78;0.78;0.78;0.725;0.725;0.189;0.725;0.158;0.189;0.718;0.81;0.81;0.981;0.644;0.644;0.988;0.644;0.996;0.707;1.0;0.992;0.992;1.0;0.996;0.714
transcript16_ENSMUNG00000002377;0.78;0.78;0.78;0.742;0.742;0.205;0.742;0.173;0.205;0.736;0.81;0.81;0.982;0.639;0.639;0.948;0.639;0.996;0.707;0.992;1.0;0.992;0.992;0.996;0.706
transcript22_ENSMUNG00000002377;0.78;0.78;0.78;0.725;0.725;0.189;0.725;0.158;0.189;0.718;0.81;0.81;0.982;0.639;0.639;0.948;0.639;0.996;0.707;0.992;0.992;1.0;0.992;0.996;0.707
transcript23_ENSMUNG00000002377;0.78;0.78;0.78;0.725;0.725;0.189;0.725;0.158;0.189;0.718;0.81;0.81;0.981;0.644;0.644;0.988;0.644;0.996;0.707;1.0;0.992;0.992;1.0;0.996;0.714
transcript3_ENSMUNG00000002391;0.781;0.781;0.781;0.727;0.727;0.188;0.727;0.157;0.188;0.721;0.809;0.809;0.988;0.626;0.626;0.958;0.626;1.0;0.703;0.996;0.996;0.996;0.996;1.0;0.694
transcript10_ENSMUNG00000002391;1.0;1.0;1.0;1.0;1.0;0.515;1.0;0.511;0.515;0.99;0.988;0.988;0.649;0.96;0.96;0.669;0.96;0.694;1.0;0.714;0.706;0.707;0.714;0.694;1.0
