;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript22_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.322;0.381;0.123;0.996;0.965;0.996;1.0;0.996;0.996;0.978;0.95;0.95;0.98;0.941;0.941;0.996;0.97;0.97;0.944;0.95;0.97;0.879;0.97
transcript26_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.996;1.0;1.0;0.973;0.95;0.929;0.977;0.969;0.969;0.991;1.0;1.0;0.978;0.978;1.0;0.906;1.0
transcript26_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.996;1.0;1.0;0.973;0.95;0.929;0.977;0.969;0.969;0.991;1.0;1.0;0.978;0.978;1.0;0.906;1.0
transcript42_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.32;0.38;0.12;0.973;0.926;0.973;0.978;0.973;0.973;1.0;0.973;0.933;0.982;0.943;0.943;0.974;0.959;0.973;0.938;0.938;0.973;0.88;0.973
transcript43_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.328;0.38;0.123;0.95;0.903;0.95;0.95;0.95;0.95;0.973;1.0;0.924;0.973;0.915;0.915;0.95;0.924;0.95;0.903;0.903;0.95;0.857;0.95
transcript7_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.335;0.38;0.126;0.929;0.976;0.929;0.95;0.929;0.929;0.933;0.924;1.0;0.951;0.915;0.915;0.95;0.892;0.929;0.87;0.87;0.929;0.835;0.929
transcript29_ENSCGRG00001010245;1.0;1.0;1.0;1.0;0.319;0.38;0.12;0.977;0.929;0.977;0.98;0.977;0.977;0.982;0.973;0.951;1.0;0.946;0.946;0.98;0.965;0.977;0.943;0.943;0.977;0.883;0.977
transcript15_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.33;0.381;0.126;0.969;0.939;0.969;0.941;0.969;0.969;0.943;0.915;0.915;0.946;1.0;1.0;0.936;0.977;0.97;0.95;0.944;0.97;0.879;0.97
transcript24_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.33;0.381;0.126;0.969;0.939;0.969;0.941;0.969;0.969;0.943;0.915;0.915;0.946;1.0;1.0;0.936;0.977;0.97;0.95;0.944;0.97;0.879;0.97
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;1.0;0.323;0.381;0.123;0.991;0.961;0.991;0.996;0.991;0.991;0.974;0.95;0.95;0.98;0.936;0.936;1.0;0.963;0.966;0.937;0.943;0.966;0.875;0.966
transcript5_ENSNGAG00000018584;1.0;1.0;1.0;1.0;0.308;0.38;0.114;1.0;0.927;1.0;0.97;1.0;1.0;0.959;0.924;0.892;0.965;0.977;0.977;0.963;1.0;1.0;0.979;0.974;1.0;0.91;1.0
transcript5_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.97;1.0;1.0;0.973;0.95;0.929;0.977;0.97;0.97;0.966;1.0;1.0;0.979;0.974;1.0;0.908;1.0
transcript17_ENSNGAG00000018584;0.926;0.914;0.926;0.926;0.286;0.318;0.095;0.978;0.905;0.978;0.944;0.978;0.978;0.938;0.903;0.87;0.943;0.95;0.95;0.937;0.979;0.979;1.0;0.995;0.979;0.889;0.979
transcript20_ENSNGAG00000018584;0.926;0.914;0.926;0.926;0.286;0.318;0.095;0.978;0.905;0.978;0.95;0.978;0.978;0.938;0.903;0.87;0.943;0.944;0.944;0.943;0.974;0.974;0.995;1.0;0.974;0.884;0.974
transcript12_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.97;1.0;1.0;0.973;0.95;0.929;0.977;0.97;0.97;0.966;1.0;1.0;0.979;0.974;1.0;0.908;1.0
transcript13_ENSSTOG00000019743;0.705;0.694;0.705;0.705;0.22;0.084;0.025;0.906;0.858;0.906;0.879;0.906;0.906;0.88;0.857;0.835;0.883;0.879;0.879;0.875;0.91;0.908;0.889;0.884;0.908;1.0;0.908
transcript14_ENSSTOG00000019743;1.0;1.0;1.0;1.0;0.312;0.38;0.117;1.0;0.952;1.0;0.97;1.0;1.0;0.973;0.95;0.929;0.977;0.97;0.97;0.966;1.0;1.0;0.979;0.974;1.0;0.908;1.0
