;transcript18_ENSAOCG00000015695;transcript28_ENSAOCG00000015695;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript23_ENSPNYG00000024266;transcript7_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript9_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript7_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript28_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript23_ENSAPOG00000023408;transcript29_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript12_ENSPNYG00000024266;transcript24_ENSPNYG00000024266;transcript9_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript27_ENSAOCG00000015695;0.824;0.806;0.673;0.673;0.883;0.153;0.827;0.165;0.153;0.851;0.851;0.919;0.153;1.0;1.0;0.72;0.806;0.884;0.883;0.72;0.754;0.919;0.828;0.165;0.153
transcript26_ENSAOCG00000015695;0.824;0.806;0.673;0.673;0.883;0.153;0.827;0.165;0.153;0.851;0.851;0.919;0.153;1.0;1.0;0.72;0.806;0.884;0.883;0.72;0.754;0.919;0.828;0.165;0.153
transcript29_ENSAOCG00000015695;0.62;0.549;0.545;0.545;0.762;0.213;0.605;0.224;0.213;0.613;0.613;0.661;0.213;0.72;0.72;1.0;0.549;0.764;0.762;1.0;0.868;0.661;0.683;0.224;0.213
transcript28_ENSAPOG00000023408;0.796;1.0;0.643;0.643;0.698;0.158;0.795;0.249;0.158;0.823;0.823;0.887;0.158;0.806;0.806;0.549;1.0;0.74;0.698;0.549;0.637;0.887;0.796;0.249;0.158
transcript30_ENSAPOG00000023408;0.727;0.74;0.709;0.709;0.942;0.172;0.758;0.184;0.172;0.753;0.753;0.812;0.172;0.884;0.884;0.764;0.74;1.0;0.942;0.764;0.801;0.812;0.721;0.184;0.172
transcript23_ENSAPOG00000023408;0.725;0.698;0.707;0.707;1.0;0.172;0.756;0.184;0.172;0.752;0.752;0.81;0.172;0.883;0.883;0.762;0.698;0.942;1.0;0.762;0.799;0.81;0.762;0.184;0.172
transcript29_ENSAPOG00000023408;0.62;0.549;0.545;0.545;0.762;0.213;0.605;0.224;0.213;0.613;0.613;0.661;0.213;0.72;0.72;1.0;0.549;0.764;0.762;1.0;0.868;0.661;0.683;0.224;0.213
transcript31_ENSAPOG00000023408;0.615;0.637;0.579;0.579;0.799;0.212;0.637;0.219;0.212;0.641;0.641;0.693;0.212;0.754;0.754;0.868;0.637;0.801;0.799;0.868;1.0;0.693;0.601;0.219;0.212
transcript12_ENSPNYG00000024266;0.899;0.887;0.756;0.756;0.81;0.141;0.908;0.223;0.141;0.927;0.927;1.0;0.141;0.919;0.919;0.661;0.887;0.812;0.81;0.661;0.693;1.0;0.909;0.223;0.141
transcript24_ENSPNYG00000024266;0.853;0.796;0.664;0.664;0.762;0.151;0.817;0.241;0.151;0.843;0.843;0.909;0.151;0.828;0.828;0.683;0.796;0.721;0.762;0.683;0.601;0.909;1.0;0.241;0.151
transcript9_ENSXMAG00000026005;0.21;0.249;0.091;0.091;0.184;0.607;0.243;1.0;0.607;0.207;0.207;0.223;0.607;0.165;0.165;0.224;0.249;0.184;0.184;0.224;0.219;0.223;0.241;1.0;0.607
transcript7_ENSXMAG00000026005;0.133;0.158;0.026;0.026;0.172;1.0;0.153;0.607;1.0;0.131;0.131;0.141;1.0;0.153;0.153;0.213;0.158;0.172;0.172;0.213;0.212;0.141;0.151;0.607;1.0
