;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENST00000435861_90_90;0.215;0.244;0.244;0.189;0.189;0.588;0.738;0.704;0.189;0.0;1.0;1.0;0.203;0.0;0.212;0.408;0.327;0.658;0.226;0.22;0.244;0.244;0.316;0.107;0.604
ENST00000438930_90_90;0.215;0.244;0.244;0.189;0.189;0.588;0.738;0.704;0.189;0.0;1.0;1.0;0.203;0.0;0.212;0.408;0.327;0.658;0.226;0.22;0.244;0.244;0.316;0.107;0.604
ENST00000442516_90_90;0.047;0.054;0.054;0.046;0.046;0.134;0.274;0.156;0.046;0.0;0.203;0.203;1.0;0.0;0.052;0.497;0.614;0.313;0.05;0.049;0.054;0.054;0.067;0.535;0.123
ENST00000446600_90_90;0.706;0.602;0.602;0.754;0.754;0.074;0.0;0.03;0.754;0.272;0.0;0.0;0.0;1.0;0.647;0.0;0.0;0.0;0.647;0.664;0.603;0.603;0.336;0.0;0.1
ENST00000446820_90_90;0.813;0.902;0.902;0.893;0.893;0.361;0.176;0.314;0.893;0.221;0.212;0.212;0.052;0.647;1.0;0.105;0.081;0.154;0.808;0.826;0.903;0.903;0.574;0.027;0.362
ENST00000451769_90_90;0.095;0.108;0.108;0.092;0.092;0.268;0.551;0.313;0.092;0.0;0.408;0.408;0.497;0.0;0.105;1.0;0.816;0.629;0.1;0.097;0.108;0.108;0.135;0.266;0.247
ENST00000456590_90_90;0.073;0.084;0.084;0.071;0.071;0.214;0.443;0.252;0.071;0.0;0.327;0.327;0.614;0.0;0.081;0.816;1.0;0.502;0.077;0.075;0.084;0.084;0.106;0.327;0.198
ENST00000457529_90_90;0.14;0.158;0.158;0.136;0.136;0.43;0.893;0.514;0.136;0.0;0.658;0.658;0.313;0.0;0.154;0.629;0.502;1.0;0.146;0.143;0.158;0.158;0.206;0.165;0.397
ENSMUST00000005072_90_90;0.895;0.853;0.853;0.853;0.853;0.317;0.168;0.272;0.853;0.163;0.226;0.226;0.05;0.647;0.808;0.1;0.077;0.146;1.0;0.98;0.888;0.888;0.603;0.025;0.372
ENSMUST00000111142_90_90;0.912;0.871;0.871;0.869;0.869;0.309;0.164;0.265;0.869;0.18;0.22;0.22;0.049;0.664;0.826;0.097;0.075;0.143;0.98;1.0;0.907;0.907;0.591;0.025;0.362
ENSMUST00000111144_90_90;0.857;0.958;0.958;0.814;0.814;0.342;0.181;0.294;0.814;0.2;0.244;0.244;0.054;0.603;0.903;0.108;0.084;0.158;0.888;0.907;1.0;1.0;0.649;0.028;0.403
ENSMUST00000111145_90_90;0.857;0.958;0.958;0.814;0.814;0.342;0.181;0.294;0.814;0.2;0.244;0.244;0.054;0.603;0.903;0.108;0.084;0.158;0.888;0.907;1.0;1.0;0.649;0.028;0.403
ENSMUST00000125827_90_90;0.578;0.615;0.615;0.542;0.542;0.446;0.234;0.378;0.542;0.097;0.316;0.316;0.067;0.336;0.574;0.135;0.106;0.206;0.603;0.591;0.649;0.649;1.0;0.035;0.521
ENSMUST00000130345_90_90;0.024;0.028;0.028;0.024;0.024;0.07;0.145;0.082;0.024;0.0;0.107;0.107;0.535;0.0;0.027;0.266;0.327;0.165;0.025;0.025;0.028;0.028;0.035;1.0;0.065
ENSMUST00000199239_90_90;0.354;0.403;0.403;0.322;0.322;0.854;0.446;0.712;0.322;0.0;0.604;0.604;0.123;0.1;0.362;0.247;0.198;0.397;0.372;0.362;0.403;0.403;0.521;0.065;1.0
