;ENSBTAT00000001063_98;ENSBTAT00000075784_98;ENSBTAT00000047356_98;ENSBTAT00000081411_98;ENSBTAT00000014936_98;ENSBTAT00000067399_98;ENSBTAT00000067879_98;ENSBTAT00000080112_98;ENSBTAT00000082719_98;ENSBTAT00000019309_98;ENSBTAT00000080865_98;ENSBTAT00000084315_98;ENSBTAT00000021671_98;ENSBTAT00000081480_98;ENSBTAT00000025447_98;ENSBTAT00000032168_98;ENSCAFT00000002680_98;ENSCAFT00000004679_98;ENSCAFT00000006771_98;ENSCAFT00000038895_98;ENSCAFT00000063489_98;ENSCAFT00000013895_98;ENSCAFT00000015908_98;ENSCAFT00000048936_98;ENSCAFT00000063917_98;ENSCAFT00000067748_98;ENSCAFT00000069799_98;ENSCAFT00000074238_98;ENSCAFT00000077614_98;ENSCAFT00000081924_98;ENSCAFT00000017386_98;ENSCAFT00000077728_98;ENSCAFT00000082195_98;ENSCAFT00000030888_98;ENSCAFT00000092108_98;ENSCAFT00020006658_98;ENSCAFT00020020044_98;ENSCAFT00020021017_98;ENSCAFT00020021478_98;ENSCAFT00020025374_98;ENSCAFT00020025671_98;ENSCAFT00020025673_98;ENSCAFT00020040315_98;ENST00000396049_98;ENST00000233892_98;ENST00000323303_98;ENST00000409355_98;ENST00000409360_98;ENST00000409916_98;ENST00000417097_98;ENST00000448447_98;ENST00000262244_98;ENST00000271139_98;ENST00000319928_98;ENST00000371940_98;ENST00000357066_98;ENST00000586676_98;ENST00000588048_98;ENST00000589902_98;ENST00000591236_98;ENST00000591326_98;ENST00000591638_98;ENST00000592280_98;ENST00000309395_98;ENST00000396051_98;ENST00000502869_98;ENST00000329957_98;ENST00000614710_98;ENST00000604458_98;ENSGALT00000086679_98;ENSGALT00000013192_98;ENSGALT00000018879_98;ENSGALT00000045632_98;ENSGALT00000055274_98;ENSGALT00000084848_98;ENSGALT00000073440_98;ENSGALT00000102171_98;ENSGALT00000103370_98;ENSGALT00000072963_98;ENSGALT00000049628_98;ENSMUST00000003438_98;ENSMUST00000218090_98;ENSMUST00000220138_98;ENSMUST00000006424_98;ENSMUST00000113229_98;ENSMUST00000084418_98;ENSMUST00000209725_98;ENSMUST00000209732_98;ENSMUST00000210684_98;ENSMUST00000211000_98;ENSMUST00000211206_98;ENSMUST00000027122_98;ENSMUST00000159311_98;ENSMUST00000161122_98;ENSMUST00000162364_98;ENSMUST00000162553_98;ENSMUST00000030477_98;ENSMUST00000148409_98;ENSMUST00000038658_98;ENSMUST00000055261_98;ENSMUST00000101245_98;ENSMUST00000133045_98;ENSMUST00000155580_98;ENSMUST00000102975_98
ENSBTAT00000080865_98;0.94;0.94;0.881;0.876;0.454;0.659;0.436;0.663;0.655;0.79;1.0;1.0;0.0;0.0;0.598;0.926;0.923;0.92;0.857;0.795;0.82;0.92;0.347;0.181;0.32;0.316;0.322;0.177;0.182;0.18;0.879;0.853;0.942;0.766;0.752;0.879;0.92;0.923;0.927;0.944;0.878;0.834;0.92;0.0;0.607;0.6;0.0;0.607;0.634;0.0;0.607;0.511;0.534;0.0;0.0;0.647;0.265;0.094;0.365;0.427;0.442;0.556;0.647;0.0;0.0;0.0;0.863;0.916;0.827;0.857;0.599;0.759;0.805;0.805;0.805;0.859;0.895;0.89;0.923;0.949;0.923;0.322;0.299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.612;0.605;0.0;0.599;0.562;0.926;0.301;0.533;0.526;0.526;0.0;0.0;0.511
ENSBTAT00000084315_98;0.94;0.94;0.881;0.876;0.454;0.659;0.436;0.663;0.655;0.79;1.0;1.0;0.0;0.0;0.598;0.926;0.923;0.92;0.857;0.795;0.82;0.92;0.347;0.181;0.32;0.316;0.322;0.177;0.182;0.18;0.879;0.853;0.942;0.766;0.752;0.879;0.92;0.923;0.927;0.944;0.878;0.834;0.92;0.0;0.607;0.6;0.0;0.607;0.634;0.0;0.607;0.511;0.534;0.0;0.0;0.647;0.265;0.094;0.365;0.427;0.442;0.556;0.647;0.0;0.0;0.0;0.863;0.916;0.827;0.857;0.599;0.759;0.805;0.805;0.805;0.859;0.895;0.89;0.923;0.949;0.923;0.322;0.299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.612;0.605;0.0;0.599;0.562;0.926;0.301;0.533;0.526;0.526;0.0;0.0;0.511
ENSBTAT00000021671_98;0.0;0.0;0.405;0.411;0.0;0.192;0.311;0.059;0.29;0.0;0.0;0.0;1.0;0.955;0.731;0.0;0.0;0.507;0.102;0.587;0.593;0.507;0.0;0.164;0.0;0.0;0.0;0.356;0.0;0.14;0.541;0.513;0.0;0.613;0.607;0.539;0.507;0.0;0.508;0.0;0.0;0.542;0.507;0.992;0.524;0.678;0.358;0.524;0.071;0.295;0.557;0.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.971;0.992;0.498;0.545;0.0;0.606;0.556;0.717;0.621;0.0;0.0;0.0;0.263;0.195;0.086;0.0;0.521;0.0;0.0;0.0;0.992;0.992;0.207;0.0;0.0;0.214;0.0;0.0;0.247;0.487;0.19;0.614;0.582;0.501;0.502;0.313;0.742;0.742;0.169;0.257;0.758
ENSBTAT00000081480_98;0.0;0.0;0.405;0.41;0.0;0.192;0.31;0.059;0.29;0.0;0.0;0.0;0.955;1.0;0.727;0.0;0.0;0.507;0.101;0.586;0.592;0.507;0.0;0.158;0.0;0.0;0.0;0.386;0.0;0.135;0.541;0.513;0.0;0.651;0.643;0.539;0.507;0.0;0.508;0.0;0.0;0.56;0.507;0.989;0.522;0.677;0.357;0.522;0.071;0.294;0.556;0.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.998;0.977;0.492;0.544;0.0;0.605;0.573;0.74;0.656;0.0;0.0;0.0;0.227;0.169;0.167;0.0;0.52;0.0;0.0;0.0;0.989;0.989;0.51;0.0;0.0;0.518;0.0;0.0;0.281;0.522;0.228;0.648;0.556;0.501;0.502;0.312;0.742;0.742;0.169;0.256;0.757
ENSBTAT00000025447_98;0.637;0.637;0.642;0.647;0.409;0.355;0.575;0.32;0.489;0.606;0.598;0.598;0.731;0.727;1.0;0.633;0.655;0.697;0.469;0.728;0.744;0.661;0.271;0.361;0.0;0.0;0.0;0.329;0.112;0.211;0.699;0.477;0.417;0.772;0.758;0.699;0.697;0.648;0.707;0.643;0.444;0.713;0.675;0.737;0.893;0.972;0.176;0.893;0.581;0.141;0.883;0.838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.727;0.731;0.207;0.667;0.427;0.757;0.737;0.996;0.783;0.54;0.54;0.54;0.61;0.444;0.41;0.648;0.701;0.643;0.73;0.734;0.732;0.732;0.506;0.0;0.0;0.51;0.0;0.0;0.692;0.848;0.111;0.935;0.885;0.658;0.781;0.547;0.873;0.873;0.019;0.183;0.839
ENSBTAT00000032168_98;0.992;0.992;0.913;0.91;0.514;0.655;0.476;0.66;0.651;0.888;0.926;0.926;0.0;0.0;0.633;1.0;0.958;0.953;0.889;0.823;0.85;0.953;0.365;0.278;0.191;0.188;0.192;0.16;0.166;0.164;0.909;0.769;0.867;0.788;0.774;0.91;0.953;0.958;0.99;0.988;0.881;0.861;0.953;0.0;0.647;0.638;0.0;0.647;0.689;0.0;0.647;0.542;0.541;0.0;0.0;0.621;0.361;0.127;0.497;0.567;0.567;0.653;0.621;0.0;0.0;0.0;0.865;0.925;0.854;0.887;0.633;0.783;0.771;0.771;0.771;0.885;0.828;0.822;0.958;0.964;0.988;0.404;0.383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.654;0.644;0.0;0.635;0.613;0.99;0.393;0.572;0.557;0.557;0.0;0.0;0.542
ENSCAFT00000002680_98;0.96;0.96;0.922;0.916;0.583;0.782;0.544;0.785;0.778;0.902;0.923;0.923;0.0;0.0;0.655;0.958;1.0;0.987;0.921;0.868;0.86;0.987;0.529;0.424;0.21;0.206;0.21;0.292;0.301;0.294;0.941;0.809;0.908;0.828;0.855;0.944;0.987;1.0;0.959;0.969;0.913;0.893;0.987;0.0;0.664;0.657;0.0;0.664;0.698;0.0;0.668;0.551;0.562;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.0;0.0;0.0;0.921;0.967;0.889;0.916;0.656;0.847;0.849;0.849;0.849;0.932;0.849;0.87;1.0;0.958;0.966;0.456;0.433;0.0;0.0;0.0;0.518;0.516;0.0;0.0;0.0;0.676;0.668;0.0;0.657;0.63;0.962;0.42;0.583;0.571;0.571;0.0;0.0;0.551
ENSCAFT00000004679_98;0.955;0.955;0.952;0.945;0.591;0.886;0.574;0.886;0.891;0.9;0.92;0.92;0.507;0.507;0.697;0.953;0.987;1.0;0.928;0.96;0.946;0.999;0.56;0.411;0.242;0.246;0.242;0.334;0.34;0.369;0.99;0.863;0.923;0.944;0.972;0.996;1.0;0.992;0.962;0.954;0.923;0.966;0.999;0.508;0.698;0.698;0.009;0.698;0.657;0.009;0.698;0.561;0.565;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.508;0.508;0.0;0.96;0.959;0.996;0.988;0.699;0.953;0.849;0.849;0.849;0.957;0.899;0.899;0.988;0.96;0.954;0.419;0.395;0.507;0.507;0.0;0.525;0.522;0.0;0.0;0.0;0.657;0.698;0.009;0.698;0.657;0.954;0.401;0.529;0.588;0.588;0.0;0.0;0.562
ENSCAFT00000006771_98;0.893;0.893;0.9;0.889;0.498;0.69;0.519;0.707;0.742;0.839;0.857;0.857;0.102;0.101;0.469;0.889;0.921;0.928;1.0;0.629;0.728;0.897;0.352;0.342;0.104;0.134;0.104;0.177;0.232;0.193;0.822;0.697;0.811;0.766;0.686;0.827;0.929;0.916;0.947;0.9;0.844;0.748;0.917;0.102;0.483;0.473;0.0;0.483;0.7;0.0;0.485;0.323;0.422;0.015;0.015;0.607;0.446;0.152;0.548;0.548;0.548;0.585;0.607;0.102;0.102;0.0;0.854;0.838;0.742;0.861;0.475;0.717;0.796;0.796;0.796;0.91;0.722;0.764;0.89;0.917;0.904;0.431;0.41;0.102;0.102;0.032;0.0;0.017;0.0;0.046;0.046;0.679;0.497;0.041;0.485;0.443;0.917;0.413;0.579;0.355;0.355;0.0;0.0;0.324
ENSCAFT00000038895_98;0.827;0.827;0.844;0.855;0.513;0.727;0.643;0.744;0.901;0.778;0.795;0.795;0.587;0.586;0.728;0.823;0.868;0.96;0.629;1.0;0.866;0.917;0.377;0.474;0.174;0.151;0.174;0.272;0.213;0.309;0.908;0.787;0.796;0.779;0.876;0.94;0.994;0.906;0.917;0.836;0.843;0.963;0.962;0.589;0.752;0.738;0.137;0.752;0.48;0.028;0.746;0.642;0.557;0.112;0.112;0.602;0.422;0.143;0.519;0.519;0.519;0.553;0.602;0.587;0.588;0.0;0.889;0.73;0.944;0.931;0.729;0.831;0.742;0.742;0.742;0.833;0.711;0.631;0.869;0.907;0.837;0.4;0.381;0.587;0.587;0.28;0.367;0.542;0.116;0.186;0.186;0.481;0.722;0.027;0.714;0.73;0.854;0.386;0.343;0.658;0.658;0.0;0.105;0.643
ENSCAFT00000063489_98;0.853;0.853;0.881;0.893;0.459;0.639;0.593;0.655;0.81;0.802;0.82;0.82;0.593;0.592;0.744;0.85;0.86;0.946;0.728;0.866;1.0;0.894;0.287;0.383;0.085;0.109;0.085;0.19;0.174;0.272;0.859;0.735;0.745;0.869;0.781;0.898;0.946;0.873;0.964;0.865;0.741;0.861;0.915;0.595;0.773;0.756;0.141;0.773;0.494;0.028;0.766;0.653;0.416;0.015;0.015;0.595;0.438;0.148;0.538;0.538;0.538;0.574;0.595;0.593;0.594;0.0;0.911;0.748;0.9;0.924;0.746;0.857;0.756;0.756;0.756;0.867;0.742;0.657;0.861;0.953;0.865;0.413;0.393;0.593;0.593;0.032;0.0;0.017;0.0;0.046;0.046;0.494;0.742;0.028;0.732;0.752;0.887;0.4;0.349;0.67;0.67;0.0;0.108;0.654
ENSCAFT00000013895_98;0.955;0.955;0.953;0.946;0.541;0.766;0.524;0.767;0.776;0.9;0.92;0.92;0.507;0.507;0.661;0.953;0.987;0.999;0.897;0.917;0.894;1.0;0.524;0.384;0.228;0.227;0.228;0.29;0.309;0.341;0.941;0.819;0.917;0.833;0.871;0.968;0.999;0.992;0.957;0.954;0.896;0.899;0.999;0.507;0.677;0.666;0.009;0.677;0.649;0.009;0.679;0.551;0.562;0.0;0.0;0.646;0.451;0.155;0.556;0.556;0.556;0.595;0.646;0.507;0.507;0.0;0.96;0.959;0.914;0.921;0.662;0.849;0.849;0.849;0.849;0.957;0.879;0.875;0.988;0.947;0.954;0.419;0.395;0.507;0.507;0.0;0.521;0.518;0.0;0.0;0.0;0.628;0.676;0.009;0.663;0.639;0.954;0.401;0.511;0.573;0.573;0.0;0.0;0.552
ENSCAFT00000015908_98;0.389;0.389;0.275;0.275;0.653;0.437;0.548;0.462;0.405;0.456;0.347;0.347;0.0;0.0;0.271;0.365;0.529;0.56;0.352;0.377;0.287;0.524;1.0;0.629;0.413;0.316;0.424;0.574;0.578;0.534;0.51;0.452;0.609;0.241;0.311;0.489;0.569;0.548;0.367;0.385;0.6;0.48;0.566;0.0;0.281;0.258;0.0;0.281;0.412;0.0;0.281;0.094;0.0;0.0;0.0;0.128;0.0;0.0;0.0;0.0;0.0;0.0;0.128;0.0;0.0;0.0;0.336;0.415;0.4;0.396;0.253;0.183;0.241;0.241;0.241;0.321;0.382;0.368;0.54;0.349;0.361;0.505;0.47;0.0;0.0;0.327;0.752;0.661;0.297;0.03;0.03;0.321;0.282;0.0;0.259;0.273;0.363;0.484;0.174;0.115;0.115;0.0;0.0;0.094
ENSCAFT00000048936_98;0.276;0.276;0.339;0.383;0.476;0.316;0.587;0.33;0.432;0.235;0.181;0.181;0.164;0.158;0.361;0.278;0.424;0.411;0.342;0.474;0.383;0.384;0.629;1.0;0.387;0.297;0.396;0.536;0.532;0.495;0.401;0.367;0.386;0.297;0.367;0.45;0.417;0.436;0.258;0.303;0.407;0.377;0.414;0.165;0.38;0.348;0.005;0.38;0.394;0.0;0.38;0.268;0.0;0.0;0.0;0.127;0.0;0.0;0.0;0.0;0.0;0.0;0.127;0.16;0.164;0.0;0.395;0.245;0.402;0.347;0.339;0.262;0.238;0.238;0.238;0.355;0.16;0.155;0.421;0.294;0.293;0.404;0.37;0.164;0.164;0.327;0.751;0.661;0.297;0.03;0.03;0.363;0.379;0.0;0.348;0.374;0.286;0.369;0.22;0.258;0.258;0.0;0.0;0.268
ENSCAFT00000063917_98;0.201;0.201;0.192;0.192;0.227;0.38;0.198;0.401;0.351;0.134;0.32;0.32;0.0;0.0;0.0;0.191;0.21;0.242;0.104;0.174;0.085;0.228;0.413;0.387;1.0;0.763;0.974;0.361;0.345;0.324;0.247;0.306;0.324;0.072;0.14;0.237;0.246;0.217;0.192;0.199;0.31;0.246;0.244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.502;0.0;0.0;0.717;0.019;0.0;0.095;0.141;0.152;0.233;0.717;0.0;0.0;0.0;0.281;0.351;0.193;0.124;0.0;0.121;0.583;0.583;0.583;0.243;0.29;0.279;0.214;0.218;0.185;0.0;0.0;0.0;0.0;0.316;0.731;0.647;0.283;0.021;0.021;0.0;0.0;0.0;0.0;0.0;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSCAFT00000067748_98;0.198;0.198;0.188;0.189;0.138;0.415;0.121;0.438;0.384;0.132;0.316;0.316;0.0;0.0;0.0;0.188;0.206;0.246;0.134;0.151;0.109;0.227;0.316;0.297;0.763;1.0;0.775;0.278;0.514;0.482;0.242;0.3;0.317;0.091;0.126;0.233;0.246;0.217;0.19;0.196;0.28;0.222;0.244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.502;0.0;0.0;0.7;0.019;0.0;0.092;0.138;0.149;0.229;0.7;0.0;0.0;0.0;0.276;0.344;0.196;0.124;0.0;0.118;0.577;0.577;0.577;0.238;0.284;0.274;0.213;0.215;0.182;0.0;0.0;0.0;0.0;0.182;0.544;0.501;0.142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0
