;ENSCAFT00000028998_90_90;ENST00000587805_90_90;ENST00000588116_90_90;ENST00000589774_90_90;ENST00000590432_90_90;ENST00000590538_90_90;ENST00000591610_90_90;ENST00000592167_90_90;ENST00000593014_90_90;ENST00000610402_90_90;ENST00000612035_90_90;ENST00000612116_90_90;ENST00000614600_90_90;ENST00000616681_90_90;ENST00000616784_90_90;ENST00000618940_90_90;ENST00000620039_90_90;ENST00000621668_90_90;ENST00000621914_90_90;ENST00000628168_90_90;ENSMUST00000018875_90_90;ENSMUST00000065692_90_90;ENSMUST00000142680_90_90;ENSMUST00000176430_90_90;ENSMUST00000176523_90_90;ENSMUST00000176944_90_90
ENST00000616681_90_90;0.85;0.244;0.054;0.162;0.083;0.047;0.047;0.047;0.135;0.973;0.676;0.676;0.676;1.0;0.622;0.973;0.054;0.694;0.919;0.047;0.646;0.625;0.026;0.688;0.66;0.15
ENST00000616784_90_90;0.55;0.333;0.08;0.292;0.125;0.065;0.065;0.065;0.25;0.649;0.923;0.923;0.923;0.622;1.0;0.649;0.08;0.885;0.686;0.065;0.511;0.489;0.036;0.489;0.489;0.25
ENST00000618940_90_90;0.875;0.239;0.053;0.189;0.081;0.045;0.045;0.045;0.162;1.0;0.703;0.703;0.703;0.973;0.649;1.0;0.053;0.676;0.946;0.045;0.667;0.646;0.025;0.708;0.646;0.175
ENST00000620039_90_90;0.05;0.0;0.0;0.25;0.5;0.2;0.2;0.2;0.286;0.053;0.074;0.074;0.074;0.054;0.08;0.053;1.0;0.077;0.056;0.2;0.044;0.045;0.333;0.043;0.045;0.167
ENST00000621668_90_90;0.575;0.324;0.077;0.231;0.12;0.062;0.062;0.062;0.192;0.676;0.962;0.962;0.962;0.694;0.885;0.676;0.077;1.0;0.622;0.062;0.533;0.511;0.034;0.511;0.545;0.2
ENST00000621914_90_90;0.825;0.25;0.056;0.2;0.086;0.048;0.048;0.048;0.171;0.946;0.649;0.649;0.649;0.919;0.686;0.946;0.056;0.622;1.0;0.048;0.625;0.604;0.026;0.667;0.604;0.184
ENST00000628168_90_90;0.125;0.0;0.0;0.143;0.2;1.0;1.0;1.0;0.154;0.045;0.061;0.061;0.061;0.047;0.065;0.045;0.2;0.062;0.048;1.0;0.111;0.114;0.833;0.106;0.114;0.417
ENSMUST00000018875_90_90;0.93;0.422;0.044;0.133;0.044;0.111;0.111;0.111;0.111;0.667;0.556;0.556;0.556;0.646;0.511;0.667;0.044;0.533;0.625;0.111;1.0;0.972;0.111;0.922;0.986;0.208
ENSMUST00000065692_90_90;0.907;0.4;0.045;0.136;0.045;0.114;0.114;0.114;0.114;0.646;0.533;0.533;0.533;0.625;0.489;0.646;0.045;0.511;0.604;0.114;0.972;1.0;0.114;0.896;0.958;0.214
ENSMUST00000142680_90_90;0.186;0.0;0.0;0.091;0.143;0.833;0.833;0.833;0.1;0.025;0.033;0.033;0.033;0.026;0.036;0.025;0.333;0.034;0.026;0.833;0.111;0.114;1.0;0.105;0.113;0.533
ENSMUST00000176430_90_90;0.977;0.404;0.043;0.128;0.043;0.106;0.106;0.106;0.106;0.708;0.532;0.532;0.532;0.688;0.489;0.708;0.043;0.511;0.667;0.106;0.922;0.896;0.105;1.0;0.909;0.197
ENSMUST00000176523_90_90;0.907;0.432;0.045;0.111;0.045;0.114;0.114;0.114;0.089;0.646;0.533;0.533;0.533;0.66;0.489;0.646;0.045;0.545;0.604;0.114;0.986;0.958;0.113;0.909;1.0;0.194
ENSMUST00000176944_90_90;0.349;0.0;0.0;0.5;0.167;0.417;0.417;0.417;0.417;0.175;0.233;0.233;0.233;0.15;0.25;0.175;0.167;0.2;0.184;0.417;0.208;0.214;0.533;0.197;0.194;1.0
