;transcript24_ENSPEMG00000024651;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript29_ENSCGRG00001010245;transcript43_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript7_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript33_ENSCGRG00015005362;transcript42_ENSCGRG00000018457;transcript14_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript5_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript20_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript37_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript5_ENSNGAG00000018584
transcript22_ENSCGRG00000018457;0.912;0.912;0.948;0.946;0.943;0.964;0.204;0.089;0.836;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.2;0.192;0.846;0.844;0.2;0.2;0.087;0.869
transcript26_ENSCGRG00000018457;0.912;0.912;0.948;0.946;0.943;0.964;0.204;0.089;0.836;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.2;0.192;0.846;0.844;0.2;0.2;0.087;0.869
transcript26_ENSCGRG00001010245;0.912;0.912;0.948;0.946;0.943;0.964;0.204;0.089;0.836;1.0;1.0;1.0;1.0;0.89;0.983;0.979;0.979;0.979;0.921;0.2;0.192;0.846;0.844;0.2;0.2;0.087;0.869
transcript33_ENSCGRG00015005362;0.818;0.818;0.852;0.85;0.836;0.854;0.229;0.1;0.936;0.89;0.89;0.89;0.89;1.0;0.874;0.871;0.871;0.871;0.814;0.224;0.215;0.738;0.736;0.224;0.224;0.098;0.761
transcript42_ENSCGRG00000018457;0.898;0.898;0.933;0.931;0.927;0.947;0.207;0.09;0.82;0.983;0.983;0.983;0.983;0.874;1.0;0.962;0.962;0.962;0.905;0.203;0.195;0.834;0.833;0.203;0.203;0.089;0.857
transcript14_ENSSTOG00000019743;0.932;0.932;0.928;0.926;0.965;0.943;0.199;0.087;0.857;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.195;0.188;0.857;0.859;0.195;0.195;0.085;0.883
transcript12_ENSSTOG00000019743;0.932;0.932;0.928;0.926;0.965;0.943;0.199;0.087;0.857;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.195;0.188;0.857;0.859;0.195;0.195;0.085;0.883
transcript5_ENSSTOG00000019743;0.932;0.932;0.928;0.926;0.965;0.943;0.199;0.087;0.857;0.979;0.979;0.979;0.979;0.871;0.962;1.0;1.0;1.0;0.943;0.195;0.188;0.857;0.859;0.195;0.195;0.085;0.883
transcript13_ENSSTOG00000019743;0.883;0.883;0.879;0.877;0.907;0.886;0.142;0.03;0.8;0.921;0.921;0.921;0.921;0.814;0.905;0.943;0.943;0.943;1.0;0.14;0.135;0.821;0.823;0.14;0.14;0.03;0.845
transcript8_MGP-PahariEiJ-G0020237;0.195;0.195;0.195;0.196;0.203;0.207;0.979;0.434;0.228;0.2;0.2;0.2;0.2;0.224;0.203;0.195;0.195;0.195;0.14;1.0;0.929;0.151;0.15;1.0;1.0;0.437;0.176
transcript8_ENSRNOG00000031503;0.187;0.187;0.188;0.189;0.195;0.199;0.941;0.435;0.219;0.192;0.192;0.192;0.192;0.215;0.195;0.188;0.188;0.188;0.135;0.929;1.0;0.142;0.141;0.929;0.929;0.428;0.167
transcript20_ENSNGAG00000018584;0.814;0.814;0.813;0.811;0.821;0.81;0.152;0.053;0.714;0.846;0.846;0.846;0.846;0.738;0.834;0.857;0.857;0.857;0.821;0.151;0.142;1.0;0.998;0.151;0.151;0.053;0.97
transcript17_ENSNGAG00000018584;0.815;0.815;0.811;0.809;0.823;0.808;0.152;0.053;0.716;0.844;0.844;0.844;0.844;0.736;0.833;0.859;0.859;0.859;0.823;0.15;0.141;0.998;1.0;0.15;0.15;0.053;0.972
transcript37_MGP-PahariEiJ-G0020237;0.195;0.195;0.195;0.196;0.203;0.207;0.979;0.434;0.228;0.2;0.2;0.2;0.2;0.224;0.203;0.195;0.195;0.195;0.14;1.0;0.929;0.151;0.15;1.0;1.0;0.437;0.176
transcript36_MGP-PahariEiJ-G0020237;0.195;0.195;0.195;0.196;0.203;0.207;0.979;0.434;0.228;0.2;0.2;0.2;0.2;0.224;0.203;0.195;0.195;0.195;0.14;1.0;0.929;0.151;0.15;1.0;1.0;0.437;0.176
transcript38_MGP-PahariEiJ-G0020237;0.086;0.086;0.087;0.087;0.089;0.091;0.428;0.984;0.1;0.087;0.087;0.087;0.087;0.098;0.089;0.085;0.085;0.085;0.03;0.437;0.428;0.053;0.053;0.437;0.437;1.0;0.079
transcript5_ENSNGAG00000018584;0.84;0.84;0.836;0.834;0.848;0.833;0.178;0.079;0.741;0.869;0.869;0.869;0.869;0.761;0.857;0.883;0.883;0.883;0.845;0.176;0.167;0.97;0.972;0.176;0.176;0.079;1.0
