;transcript18_ENSPCIG00000036398;transcript8_ENSMUNG00000002377;transcript23_ENSMUNG00000002377;transcript15_ENSMUNG00000002377;transcript16_ENSMUNG00000002377;transcript22_ENSMUNG00000002377;transcript3_ENSPCIG00000036398;transcript15_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript8_ENSPCIG00000036398;transcript7_ENSHGLG00100006079;transcript10_ENSHGLG00100006079;transcript10_ENSMUNG00000002391;transcript3_ENSMUNG00000002391;transcript11_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript8_ENSHGLG00100003156;transcript10_ENSHGLG00100003156;transcript20_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript10_ENSHGLG00000019563;transcript13_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript3_ENSMUNG00000007775
transcript3_ENSMUNG00000002391;0.61;0.681;0.994;0.994;0.994;0.994;1.0;0.992;0.61;0.61;0.804;0.804;0.761;1.0;0.2;0.167;0.2;0.776;0.776;0.776;0.727;0.727;0.727;0.719;1.0
transcript11_ENSHGLG00000019563;0.537;0.523;0.204;0.204;0.22;0.204;0.217;0.217;0.537;0.537;0.529;0.529;0.519;0.2;1.0;0.9;1.0;0.519;0.519;0.519;0.519;0.519;0.519;0.505;0.2
transcript26_ENSHGLG00000019563;0.527;0.514;0.171;0.171;0.185;0.17;0.18;0.181;0.527;0.527;0.52;0.52;0.511;0.167;0.9;1.0;0.9;0.511;0.511;0.511;0.511;0.511;0.511;0.494;0.167
transcript27_ENSHGLG00000019563;0.537;0.523;0.204;0.204;0.22;0.204;0.217;0.217;0.537;0.537;0.529;0.529;0.519;0.2;1.0;0.9;1.0;0.519;0.519;0.519;0.519;0.519;0.519;0.505;0.2
transcript8_ENSHGLG00100003156;0.947;1.0;0.773;0.773;0.773;0.773;0.757;0.757;0.947;0.947;0.99;0.99;1.0;0.776;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.776
transcript10_ENSHGLG00100003156;0.947;1.0;0.773;0.773;0.773;0.773;0.757;0.757;0.947;0.947;0.99;0.99;1.0;0.776;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.776
transcript20_ENSHGLG00100003156;0.947;1.0;0.773;0.773;0.773;0.773;0.757;0.757;0.947;0.947;0.99;0.99;1.0;0.776;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.776
transcript8_ENSHGLG00000019563;0.947;1.0;0.726;0.726;0.742;0.725;0.709;0.71;0.947;0.947;0.99;0.99;1.0;0.727;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.727
transcript10_ENSHGLG00000019563;0.947;1.0;0.726;0.726;0.742;0.725;0.709;0.71;0.947;0.947;0.99;0.99;1.0;0.727;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.727
transcript13_ENSHGLG00000019563;0.947;1.0;0.726;0.726;0.742;0.725;0.709;0.71;0.947;0.947;0.99;0.99;1.0;0.727;0.519;0.511;0.519;1.0;1.0;1.0;1.0;1.0;1.0;0.989;0.727
transcript28_ENSHGLG00000019563;0.931;0.988;0.717;0.717;0.733;0.716;0.697;0.698;0.931;0.931;0.976;0.976;0.989;0.719;0.505;0.494;0.505;0.989;0.989;0.989;0.989;0.989;0.989;1.0;0.718
transcript3_ENSMUNG00000007775;0.61;0.68;0.994;0.994;0.994;0.994;1.0;0.992;0.61;0.61;0.804;0.804;0.76;1.0;0.2;0.167;0.2;0.776;0.776;0.776;0.727;0.727;0.727;0.718;1.0
