;transcript19_ENSAPOG00000016134;transcript19_ENSAPOG00000023408;transcript19_ENSAOCG00000015695;transcript22_ENSAPOG00000016134;transcript22_ENSAPOG00000023408;transcript22_ENSPNYG00000024266;transcript27_ENSAPOG00000016134;transcript27_ENSAOCG00000015695;transcript28_ENSAPOG00000016134;transcript28_ENSAOCG00000015695;transcript32_ENSAPOG00000023408;transcript33_ENSAPOG00000023408;transcript12_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript12_ENSXMAG00000026005;transcript26_ENSAOCG00000015695;transcript29_ENSAOCG00000015695;transcript14_ENSPNYG00000024266;transcript21_ENSPNYG00000024266;transcript3_ENSXMAG00000026005;transcript10_ENSXMAG00000026005;transcript11_ENSXMAG00000026005;transcript16_ENSXMAG00000026005;transcript17_ENSXMAG00000026005
transcript32_ENSAPOG00000023408;0.857;0.857;0.857;0.909;0.909;0.833;0.575;0.489;0.309;0.309;1.0;0.96;0.857;0.857;0.857;0.49;0.501;0.861;0.755;0.637;0.795;0.857;0.647;0.637
transcript33_ENSAPOG00000023408;0.823;0.823;0.823;0.872;0.872;0.799;0.585;0.456;0.316;0.316;0.96;1.0;0.823;0.823;0.823;0.461;0.472;0.826;0.72;0.612;0.763;0.823;0.621;0.612
transcript12_ENSAOCG00000015695;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript12_ENSPNYG00000024266;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript12_ENSXMAG00000026005;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript26_ENSAOCG00000015695;0.633;0.633;0.633;0.566;0.566;0.551;0.445;0.654;0.4;0.412;0.49;0.461;0.633;0.633;0.633;1.0;0.938;0.47;0.436;0.455;0.654;0.633;0.463;0.455
transcript29_ENSAOCG00000015695;0.594;0.594;0.594;0.526;0.526;0.512;0.458;0.698;0.426;0.44;0.501;0.472;0.594;0.594;0.594;0.938;1.0;0.431;0.394;0.426;0.614;0.594;0.433;0.426
transcript14_ENSPNYG00000024266;0.833;0.833;0.833;0.871;0.871;0.907;0.538;0.491;0.311;0.311;0.861;0.826;0.833;0.833;0.833;0.47;0.431;1.0;0.852;0.617;0.773;0.833;0.627;0.617
transcript21_ENSPNYG00000024266;0.727;0.727;0.727;0.767;0.767;0.787;0.462;0.46;0.267;0.267;0.755;0.72;0.727;0.727;0.727;0.436;0.394;0.852;1.0;0.525;0.668;0.727;0.534;0.525
transcript3_ENSXMAG00000026005;0.741;0.741;0.741;0.688;0.688;0.675;0.363;0.294;0.184;0.184;0.637;0.612;0.741;0.741;0.741;0.455;0.426;0.617;0.525;1.0;0.686;0.741;0.982;1.0
transcript10_ENSXMAG00000026005;0.936;0.936;0.936;0.871;0.871;0.857;0.486;0.431;0.273;0.273;0.795;0.763;0.936;0.936;0.936;0.654;0.614;0.773;0.668;0.686;1.0;0.936;0.698;0.686
transcript11_ENSXMAG00000026005;1.0;1.0;1.0;0.933;0.933;0.919;0.491;0.417;0.265;0.265;0.857;0.823;1.0;1.0;1.0;0.633;0.594;0.833;0.727;0.741;0.936;1.0;0.753;0.741
transcript16_ENSXMAG00000026005;0.753;0.753;0.753;0.7;0.7;0.687;0.368;0.299;0.189;0.189;0.647;0.621;0.753;0.753;0.753;0.463;0.433;0.627;0.534;0.982;0.698;0.753;1.0;0.982
transcript17_ENSXMAG00000026005;0.741;0.741;0.741;0.688;0.688;0.675;0.363;0.294;0.184;0.184;0.637;0.612;0.741;0.741;0.741;0.455;0.426;0.617;0.525;1.0;0.686;0.741;0.982;1.0
