;transcript24_ENSAPOG00000023408;transcript7_ENSAPOG00000023408;transcript20_ENSAPOG00000016134;transcript23_ENSAPOG00000023408;transcript22_ENSAPOG00000023408;transcript12_ENSAPOG00000023408;transcript12_ENSAPOG00000016134;transcript10_ENSAPOG00000016134;transcript17_ENSAPOG00000016134;transcript8_ENSAPOG00000016134;transcript10_ENSHGLG00100003156;transcript17_ENSHGLG00100003156;transcript17_ENSHGLG00000019563;transcript20_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript25_ENSHGLG00000019563;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript0_ENSHGLG00100006079;transcript13_ENSHGLG00100006079;transcript20_ENSHGLG00100006079;transcript21_ENSHGLG00100006079;transcript22_ENSHGLG00100006079;transcript0_ENSXMAG00000026005;transcript0_ENSPNYG00000024266;transcript22_ENSMUNG00000002391;transcript0_ENSMUNG00000002391;transcript21_ENSMUNG00000002391
transcript10_ENSHGLG00100003156;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.872;0.872;0.872;0.872;0.441;0.881;0.881;0.486;0.925;0.925
transcript17_ENSHGLG00100003156;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.872;0.872;0.872;0.872;0.441;0.881;0.881;0.486;0.925;0.925
transcript17_ENSHGLG00000019563;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;1.0;1.0;1.0;0.881;0.881;0.881;0.833;0.714;0.872;0.872;0.872;0.872;0.441;0.881;0.881;0.486;0.925;0.925
transcript20_ENSHGLG00100003156;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;1.0;1.0;1.0;1.0;0.385;1.0;1.0;0.45;1.0;1.0
transcript13_ENSHGLG00000019563;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;1.0;1.0;1.0;1.0;0.385;1.0;1.0;0.45;1.0;1.0
transcript25_ENSHGLG00000019563;0.433;0.467;0.757;0.833;0.6;1.0;0.811;0.973;1.0;1.0;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;1.0;1.0;1.0;1.0;0.385;1.0;1.0;0.45;1.0;1.0
transcript26_ENSHGLG00000019563;0.414;0.4;0.703;0.767;0.533;0.933;0.757;0.919;0.946;0.946;0.833;0.833;0.833;0.952;0.952;0.952;1.0;0.786;0.949;0.949;0.949;0.949;0.333;0.952;0.952;0.4;0.95;0.95
transcript27_ENSHGLG00000019563;0.2;0.233;0.568;0.6;0.367;0.767;0.622;0.784;0.811;0.811;0.714;0.714;0.714;0.833;0.833;0.833;0.786;1.0;0.897;0.897;0.897;0.897;0.282;0.833;0.833;0.275;0.825;0.825
transcript0_ENSHGLG00100006079;0.419;0.452;0.659;0.774;0.484;1.0;0.705;0.75;0.773;1.0;0.872;0.872;0.872;1.0;1.0;1.0;0.949;0.897;1.0;0.78;0.78;0.78;0.3;1.0;1.0;0.341;1.0;0.841
transcript13_ENSHGLG00100006079;0.333;0.367;0.658;0.759;0.556;0.871;0.711;0.971;1.0;0.773;0.872;0.872;0.872;1.0;1.0;1.0;0.949;0.897;0.78;1.0;1.0;1.0;0.385;0.78;0.78;0.405;0.841;1.0
transcript20_ENSHGLG00100006079;0.333;0.367;0.658;0.759;0.556;0.871;0.711;0.971;1.0;0.773;0.872;0.872;0.872;1.0;1.0;1.0;0.949;0.897;0.78;1.0;1.0;1.0;0.385;0.78;0.78;0.405;0.841;1.0
transcript21_ENSHGLG00100006079;0.333;0.367;0.658;0.759;0.556;0.871;0.711;0.971;1.0;0.773;0.872;0.872;0.872;1.0;1.0;1.0;0.949;0.897;0.78;1.0;1.0;1.0;0.385;0.78;0.78;0.405;0.841;1.0
transcript22_ENSHGLG00100006079;0.556;0.611;0.517;0.345;1.0;0.484;0.484;0.455;0.441;0.341;0.441;0.441;0.441;0.385;0.385;0.385;0.333;0.282;0.3;0.385;0.385;0.385;1.0;0.3;0.3;1.0;0.341;0.405
transcript0_ENSXMAG00000026005;0.5;0.528;0.694;0.75;0.5;1.0;0.735;0.735;0.755;1.0;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;1.0;0.78;0.78;0.78;0.3;1.0;1.0;0.367;1.0;0.816
transcript0_ENSPNYG00000024266;0.5;0.528;0.694;0.75;0.5;1.0;0.735;0.735;0.755;1.0;0.881;0.881;0.881;1.0;1.0;1.0;0.952;0.833;1.0;0.78;0.78;0.78;0.3;1.0;1.0;0.367;1.0;0.816
transcript22_ENSMUNG00000002391;0.565;0.609;0.529;0.406;1.0;0.5;0.5;0.5;0.486;0.391;0.486;0.486;0.486;0.45;0.45;0.45;0.4;0.275;0.341;0.405;0.405;0.405;1.0;0.367;0.367;1.0;0.367;0.45
transcript0_ENSMUNG00000002391;0.5;0.528;0.739;0.75;0.5;1.0;0.783;0.783;0.804;1.0;0.925;0.925;0.925;1.0;1.0;1.0;0.95;0.825;1.0;0.841;0.841;0.841;0.341;1.0;1.0;0.367;1.0;0.816
transcript21_ENSMUNG00000002391;0.371;0.4;0.651;0.781;0.6;0.833;0.698;0.973;1.0;0.804;0.925;0.925;0.925;1.0;1.0;1.0;0.95;0.825;0.841;1.0;1.0;1.0;0.405;0.816;0.816;0.45;0.816;1.0
