;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript23_ENSMPUG00000020072;0.564;0.612;0.629;0.598;0.935;0.869;0.94;0.872;0.875;0.9;0.94;0.726;0.713;1.0;0.819;0.8;0.805;0.923;0.872;0.075;0.077;0.084;0.071;0.893;0.942;0.816;0.83;0.702;0.697;0.783;0.9
transcript24_ENSMPUG00000020072;0.413;0.444;0.475;0.455;0.877;0.822;0.879;0.826;0.817;0.843;0.879;0.665;0.656;0.819;1.0;0.941;0.954;0.863;0.826;0.08;0.077;0.086;0.078;0.84;0.797;0.757;0.782;0.651;0.637;0.719;0.843
transcript24_ENSCCNG00000000226;0.42;0.5;0.526;0.508;0.865;0.888;0.861;0.884;0.885;0.911;0.861;0.663;0.707;0.8;0.941;1.0;0.986;0.845;0.884;0.081;0.087;0.095;0.082;0.899;0.859;0.823;0.86;0.732;0.7;0.791;0.911
transcript24_ENSCPOG00000024843;0.406;0.486;0.509;0.491;0.868;0.889;0.865;0.885;0.89;0.916;0.865;0.654;0.707;0.805;0.954;0.986;1.0;0.848;0.885;0.083;0.085;0.09;0.084;0.906;0.867;0.823;0.841;0.713;0.694;0.791;0.916
transcript25_ENSMPUG00000020072;0.538;0.582;0.597;0.591;0.98;0.907;0.984;0.911;0.912;0.943;0.984;0.77;0.752;0.923;0.863;0.845;0.848;1.0;0.911;0.072;0.071;0.077;0.071;0.93;0.888;0.854;0.873;0.768;0.768;0.831;0.943
transcript12_ENSECAG00000007947;0.512;0.584;0.598;0.586;0.924;0.996;0.928;1.0;0.931;0.959;0.928;0.741;0.77;0.872;0.826;0.884;0.885;0.911;1.0;0.071;0.073;0.076;0.071;0.949;0.907;0.875;0.888;0.778;0.763;0.846;0.959
transcript9_ENSMLUG00000027828;0.131;0.119;0.123;0.131;0.077;0.077;0.071;0.071;0.07;0.075;0.071;0.091;0.095;0.075;0.08;0.081;0.083;0.072;0.071;1.0;0.958;0.967;1.0;0.073;0.083;0.076;0.08;0.095;0.097;0.097;0.075
transcript9_ENSSTOG00000019743;0.134;0.152;0.139;0.14;0.079;0.081;0.071;0.073;0.088;0.08;0.071;0.082;0.083;0.077;0.077;0.087;0.085;0.071;0.073;0.958;1.0;0.96;0.962;0.07;0.084;0.1;0.091;0.104;0.102;0.091;0.08
transcript9_ENSCCNG00000000226;0.149;0.148;0.154;0.149;0.084;0.083;0.077;0.076;0.082;0.082;0.077;0.085;0.083;0.084;0.086;0.095;0.09;0.077;0.076;0.967;0.96;1.0;0.97;0.073;0.087;0.093;0.096;0.116;0.111;0.09;0.082
transcript9_ENSCPOG00000024843;0.133;0.126;0.128;0.136;0.075;0.077;0.07;0.071;0.072;0.075;0.07;0.076;0.079;0.071;0.078;0.082;0.084;0.071;0.071;1.0;0.962;0.97;1.0;0.07;0.077;0.08;0.082;0.103;0.106;0.082;0.075
transcript13_ENSMLUG00000027828;0.499;0.58;0.591;0.581;0.942;0.946;0.945;0.949;0.953;0.98;0.945;0.717;0.808;0.893;0.84;0.899;0.906;0.93;0.949;0.073;0.07;0.073;0.07;1.0;0.958;0.881;0.893;0.79;0.782;0.841;0.98
transcript14_ENSMLUG00000027828;0.526;0.609;0.623;0.595;0.907;0.911;0.903;0.907;0.919;0.942;0.903;0.672;0.762;0.942;0.797;0.859;0.867;0.888;0.907;0.083;0.084;0.087;0.077;0.958;1.0;0.845;0.854;0.748;0.742;0.8;0.942
transcript26_ENSSTOG00000019743;0.533;0.667;0.633;0.623;0.877;0.879;0.873;0.875;0.935;0.908;0.873;0.673;0.684;0.816;0.757;0.823;0.823;0.854;0.875;0.076;0.1;0.093;0.08;0.881;0.845;1.0;0.961;0.713;0.695;0.78;0.908
transcript26_ENSCCNG00000000226;0.552;0.639;0.663;0.643;0.893;0.892;0.889;0.888;0.899;0.92;0.889;0.694;0.703;0.83;0.782;0.86;0.841;0.873;0.888;0.08;0.091;0.096;0.082;0.893;0.854;0.961;1.0;0.742;0.712;0.799;0.92
transcript18_ENSCCNG00000000226;0.669;0.727;0.764;0.766;0.768;0.782;0.764;0.778;0.776;0.796;0.764;0.559;0.589;0.702;0.651;0.732;0.713;0.768;0.778;0.095;0.104;0.116;0.103;0.79;0.748;0.713;0.742;1.0;0.986;0.663;0.796
transcript18_ENSCPOG00000024843;0.666;0.725;0.75;0.766;0.76;0.766;0.757;0.763;0.764;0.785;0.757;0.544;0.573;0.697;0.637;0.7;0.694;0.768;0.763;0.097;0.102;0.111;0.106;0.782;0.742;0.695;0.712;0.986;1.0;0.641;0.785
transcript32_ENSCPOG00000024843;0.44;0.51;0.514;0.506;0.853;0.85;0.849;0.846;0.853;0.883;0.849;0.96;0.974;0.783;0.719;0.791;0.791;0.831;0.846;0.097;0.091;0.09;0.082;0.841;0.8;0.78;0.799;0.663;0.641;1.0;0.883
transcript33_ENSCPOG00000024843;0.506;0.59;0.601;0.59;0.962;0.962;0.959;0.959;0.972;1.0;0.959;0.754;0.789;0.9;0.843;0.911;0.916;0.943;0.959;0.075;0.08;0.082;0.075;0.98;0.942;0.908;0.92;0.796;0.785;0.883;1.0
