;ENSCAFT00000013569_90_90;ENSCAFT00000048577_90_90;ENSCAFT00000049950_90_90;ENST00000314177_90_90;ENST00000338564_90_90;ENST00000340545_90_90;ENST00000397620_90_90;ENST00000397624_90_90;ENST00000424352_90_90;ENST00000557796_90_90;ENST00000558313_90_90;ENST00000559085_90_90;ENST00000559561_90_90;ENST00000560570_90_90;ENST00000560617_90_90;ENST00000560697_90_90;ENST00000561208_90_90;ENST00000606653_90_90;ENST00000607277_90_90;ENSMUST00000028639_90_90;ENSMUST00000074285_90_90;ENSMUST00000102538_90_90;ENSMUST00000110906_90_90;ENSMUST00000110907_90_90;ENSMUST00000110908_90_90
ENST00000560570_90_90;0.247;0.195;0.299;0.325;0.209;0.216;0.042;0.042;0.244;0.216;0.068;0.212;0.249;1.0;0.0;0.0;0.205;0.0;0.0;0.205;0.236;0.208;0.232;0.243;0.248
ENST00000560617_90_90;0.266;0.221;0.447;0.348;0.223;0.276;0.343;0.343;0.262;0.276;0.607;0.271;0.266;0.0;1.0;0.898;0.22;0.706;0.447;0.22;0.267;0.223;0.263;0.262;0.266
ENST00000560697_90_90;0.239;0.198;0.401;0.312;0.201;0.248;0.308;0.308;0.235;0.248;0.601;0.243;0.239;0.0;0.898;1.0;0.198;0.632;0.401;0.198;0.24;0.201;0.236;0.235;0.239
ENST00000561208_90_90;0.755;0.984;0.477;0.633;0.985;0.731;0.575;0.575;0.771;0.731;0.325;0.745;0.757;0.205;0.22;0.198;1.0;0.197;0.475;0.999;0.743;0.984;0.758;0.77;0.756
ENST00000606653_90_90;0.235;0.197;0.372;0.298;0.2;0.242;0.295;0.295;0.231;0.242;0.473;0.238;0.235;0.0;0.706;0.632;0.197;1.0;0.372;0.197;0.235;0.2;0.232;0.231;0.235
ENST00000607277_90_90;0.575;0.476;0.289;0.409;0.482;0.593;0.736;0.736;0.564;0.593;0.338;0.583;0.574;0.0;0.447;0.401;0.475;0.372;1.0;0.475;0.577;0.482;0.567;0.565;0.575
ENSMUST00000028639_90_90;0.756;0.985;0.478;0.632;0.984;0.73;0.575;0.575;0.77;0.73;0.325;0.744;0.756;0.205;0.22;0.198;0.999;0.197;0.475;1.0;0.745;0.985;0.759;0.771;0.757
ENSMUST00000074285_90_90;0.982;0.75;0.583;0.749;0.754;0.966;0.771;0.771;0.962;0.966;0.395;0.949;0.979;0.236;0.267;0.24;0.743;0.235;0.577;0.745;1.0;0.755;0.983;0.965;0.982
ENSMUST00000102538_90_90;0.767;0.971;0.485;0.641;0.999;0.74;0.584;0.584;0.756;0.74;0.33;0.73;0.767;0.208;0.223;0.201;0.984;0.2;0.482;0.985;0.755;1.0;0.745;0.757;0.768
ENSMUST00000110906_90_90;0.965;0.764;0.573;0.736;0.743;0.949;0.758;0.758;0.979;0.949;0.388;0.967;0.962;0.232;0.263;0.236;0.758;0.232;0.567;0.759;0.983;0.745;1.0;0.983;0.965
ENSMUST00000110907_90_90;0.981;0.759;0.568;0.752;0.756;0.947;0.756;0.756;0.997;0.947;0.387;0.964;0.979;0.243;0.262;0.235;0.77;0.231;0.565;0.771;0.965;0.757;0.983;1.0;0.983
ENSMUST00000110908_90_90;0.998;0.745;0.578;0.765;0.767;0.964;0.769;0.769;0.979;0.964;0.394;0.947;0.997;0.248;0.266;0.239;0.756;0.235;0.575;0.757;0.982;0.768;0.965;0.983;1.0
