;ENSCAFT00000012325_90_90;ENSCAFT00000012333_90_90;ENST00000295951_90_90;ENST00000295952_90_90;ENST00000383718_90_90;ENST00000416658_90_90;ENST00000417128_90_90;ENST00000428312_90_90;ENST00000438794_90_90;ENST00000449503_90_90;ENST00000460223_90_90;ENST00000461354_90_90;ENST00000465203_90_90;ENST00000466255_90_90;ENST00000494088_90_90;ENST00000495364_90_90;ENSMUST00000038522_90_90;ENSMUST00000090359_90_90;ENSMUST00000102956_90_90;ENSMUST00000112330_90_90;ENSMUST00000112331_90_90;ENSMUST00000139075_90_90;ENSMUST00000142679_90_90;ENSMUST00000145738_90_90;ENSMUST00000146438_90_90
ENST00000460223_90_90;0.084;0.044;0.044;0.044;0.0;0.159;0.146;0.043;0.097;0.045;1.0;0.0;0.0;0.0;0.227;0.099;0.087;0.044;0.087;0.048;0.052;0.043;0.166;0.067;0.0
ENST00000461354_90_90;0.128;0.133;0.153;0.153;0.067;0.284;0.258;0.148;0.21;0.16;0.0;1.0;0.0;0.502;0.251;0.363;0.133;0.133;0.133;0.143;0.152;0.128;0.254;0.201;0.0
ENST00000465203_90_90;0.305;0.27;0.288;0.288;0.391;0.117;0.169;0.278;0.131;0.254;0.0;0.0;1.0;0.0;0.0;0.0;0.27;0.272;0.27;0.246;0.308;0.305;0.122;0.243;0.58
ENST00000466255_90_90;0.133;0.138;0.159;0.159;0.067;0.293;0.268;0.153;0.355;0.164;0.0;0.502;0.0;1.0;0.422;0.373;0.138;0.138;0.138;0.148;0.158;0.133;0.263;0.209;0.0
ENST00000494088_90_90;0.348;0.307;0.326;0.326;0.054;0.702;0.655;0.316;0.548;0.337;0.227;0.251;0.0;0.422;1.0;0.724;0.36;0.306;0.36;0.328;0.353;0.297;0.685;0.465;0.0
ENST00000495364_90_90;0.342;0.41;0.427;0.427;0.052;0.666;0.629;0.414;0.499;0.444;0.099;0.363;0.0;0.373;0.724;1.0;0.354;0.409;0.354;0.44;0.473;0.396;0.65;0.629;0.0
ENSMUST00000038522_90_90;0.966;0.925;0.827;0.827;0.625;0.525;0.558;0.858;0.367;0.855;0.087;0.133;0.27;0.138;0.36;0.354;1.0;0.865;1.0;0.863;0.746;0.895;0.524;0.617;0.222
ENSMUST00000090359_90_90;0.897;0.936;0.966;0.966;0.569;0.465;0.496;1.0;0.365;0.929;0.044;0.133;0.272;0.138;0.306;0.409;0.865;1.0;0.865;0.933;0.873;0.969;0.466;0.679;0.224
ENSMUST00000102956_90_90;0.966;0.925;0.827;0.827;0.625;0.525;0.558;0.858;0.367;0.855;0.087;0.133;0.27;0.138;0.36;0.354;1.0;0.865;1.0;0.863;0.746;0.895;0.524;0.617;0.222
ENSMUST00000112330_90_90;0.836;0.936;0.962;0.962;0.555;0.498;0.533;0.929;0.394;1.0;0.048;0.143;0.246;0.148;0.328;0.44;0.863;0.933;0.863;1.0;0.867;0.905;0.498;0.671;0.197
ENSMUST00000112331_90_90;0.778;0.812;0.9;0.9;0.442;0.532;0.566;0.869;0.42;0.862;0.052;0.152;0.308;0.158;0.353;0.473;0.746;0.873;0.746;0.867;1.0;0.846;0.532;0.712;0.255
ENSMUST00000139075_90_90;0.927;0.966;0.934;0.934;0.601;0.45;0.48;0.967;0.354;0.899;0.043;0.128;0.305;0.133;0.297;0.396;0.895;0.969;0.895;0.905;0.846;1.0;0.453;0.657;0.255
ENSMUST00000142679_90_90;0.506;0.467;0.479;0.479;0.15;1.0;0.786;0.465;0.599;0.498;0.166;0.254;0.122;0.263;0.685;0.65;0.524;0.466;0.524;0.498;0.532;0.453;1.0;0.692;0.066
ENSMUST00000145738_90_90;0.596;0.68;0.634;0.634;0.294;0.696;0.731;0.668;0.554;0.659;0.067;0.201;0.243;0.209;0.465;0.629;0.617;0.679;0.617;0.671;0.712;0.657;0.692;1.0;0.111
ENSMUST00000146438_90_90;0.255;0.222;0.243;0.243;0.363;0.068;0.029;0.235;0.0;0.207;0.0;0.0;0.58;0.0;0.0;0.0;0.222;0.224;0.222;0.197;0.255;0.255;0.066;0.111;1.0
