;ENSCAFT00000007234_90_90;ENSCAFT00000044406_90_90;ENST00000356360_90_90;ENST00000393346_90_90;ENST00000525162_90_90;ENST00000526033_90_90;ENST00000526961_90_90;ENST00000528256_90_90;ENST00000528398_90_90;ENST00000529016_90_90;ENST00000529760_90_90;ENST00000530542_90_90;ENST00000530692_90_90;ENST00000531558_90_90;ENST00000531930_90_90;ENST00000532041_90_90;ENST00000532317_90_90;ENST00000532603_90_90;ENST00000534412_90_90;ENST00000630913_90_90;ENSMUST00000049537_90_90;ENSMUST00000207084_90_90;ENSMUST00000207225_90_90;ENSMUST00000207484_90_90;ENSMUST00000208089_90_90;ENSMUST00000208684_90_90;ENSMUST00000208730_90_90;ENSMUST00000208742_90_90;ENSMUST00000209068_90_90
ENST00000529760_90_90;0.3;0.357;0.273;0.333;0.0;0.355;0.714;0.0;0.423;0.538;1.0;0.5;0.5;0.0;0.0;0.0;0.414;0.333;0.0;0.0;0.387;0.407;0.407;0.375;0.667;0.0;0.444;0.344;0.429
ENST00000530542_90_90;0.345;0.267;0.355;0.375;0.0;0.312;0.5;0.0;0.276;0.429;0.5;1.0;0.312;0.0;0.0;0.0;0.242;0.143;0.0;0.0;0.387;0.462;0.267;0.375;0.471;0.0;0.258;0.387;0.25
ENST00000530692_90_90;0.226;0.276;0.147;0.206;0.0;0.219;0.615;0.0;0.214;0.214;0.5;0.312;1.0;0.0;0.0;0.0;0.226;0.3;0.0;0.0;0.25;0.25;0.207;0.242;0.467;0.0;0.241;0.212;0.233
ENST00000531558_90_90;0.138;0.103;0.133;0.125;0.167;0.133;0.0;0.25;0.074;0.0;0.0;0.0;0.0;1.0;0.214;0.25;0.138;0.0;1.0;0.25;0.129;0.071;0.154;0.125;0.0;0.0;0.148;0.129;0.143
ENST00000531930_90_90;0.448;0.414;0.433;0.406;0.769;0.433;0.0;0.846;0.407;0.0;0.0;0.0;0.0;0.214;1.0;0.357;0.448;0.0;0.214;0.357;0.375;0.3;0.444;0.364;0.0;0.308;0.429;0.375;0.414
ENST00000532041_90_90;0.207;0.214;0.2;0.188;0.231;0.2;0.0;0.417;0.107;0.0;0.0;0.0;0.0;0.25;0.357;1.0;0.207;0.0;0.25;1.0;0.156;0.067;0.185;0.152;0.0;0.25;0.179;0.156;0.172
ENST00000532317_90_90;0.867;0.897;0.788;0.848;0.345;0.903;0.323;0.379;0.862;0.276;0.414;0.242;0.226;0.138;0.448;0.207;1.0;0.138;0.138;0.207;0.818;0.667;0.897;0.848;0.4;0.138;0.931;0.818;0.966
ENST00000532603_90_90;0.103;0.107;0.133;0.125;0.0;0.133;0.333;0.0;0.16;0.333;0.333;0.143;0.3;0.0;0.0;0.0;0.138;1.0;0.0;0.0;0.129;0.154;0.154;0.125;0.214;0.0;0.148;0.129;0.143
ENST00000534412_90_90;0.138;0.103;0.133;0.125;0.167;0.133;0.0;0.25;0.074;0.0;0.0;0.0;0.0;1.0;0.214;0.25;0.138;0.0;1.0;0.25;0.129;0.071;0.154;0.125;0.0;0.0;0.148;0.129;0.143
ENST00000630913_90_90;0.207;0.214;0.2;0.188;0.231;0.2;0.0;0.417;0.107;0.0;0.0;0.0;0.0;0.25;0.357;1.0;0.207;0.0;0.25;1.0;0.156;0.067;0.185;0.152;0.0;0.25;0.179;0.156;0.172
ENSMUST00000049537_90_90;0.9;0.806;0.848;0.909;0.281;0.848;0.387;0.312;0.697;0.219;0.387;0.387;0.25;0.129;0.375;0.156;0.818;0.129;0.129;0.156;1.0;0.788;0.844;0.97;0.324;0.156;0.875;0.939;0.848
ENSMUST00000207084_90_90;0.793;0.645;0.75;0.812;0.286;0.75;0.407;0.233;0.759;0.259;0.407;0.462;0.25;0.071;0.3;0.067;0.667;0.154;0.071;0.067;0.788;1.0;0.688;0.765;0.379;0.103;0.667;0.788;0.647
ENSMUST00000207225_90_90;0.828;0.793;0.75;0.812;0.333;0.867;0.31;0.37;0.821;0.259;0.407;0.267;0.207;0.154;0.444;0.185;0.897;0.154;0.154;0.185;0.844;0.688;1.0;0.818;0.379;0.185;0.964;0.844;0.931
ENSMUST00000207484_90_90;0.933;0.839;0.879;0.939;0.273;0.879;0.375;0.303;0.727;0.25;0.375;0.375;0.242;0.125;0.364;0.152;0.848;0.125;0.125;0.152;0.97;0.765;0.818;1.0;0.353;0.152;0.848;0.97;0.879
ENSMUST00000208089_90_90;0.367;0.429;0.303;0.364;0.0;0.387;0.471;0.0;0.462;0.5;0.667;0.471;0.467;0.0;0.0;0.0;0.4;0.214;0.0;0.0;0.324;0.379;0.379;0.353;1.0;0.0;0.367;0.364;0.4
ENSMUST00000208684_90_90;0.138;0.143;0.133;0.125;0.4;0.133;0.0;0.364;0.16;0.0;0.0;0.0;0.0;0.0;0.308;0.25;0.138;0.0;0.0;0.25;0.156;0.103;0.185;0.152;0.0;1.0;0.179;0.156;0.172
ENSMUST00000208730_90_90;0.8;0.828;0.727;0.788;0.321;0.839;0.345;0.357;0.793;0.25;0.444;0.258;0.241;0.148;0.429;0.179;0.931;0.148;0.148;0.179;0.875;0.667;0.964;0.848;0.367;0.179;1.0;0.818;0.966
ENSMUST00000208742_90_90;0.966;0.806;0.906;0.969;0.281;0.906;0.344;0.312;0.75;0.258;0.344;0.387;0.212;0.129;0.375;0.156;0.818;0.129;0.129;0.156;0.939;0.788;0.844;0.97;0.364;0.156;0.818;1.0;0.848
ENSMUST00000209068_90_90;0.833;0.862;0.758;0.818;0.31;0.871;0.333;0.345;0.828;0.286;0.429;0.25;0.233;0.143;0.414;0.172;0.966;0.143;0.143;0.172;0.848;0.647;0.931;0.879;0.4;0.172;0.966;0.848;1.0
