;ENSCAFT00000030055_90_90;ENST00000345434_90_90;ENST00000370674_90_90;ENST00000370676_90_90;ENST00000370683_90_90;ENST00000370690_90_90;ENST00000394153_90_90;ENST00000394155_90_90;ENST00000420362_90_90;ENST00000434885_90_90;ENST00000449474_90_90;ENST00000452016_90_90;ENST00000456445_90_90;ENST00000458357_90_90;ENST00000535737_90_90;ENST00000539015_90_90;ENST00000543669_90_90;ENST00000618438_90_90;ENST00000625935_90_90;ENST00000627383_90_90;ENST00000627578_90_90;ENST00000627812_90_90;ENST00000628032_90_90;ENST00000628443_90_90;ENST00000628568_90_90;ENST00000628919_90_90;ENST00000629039_90_90;ENST00000630084_90_90;ENST00000630278_90_90;ENSMUST00000023854_90_90;ENSMUST00000114768_90_90;ENSMUST00000114769_90_90;ENSMUST00000114772_90_90;ENSMUST00000114773_90_90;ENSMUST00000116596_90_90;ENSMUST00000144600_90_90;ENSMUST00000151033_90_90;ENSMUST00000155882_90_90
ENST00000628568_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000628919_90_90;0.44;0.404;0.506;0.621;0.44;0.465;0.465;0.404;0.638;0.629;0.924;0.629;0.634;0.841;0.465;0.422;0.465;0.672;0.143;0.942;0.854;0.506;0.745;0.883;0.465;1.0;0.465;0.465;0.598;0.465;0.627;0.404;0.443;0.422;0.465;0.567;0.685;0.558
ENST00000629039_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000630084_90_90;0.944;0.739;0.919;0.655;0.946;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.66;0.741;0.952;0.906;1.0;0.817;0.319;0.26
ENST00000630278_90_90;0.264;0.241;0.303;0.371;0.264;0.279;0.279;0.241;0.382;0.376;0.553;0.376;0.379;0.503;0.279;0.252;0.279;0.402;0.239;0.564;0.511;0.846;0.446;0.528;0.279;0.598;0.279;0.279;1.0;0.279;0.375;0.242;0.265;0.252;0.279;0.339;0.873;0.932
ENSMUST00000023854_90_90;0.944;0.739;0.919;0.657;0.948;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.655;0.739;0.946;0.906;1.0;0.804;0.319;0.26
ENSMUST00000114768_90_90;0.67;0.576;0.715;0.944;0.674;0.66;0.66;0.576;0.681;0.672;0.678;0.672;0.677;0.745;0.66;0.645;0.66;0.933;0.09;0.665;0.734;0.317;0.773;0.71;0.66;0.627;0.66;0.66;0.375;0.655;1.0;0.572;0.709;0.641;0.655;0.601;0.425;0.346
ENSMUST00000114769_90_90;0.864;0.998;0.793;0.575;0.709;0.741;0.741;0.998;0.634;0.643;0.437;0.643;0.638;0.481;0.741;0.684;0.741;0.602;0.058;0.429;0.474;0.205;0.543;0.458;0.741;0.404;0.741;0.741;0.242;0.739;0.572;1.0;0.707;0.682;0.739;0.698;0.277;0.225
ENSMUST00000114772_90_90;0.956;0.711;0.875;0.674;0.96;0.952;0.952;0.711;0.695;0.705;0.48;0.705;0.7;0.527;0.952;0.918;0.952;0.66;0.063;0.471;0.519;0.224;0.595;0.502;0.952;0.443;0.952;0.952;0.265;0.946;0.709;0.707;1.0;0.913;0.946;0.761;0.302;0.245
ENSMUST00000114773_90_90;0.91;0.682;0.833;0.642;0.914;0.906;0.906;0.682;0.661;0.671;0.456;0.671;0.666;0.502;0.906;1.0;0.906;0.628;0.06;0.448;0.494;0.214;0.566;0.478;0.906;0.422;0.906;0.906;0.252;0.906;0.641;0.682;0.913;1.0;0.906;0.73;0.289;0.235
ENSMUST00000116596_90_90;0.944;0.739;0.919;0.657;0.948;1.0;1.0;0.739;0.73;0.74;0.504;0.74;0.735;0.554;1.0;0.906;1.0;0.693;0.067;0.494;0.545;0.236;0.625;0.527;1.0;0.465;1.0;1.0;0.279;1.0;0.655;0.739;0.946;0.906;1.0;0.804;0.319;0.26
ENSMUST00000144600_90_90;0.777;0.712;0.889;0.613;0.775;0.817;0.817;0.712;0.888;0.901;0.613;0.901;0.894;0.674;0.817;0.741;0.817;0.65;0.081;0.601;0.664;0.287;0.761;0.642;0.817;0.567;0.817;0.817;0.339;0.804;0.601;0.698;0.761;0.73;0.804;1.0;0.381;0.31
ENSMUST00000151033_90_90;0.302;0.277;0.347;0.427;0.302;0.319;0.319;0.277;0.437;0.431;0.634;0.431;0.434;0.576;0.319;0.289;0.319;0.46;0.209;0.646;0.585;0.739;0.51;0.605;0.319;0.685;0.319;0.319;0.873;0.319;0.425;0.277;0.302;0.289;0.319;0.381;1.0;0.813
ENSMUST00000155882_90_90;0.245;0.225;0.282;0.347;0.246;0.26;0.26;0.225;0.356;0.35;0.515;0.35;0.353;0.469;0.26;0.235;0.26;0.375;0.257;0.525;0.476;0.908;0.415;0.492;0.26;0.558;0.26;0.26;0.932;0.26;0.346;0.225;0.245;0.235;0.26;0.31;0.813;1.0
