;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENST00000508946_90_90;0.613;0.927;0.477;0.837;0.743;0.958;0.913;0.764;0.858;0.803;1.0;0.753;0.714;0.784;0.795;0.943;0.954;0.863;0.842;0.724;0.719;0.933;0.887;0.716;0.728;0.686;0.881;0.758;0.75;0.792;0.76;0.893;0.849;0.799;0.851;0.815;0.441;0.108
ENST00000509896_90_90;0.454;0.844;0.356;0.901;0.908;0.793;0.753;0.904;0.792;0.946;0.753;1.0;0.955;0.953;0.86;0.794;0.714;0.855;0.833;0.766;0.875;0.742;0.699;0.861;0.955;0.908;0.793;0.907;0.829;0.874;0.92;0.783;0.74;0.788;0.723;0.765;0.327;0.111
ENST00000511324_90_90;0.428;0.819;0.369;0.86;0.952;0.753;0.784;0.943;0.827;0.904;0.714;0.955;1.0;0.908;0.896;0.75;0.742;0.81;0.788;0.797;0.914;0.699;0.729;0.9;0.908;0.951;0.751;0.861;0.866;0.829;0.875;0.74;0.772;0.825;0.755;0.8;0.339;0.119
ENST00000512091_90_90;0.476;0.796;0.371;0.943;0.953;0.753;0.714;0.86;0.75;0.901;0.784;0.953;0.908;1.0;0.899;0.828;0.743;0.811;0.79;0.804;0.829;0.774;0.729;0.903;0.907;0.861;0.752;0.953;0.869;0.916;0.874;0.742;0.699;0.745;0.755;0.723;0.341;0.116
ENST00000514157_90_90;0.476;0.796;0.366;0.957;0.94;0.764;0.796;0.954;0.742;0.914;0.795;0.86;0.896;0.899;1.0;0.743;0.83;0.728;0.708;0.899;0.885;0.75;0.781;0.89;0.814;0.849;0.706;0.853;0.93;0.891;0.849;0.719;0.748;0.736;0.746;0.715;0.337;0.115
ENST00000514591_90_90;0.587;0.902;0.502;0.784;0.783;0.903;0.858;0.714;0.907;0.753;0.943;0.794;0.75;0.828;0.743;1.0;0.896;0.91;0.887;0.669;0.699;0.916;0.868;0.755;0.767;0.723;0.889;0.801;0.73;0.774;0.742;0.877;0.831;0.841;0.901;0.86;0.464;0.116
ENST00000514996_90_90;0.587;0.902;0.495;0.795;0.774;0.913;0.956;0.796;0.897;0.764;0.954;0.714;0.742;0.743;0.83;0.896;1.0;0.82;0.799;0.754;0.748;0.887;0.927;0.746;0.686;0.715;0.836;0.716;0.781;0.75;0.719;0.849;0.886;0.831;0.889;0.85;0.457;0.116
ENSMUST00000036068_90_90;0.572;0.924;0.479;0.769;0.767;0.904;0.861;0.768;0.908;0.81;0.863;0.855;0.81;0.811;0.728;0.91;0.82;1.0;0.897;0.589;0.693;0.794;0.754;0.686;0.766;0.726;0.843;0.726;0.655;0.693;0.731;0.833;0.793;0.854;0.79;0.832;0.434;0.08
ENSMUST00000072521_90_90;0.585;0.899;0.488;0.749;0.745;0.883;0.841;0.748;0.885;0.789;0.842;0.833;0.788;0.79;0.708;0.887;0.799;0.897;1.0;0.649;0.768;0.879;0.836;0.768;0.855;0.81;0.931;0.811;0.728;0.769;0.81;0.922;0.877;0.952;0.882;0.927;0.442;0.135
ENSMUST00000117253_90_90;0.466;0.715;0.334;0.862;0.837;0.694;0.722;0.857;0.666;0.823;0.724;0.766;0.797;0.804;0.899;0.669;0.754;0.589;0.649;1.0;0.848;0.705;0.731;0.831;0.766;0.793;0.668;0.801;0.887;0.855;0.817;0.677;0.702;0.671;0.678;0.651;0.275;0.135
ENSMUST00000117407_90_90;0.449;0.767;0.379;0.849;0.866;0.759;0.79;0.933;0.772;0.895;0.719;0.875;0.914;0.829;0.885;0.699;0.748;0.693;0.768;0.848;1.0;0.759;0.792;0.893;0.901;0.941;0.72;0.856;0.953;0.911;0.957;0.799;0.833;0.802;0.736;0.778;0.322;0.134
ENSMUST00000117985_90_90;0.615;0.851;0.504;0.792;0.729;0.893;0.849;0.719;0.831;0.76;0.933;0.742;0.699;0.774;0.75;0.916;0.887;0.794;0.879;0.705;0.759;1.0;0.952;0.737;0.748;0.707;0.861;0.78;0.791;0.834;0.8;0.957;0.91;0.836;0.892;0.854;0.448;0.136
ENSMUST00000118034_90_90;0.586;0.826;0.528;0.75;0.762;0.849;0.886;0.748;0.869;0.719;0.887;0.699;0.729;0.729;0.781;0.868;0.927;0.754;0.836;0.731;0.792;0.952;1.0;0.768;0.707;0.736;0.819;0.737;0.827;0.791;0.759;0.91;0.954;0.872;0.935;0.893;0.465;0.147
ENSMUST00000118078_90_90;0.472;0.72;0.412;0.853;0.948;0.686;0.715;0.849;0.755;0.814;0.716;0.861;0.9;0.903;0.89;0.755;0.746;0.686;0.768;0.831;0.893;0.737;0.768;1.0;0.905;0.95;0.714;0.951;0.938;0.896;0.856;0.707;0.736;0.803;0.816;0.779;0.355;0.152
ENSMUST00000118442_90_90;0.476;0.792;0.376;0.857;0.861;0.768;0.727;0.859;0.765;0.902;0.728;0.955;0.908;0.907;0.814;0.767;0.686;0.766;0.855;0.766;0.901;0.748;0.707;0.905;1.0;0.953;0.796;0.952;0.856;0.899;0.944;0.788;0.747;0.81;0.744;0.787;0.327;0.134
ENSMUST00000119385_90_90;0.449;0.767;0.393;0.814;0.9;0.727;0.756;0.895;0.8;0.859;0.686;0.908;0.951;0.861;0.849;0.723;0.715;0.726;0.81;0.793;0.941;0.707;0.736;0.95;0.953;1.0;0.755;0.905;0.893;0.856;0.901;0.747;0.778;0.849;0.779;0.823;0.339;0.145
ENSMUST00000119788_90_90;0.613;0.923;0.489;0.747;0.709;0.923;0.879;0.746;0.887;0.788;0.881;0.793;0.751;0.752;0.706;0.889;0.836;0.843;0.931;0.668;0.72;0.861;0.819;0.714;0.796;0.755;1.0;0.756;0.68;0.719;0.758;0.902;0.859;0.887;0.863;0.906;0.433;0.13
ENSMUST00000120128_90_90;0.502;0.746;0.393;0.898;0.903;0.728;0.686;0.814;0.723;0.857;0.758;0.907;0.861;0.953;0.853;0.801;0.716;0.726;0.811;0.801;0.856;0.78;0.737;0.951;0.952;0.905;0.756;1.0;0.896;0.942;0.899;0.748;0.707;0.768;0.778;0.744;0.341;0.141
ENSMUST00000120144_90_90;0.472;0.72;0.396;0.891;0.91;0.719;0.748;0.885;0.729;0.849;0.75;0.829;0.866;0.869;0.93;0.73;0.781;0.655;0.728;0.887;0.953;0.791;0.827;0.938;0.856;0.893;0.68;0.896;1.0;0.955;0.911;0.759;0.792;0.759;0.768;0.736;0.337;0.14
ENSMUST00000120292_90_90;0.502;0.746;0.379;0.935;0.869;0.76;0.719;0.849;0.699;0.893;0.792;0.874;0.829;0.916;0.891;0.774;0.75;0.693;0.769;0.855;0.911;0.834;0.791;0.896;0.899;0.856;0.719;0.942;0.955;1.0;0.955;0.8;0.759;0.728;0.737;0.707;0.325;0.13
ENSMUST00000120445_90_90;0.476;0.792;0.362;0.893;0.829;0.8;0.759;0.895;0.741;0.938;0.76;0.92;0.875;0.874;0.849;0.742;0.719;0.731;0.81;0.817;0.957;0.8;0.759;0.856;0.944;0.901;0.758;0.899;0.911;0.955;1.0;0.841;0.799;0.768;0.707;0.747;0.311;0.125
ENSMUST00000120673_90_90;0.585;0.899;0.481;0.76;0.699;0.936;0.891;0.759;0.874;0.8;0.893;0.783;0.74;0.742;0.719;0.877;0.849;0.833;0.922;0.677;0.799;0.957;0.91;0.707;0.788;0.747;0.902;0.748;0.759;0.8;0.841;1.0;0.954;0.877;0.854;0.896;0.428;0.13
ENSMUST00000121641_90_90;0.557;0.873;0.503;0.719;0.729;0.891;0.93;0.79;0.913;0.759;0.849;0.74;0.772;0.699;0.748;0.831;0.886;0.793;0.877;0.702;0.833;0.91;0.954;0.736;0.747;0.778;0.859;0.707;0.792;0.759;0.799;0.954;1.0;0.916;0.893;0.939;0.444;0.14
ENSMUST00000121707_90_90;0.557;0.873;0.51;0.708;0.78;0.841;0.875;0.779;0.925;0.748;0.799;0.788;0.825;0.745;0.736;0.841;0.831;0.854;0.952;0.671;0.802;0.836;0.872;0.803;0.81;0.849;0.887;0.768;0.759;0.728;0.768;0.877;0.916;1.0;0.926;0.973;0.459;0.147
ENSMUST00000122037_90_90;0.586;0.826;0.55;0.716;0.79;0.815;0.85;0.715;0.901;0.686;0.851;0.723;0.755;0.755;0.746;0.901;0.889;0.79;0.882;0.678;0.736;0.892;0.935;0.816;0.744;0.779;0.863;0.778;0.768;0.737;0.707;0.854;0.893;0.926;1.0;0.951;0.493;0.162
ENSMUST00000122356_90_90;0.557;0.873;0.523;0.686;0.755;0.857;0.894;0.756;0.949;0.727;0.815;0.765;0.8;0.723;0.715;0.86;0.85;0.832;0.927;0.651;0.778;0.854;0.893;0.779;0.787;0.823;0.906;0.744;0.736;0.707;0.747;0.896;0.939;0.973;0.951;1.0;0.469;0.153
ENSMUST00000124117_90_90;0.676;0.416;0.913;0.325;0.355;0.422;0.436;0.322;0.46;0.311;0.441;0.327;0.339;0.341;0.337;0.464;0.457;0.434;0.442;0.275;0.322;0.448;0.465;0.355;0.327;0.339;0.433;0.341;0.337;0.325;0.311;0.428;0.444;0.459;0.493;0.469;1.0;0.0
ENSMUST00000132375_90_90;0.0;0.126;0.0;0.108;0.126;0.104;0.111;0.11;0.121;0.104;0.108;0.111;0.119;0.116;0.115;0.116;0.116;0.08;0.135;0.135;0.134;0.136;0.147;0.152;0.134;0.145;0.13;0.141;0.14;0.13;0.125;0.13;0.14;0.147;0.162;0.153;0.0;1.0
